出力日時,2021/06/21 13:39:02
データソース,hematite_First.S5-2-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.379,0.100,-0.395,3E-06,1.355E-07
3.479,0.200,-0.394,2E-06,2.87E-07
3.579,0.300,-0.393,1E-06,4.355E-07
3.679,0.400,-0.392,2E-06,6.24E-07
3.779,0.500,-0.391,1E-06,7.835E-07
3.879,0.600,-0.39,1E-06,9.335E-07
3.979,0.700,-0.389,2E-06,1.129E-06
4.079,0.800,-0.388,4E-06,1.32E-06
4.179,0.900,-0.387,3E-06,1.5565E-06
4.279,1.000,-0.386,2E-06,1.74299999999999E-06
4.379,1.100,-0.385,3E-06,1.96049999999999E-06
4.479,1.200,-0.384,2E-06,2.15899999999999E-06
4.579,1.300,-0.383,4E-06,2.38299999999999E-06
4.679,1.400,-0.382,3E-06,2.59349999999999E-06
4.779,1.500,-0.381,3E-06,2.80149999999999E-06
4.879,1.600,-0.38,4E-06,3.04099999999999E-06
4.979,1.700,-0.379,3E-06,3.26549999999999E-06
5.079,1.800,-0.378,2E-06,3.48799999999999E-06
5.179,1.900,-0.377,3E-06,3.77849999999999E-06
5.279,2.000,-0.376,3E-06,4.04449999999999E-06
5.379,2.100,-0.375,2E-06,4.313E-06
5.479,2.200,-0.374,3E-06,4.58450000000001E-06
5.579,2.300,-0.373,3E-06,4.87250000000001E-06
5.679,2.400,-0.372,2E-06,5.15900000000002E-06
5.779,2.500,-0.371,3E-06,5.43550000000003E-06
5.879,2.600,-0.37,2E-06,5.75300000000003E-06
5.979,2.700,-0.369,2E-06,6.06500000000003E-06
6.079,2.800,-0.368,2E-06,6.38600000000002E-06
6.179,2.900,-0.367,3E-06,6.69450000000002E-06
6.279,3.000,-0.366,1E-06,7.00150000000002E-06
6.379,3.100,-0.365,3E-06,7.33350000000002E-06
6.479,3.200,-0.364,4E-06,7.64800000000001E-06
6.579,3.300,-0.363,4E-06,7.97300000000003E-06
6.679,3.400,-0.362,3E-06,8.31750000000006E-06
6.779,3.500,-0.361,3E-06,8.65050000000008E-06
6.879,3.600,-0.36,4E-06,9.0050000000001E-06
6.979,3.700,-0.359,4E-06,9.36700000000013E-06
7.079,3.800,-0.358,4E-06,9.72000000000017E-06
7.179,3.900,-0.357,4E-06,1.00690000000002E-05
7.279,4.000,-0.356,4E-06,1.04270000000002E-05
7.379,4.100,-0.355,4E-06,1.07960000000002E-05
7.479,4.200,-0.354,5E-06,1.11945000000003E-05
7.579,4.300,-0.353,3E-06,1.16035000000003E-05
7.679,4.400,-0.352,4E-06,1.19590000000003E-05
7.779,4.500,-0.351,5E-06,1.23745000000004E-05
7.879,4.600,-0.35,4E-06,1.27840000000004E-05
7.979,4.700,-0.349,5E-06,1.31845000000005E-05
8.079,4.800,-0.348,5E-06,1.35965000000005E-05
8.179,4.900,-0.347,4E-06,1.40140000000005E-05
8.279,5.000,-0.346,6E-06,1.44210000000006E-05
8.379,5.100,-0.345,3E-06,1.48495000000006E-05
8.479,5.200,-0.344,6E-06,1.52780000000007E-05
8.579,5.300,-0.343,4E-06,1.57170000000007E-05
8.679,5.400,-0.342,5E-06,1.61725000000007E-05
8.779,5.500,-0.341,5E-06,1.66055000000007E-05
8.879,5.600,-0.34,4E-06,1.70550000000007E-05
8.979,5.700,-0.339,6E-06,1.74900000000007E-05
9.079,5.800,-0.338,4E-06,1.79460000000007E-05
9.179,5.900,-0.337,4E-06,1.84150000000008E-05
9.279,6.000,-0.336,5E-06,1.88745000000008E-05
9.379,6.100,-0.335,5E-06,1.93295000000009E-05
9.479,6.200,-0.334,5E-06,1.98335000000009E-05
9.579,6.300,-0.333,4E-06,2.03000000000009E-05
9.679,6.400,-0.332,5E-06,2.08285000000009E-05
9.779,6.500,-0.331,6E-06,2.13470000000009E-05
9.879,6.600,-0.33,5E-06,2.18495000000009E-05
9.979,6.700,-0.329,5E-06,2.23645000000009E-05
10.079,6.800,-0.328,5E-06,2.29055000000009E-05
10.179,6.900,-0.327,5E-06,2.34305000000009E-05
10.279,7.000,-0.326,5E-06,2.39595000000009E-05
10.379,7.100,-0.325,6E-06,2.45050000000009E-05
10.479,7.200,-0.324,6E-06,2.50750000000009E-05
10.579,7.300,-0.323,6E-06,2.56100000000009E-05
10.679,7.400,-0.322,6E-06,2.61710000000009E-05
10.779,7.500,-0.321,7E-06,2.67235000000009E-05
10.879,7.600,-0.32,5E-06,2.73045000000009E-05
10.979,7.700,-0.319,5E-06,2.78655000000009E-05
11.079,7.800,-0.318,6E-06,2.84260000000009E-05
11.179,7.900,-0.317,7E-06,2.89905000000009E-05
11.279,8.000,-0.316,6E-06,2.95890000000009E-05
11.379,8.100,-0.315,6E-06,3.01730000000009E-05
11.479,8.200,-0.314,7E-06,3.07525000000009E-05
11.579,8.300,-0.313,7E-06,3.13815000000009E-05
11.679,8.400,-0.312,6E-06,3.1990000000001E-05
11.779,8.500,-0.311,7E-06,3.2618500000001E-05
11.879,8.600,-0.31,6E-06,3.3272000000001E-05
11.979,8.700,-0.309,7E-06,3.38895000000011E-05
12.079,8.800,-0.308,6E-06,3.45470000000011E-05
12.179,8.900,-0.307,6E-06,3.52120000000011E-05
12.279,9.000,-0.306,6E-06,3.58560000000011E-05
12.379,9.100,-0.305,7E-06,3.64925000000011E-05
12.479,9.200,-0.304,6E-06,3.71430000000011E-05
12.579,9.300,-0.303,8E-06,3.78230000000011E-05
12.679,9.400,-0.302,7E-06,3.84865000000011E-05
12.779,9.500,-0.301,7E-06,3.91615000000011E-05
12.879,9.600,-0.3,8E-06,3.98760000000012E-05
12.979,9.700,-0.299,8E-06,4.05980000000012E-05
13.079,9.800,-0.298,8E-06,4.13320000000012E-05
13.179,9.900,-0.297,7E-06,4.20525000000013E-05
13.279,10.000,-0.296,7E-06,4.28085000000013E-05
13.379,10.100,-0.295,8E-06,4.35410000000013E-05
13.479,10.200,-0.294,6E-06,4.42710000000014E-05
13.579,10.300,-0.293,9E-06,4.50595000000014E-05
13.679,10.400,-0.292,7E-06,4.58275000000015E-05
13.779,10.500,-0.291,8E-06,4.66180000000015E-05
13.879,10.600,-0.29,9E-06,4.74095000000015E-05
13.979,10.700,-0.289,8E-06,4.81870000000015E-05
14.079,10.800,-0.288,8E-06,4.90160000000016E-05
14.179,10.900,-0.287,8E-06,4.98300000000017E-05
14.279,11.000,-0.286,1E-05,5.06450000000017E-05
14.379,11.100,-0.285,9E-06,5.14955000000018E-05
14.479,11.200,-0.284,9E-06,5.23475000000018E-05
14.579,11.300,-0.283,1E-05,5.32150000000018E-05
14.679,11.400,-0.282,1E-05,5.40620000000019E-05
14.779,11.500,-0.281,8E-06,5.4935000000002E-05
14.879,11.600,-0.28,1E-05,5.5825000000002E-05
14.979,11.700,-0.279,9E-06,5.67235000000021E-05
15.079,11.800,-0.278,1E-05,5.76440000000022E-05
15.179,11.900,-0.277,9E-06,5.85745000000022E-05
15.279,12.000,-0.276,9E-06,5.94805000000022E-05
15.379,12.100,-0.275,9E-06,6.04075000000022E-05
15.479,12.200,-0.274,9E-06,6.13665000000022E-05
15.579,12.300,-0.273,8E-06,6.23110000000021E-05
15.679,12.400,-0.272,1E-05,6.3284000000002E-05
15.779,12.500,-0.271,1.1E-05,6.4276500000002E-05
15.879,12.600,-0.27,1E-05,6.52780000000019E-05
15.979,12.700,-0.269,9E-06,6.62855000000019E-05
16.079,12.800,-0.268,1.2E-05,6.73000000000018E-05
16.179,12.900,-0.267,1E-05,6.83650000000019E-05
16.279,13.000,-0.266,1E-05,6.94230000000019E-05
16.379,13.100,-0.265,1.1E-05,7.04845000000019E-05
16.479,13.200,-0.264,1.1E-05,7.15595000000019E-05
16.579,13.300,-0.263,1.1E-05,7.26305000000019E-05
16.679,13.400,-0.262,1.1E-05,7.37305000000019E-05
16.779,13.500,-0.261,1.1E-05,7.4839500000002E-05
16.879,13.600,-0.26,1.1E-05,7.5933500000002E-05
16.979,13.700,-0.259,1.1E-05,7.70925000000021E-05
17.079,13.800,-0.258,1.2E-05,7.82670000000022E-05
17.179,13.900,-0.257,1.2E-05,7.94720000000023E-05
17.279,14.000,-0.256,1.2E-05,8.06820000000023E-05
17.379,14.100,-0.255,1.2E-05,8.18870000000024E-05
17.479,14.200,-0.254,1.1E-05,8.31085000000024E-05
17.579,14.300,-0.253,1.4E-05,8.43820000000025E-05
17.679,14.400,-0.252,1.3E-05,8.56615000000025E-05
17.779,14.500,-0.251,1.3E-05,8.69245000000026E-05
17.879,14.600,-0.25,1.4E-05,8.82300000000026E-05
17.979,14.700,-0.249,1.2E-05,8.95510000000025E-05
18.079,14.800,-0.248,1.3E-05,9.08865000000024E-05
18.179,14.900,-0.247,1.4E-05,9.22940000000024E-05
18.279,15.000,-0.246,1.5E-05,9.37095000000023E-05
18.379,15.100,-0.245,1.5E-05,9.51225000000023E-05
18.479,15.200,-0.244,1.4E-05,9.66060000000023E-05
18.579,15.300,-0.243,1.5E-05,9.80845000000023E-05
18.679,15.400,-0.242,1.5E-05,9.95675000000023E-05
18.779,15.500,-0.241,1.7E-05,0.000101097500000002
18.879,15.600,-0.24,1.5E-05,0.000102642500000002
18.979,15.700,-0.239,1.5E-05,0.000104190500000002
19.079,15.800,-0.238,1.5E-05,0.000105768500000003
19.179,15.900,-0.237,1.7E-05,0.000107365500000003
19.279,16.000,-0.236,1.7E-05,0.000108995500000003
19.379,16.100,-0.235,1.6E-05,0.000110670000000003
19.479,16.200,-0.234,1.8E-05,0.000112364000000003
19.579,16.300,-0.233,1.7E-05,0.000114089500000003
19.679,16.400,-0.232,1.7E-05,0.000115838500000003
19.779,16.500,-0.231,1.8E-05,0.000117662000000003
