出力日時,2021/06/09 14:35:30
データソース,VS2-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.375,0.100,-0.338,2E-06,1.81E-07
3.475,0.200,-0.337,2E-06,3.9E-07
3.575,0.300,-0.336,2E-06,6.18E-07
3.675,0.400,-0.335,3E-06,8.76500000000001E-07
3.775,0.500,-0.334,3E-06,1.1225E-06
3.875,0.600,-0.333,3E-06,1.3895E-06
3.975,0.700,-0.332,3E-06,1.6045E-06
4.075,0.800,-0.331,4E-06,1.903E-06
4.175,0.900,-0.33,4E-06,2.16199999999999E-06
4.275,1.000,-0.329,3E-06,2.44349999999999E-06
4.375,1.100,-0.328,3E-06,2.70949999999999E-06
4.475,1.200,-0.327,4E-06,2.99899999999999E-06
4.575,1.300,-0.326,2E-06,3.31099999999999E-06
4.675,1.400,-0.325,3E-06,3.62049999999998E-06
4.775,1.500,-0.324,4E-06,3.92599999999998E-06
4.875,1.600,-0.323,3E-06,4.25449999999998E-06
4.975,1.700,-0.322,3E-06,4.58349999999998E-06
5.075,1.800,-0.321,4E-06,4.91999999999998E-06
5.175,1.900,-0.32,3E-06,5.28449999999998E-06
5.275,2.000,-0.319,3E-06,5.66949999999998E-06
5.375,2.100,-0.318,3E-06,6.04249999999997E-06
5.475,2.200,-0.317,3E-06,6.40349999999996E-06
5.575,2.300,-0.316,3E-06,6.79249999999996E-06
5.675,2.400,-0.315,4E-06,7.13399999999995E-06
5.775,2.500,-0.314,4E-06,7.50599999999994E-06
5.875,2.600,-0.313,3E-06,7.88649999999995E-06
5.975,2.700,-0.312,4E-06,8.26399999999999E-06
6.075,2.800,-0.311,4E-06,8.62800000000002E-06
6.175,2.900,-0.31,3E-06,8.98550000000005E-06
6.275,3.000,-0.309,5E-06,9.39050000000007E-06
6.375,3.100,-0.308,5E-06,9.79250000000009E-06
6.475,3.200,-0.307,4E-06,1.01840000000001E-05
6.575,3.300,-0.306,4E-06,1.05920000000001E-05
6.675,3.400,-0.305,4E-06,1.10180000000002E-05
6.775,3.500,-0.304,4E-06,1.14740000000002E-05
6.875,3.600,-0.303,3E-06,1.19175000000002E-05
