出力日時,2021/06/21 14:01:43
データソース,hematite_95_S2-1-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.337,0.100,-0.371,2E-06,2.18E-07
3.437,0.200,-0.37,2E-06,4.28E-07
3.537,0.300,-0.369,2E-06,6.39E-07
3.637,0.400,-0.368,2E-06,8.50000000000001E-07
3.737,0.500,-0.367,2E-06,1.107E-06
3.837,0.600,-0.366,3E-06,1.3575E-06
3.937,0.700,-0.365,2E-06,1.638E-06
4.037,0.800,-0.364,3E-06,1.9145E-06
4.137,0.900,-0.363,3E-06,2.2035E-06
4.237,1.000,-0.362,3E-06,2.51149999999999E-06
4.337,1.100,-0.361,3E-06,2.76449999999999E-06
4.437,1.200,-0.36,2E-06,3.06999999999999E-06
4.537,1.300,-0.359,3E-06,3.34549999999998E-06
4.637,1.400,-0.358,4E-06,3.63899999999998E-06
4.737,1.500,-0.357,2E-06,3.94099999999998E-06
4.837,1.600,-0.356,2E-06,4.21199999999998E-06
4.937,1.700,-0.355,4E-06,4.55599999999999E-06
5.037,1.800,-0.354,2E-06,4.90099999999999E-06
5.137,1.900,-0.353,3E-06,5.25849999999999E-06
5.237,2.000,-0.352,3E-06,5.60049999999999E-06
5.337,2.100,-0.351,3E-06,5.95049999999998E-06
5.437,2.200,-0.35,3E-06,6.30549999999997E-06
5.537,2.300,-0.349,3E-06,6.66549999999997E-06
5.637,2.400,-0.348,2E-06,7.04299999999996E-06
5.737,2.500,-0.347,3E-06,7.44949999999996E-06
5.837,2.600,-0.346,5E-06,7.85149999999996E-06
5.937,2.700,-0.345,4E-06,8.30599999999998E-06
6.037,2.800,-0.344,3E-06,8.7385E-06
6.137,2.900,-0.343,4E-06,9.14700000000003E-06
6.237,3.000,-0.342,5E-06,9.54550000000006E-06
6.337,3.100,-0.341,5E-06,9.94550000000008E-06
6.437,3.200,-0.34,5E-06,1.03695000000001E-05
6.537,3.300,-0.339,5E-06,1.08035000000001E-05
6.637,3.400,-0.338,4E-06,1.12230000000002E-05
6.737,3.500,-0.337,3E-06,1.16235000000002E-05
6.837,3.600,-0.336,4E-06,1.20830000000002E-05
6.937,3.700,-0.335,4E-06,1.25080000000003E-05
7.037,3.800,-0.334,4E-06,1.29500000000003E-05
7.137,3.900,-0.333,4E-06,1.34320000000003E-05
7.237,4.000,-0.332,5E-06,1.39085000000003E-05
7.337,4.100,-0.331,5E-06,1.43865000000003E-05
7.437,4.200,-0.33,6E-06,1.48660000000004E-05
7.537,4.300,-0.329,4E-06,1.53570000000004E-05
7.637,4.400,-0.328,6E-06,1.58630000000004E-05
7.737,4.500,-0.327,6E-06,1.63740000000004E-05
7.837,4.600,-0.326,6E-06,1.68780000000004E-05
7.937,4.700,-0.325,6E-06,1.74100000000004E-05
8.037,4.800,-0.324,4E-06,1.79200000000004E-05
8.137,4.900,-0.323,5E-06,1.84785000000004E-05
8.237,5.000,-0.322,4E-06,1.90290000000004E-05
8.337,5.100,-0.321,6E-06,1.95810000000004E-05
8.437,5.200,-0.32,5E-06,2.01185000000004E-05
8.537,5.300,-0.319,5E-06,2.06945000000004E-05
8.637,5.400,-0.318,6E-06,2.12680000000004E-05
8.737,5.500,-0.317,5E-06,2.18605000000004E-05
8.837,5.600,-0.316,5E-06,2.24365000000004E-05
8.937,5.700,-0.315,4E-06,2.30490000000004E-05
9.037,5.800,-0.314,4E-06,2.35960000000004E-05
9.137,5.900,-0.313,5E-06,2.41495000000004E-05
9.237,6.000,-0.312,6E-06,2.47450000000004E-05
9.337,6.100,-0.311,6E-06,2.53250000000005E-05
9.437,6.200,-0.31,5E-06,2.59125000000004E-05
9.537,6.300,-0.309,5E-06,2.65295000000005E-05
9.637,6.400,-0.308,5E-06,2.71585000000005E-05
9.737,6.500,-0.307,8E-06,2.77670000000005E-05
9.837,6.600,-0.306,7E-06,2.83755000000005E-05
9.937,6.700,-0.305,6E-06,2.90170000000005E-05
10.037,6.800,-0.304,7E-06,2.96495000000005E-05
10.137,6.900,-0.303,7E-06,3.03015000000005E-05
10.237,7.000,-0.302,9E-06,3.09755000000005E-05
10.337,7.100,-0.301,8E-06,3.16230000000004E-05
10.437,7.200,-0.3,6E-06,3.22930000000004E-05
10.537,7.300,-0.299,6E-06,3.29620000000004E-05
10.637,7.400,-0.298,7E-06,3.36465000000004E-05
10.737,7.500,-0.297,8E-06,3.43610000000004E-05
10.837,7.600,-0.296,6E-06,3.50390000000004E-05
10.937,7.700,-0.295,7E-06,3.57565000000004E-05
11.037,7.800,-0.294,6E-06,3.65020000000004E-05
11.137,7.900,-0.293,7E-06,3.72315000000004E-05
11.237,8.000,-0.292,8E-06,3.79710000000004E-05
11.337,8.100,-0.291,7E-06,3.86885000000004E-05
11.437,8.200,-0.29,8E-06,3.94350000000004E-05
11.537,8.300,-0.289,5E-06,4.01625000000005E-05
11.637,8.400,-0.288,9E-06,4.09085000000005E-05
11.737,8.500,-0.287,8E-06,4.16830000000005E-05
11.837,8.600,-0.286,9E-06,4.24305000000005E-05
11.937,8.700,-0.285,7E-06,4.31975000000006E-05
12.037,8.800,-0.284,8E-06,4.39560000000006E-05
12.137,8.900,-0.283,8E-06,4.47050000000006E-05
12.237,9.000,-0.282,8E-06,4.54900000000007E-05
12.337,9.100,-0.281,7E-06,4.62615000000007E-05
12.437,9.200,-0.28,9E-06,4.70695000000008E-05
12.537,9.300,-0.279,8E-06,4.78690000000008E-05
12.637,9.400,-0.278,8E-06,4.86940000000008E-05
12.737,9.500,-0.277,9E-06,4.95255000000009E-05
12.837,9.600,-0.276,9E-06,5.03685000000009E-05
12.937,9.700,-0.275,1E-05,5.1233000000001E-05
13.037,9.800,-0.274,1E-05,5.2113000000001E-05
13.137,9.900,-0.273,9E-06,5.2989500000001E-05
13.237,10.000,-0.272,9E-06,5.39015000000011E-05
13.337,10.100,-0.271,1E-05,5.48110000000011E-05
