出力日時,2021/06/21 14:11:14
データソース,hematite_100_S3-3-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.392,0.100,-0.347,2E-06,1.55E-07
3.492,0.200,-0.346,2E-06,3.23E-07
3.592,0.300,-0.345,2E-06,5.01E-07
3.692,0.400,-0.344,3E-06,7.07500000000001E-07
3.792,0.500,-0.343,1E-06,8.94500000000001E-07
3.892,0.600,-0.342,3E-06,1.1115E-06
3.992,0.700,-0.341,2E-06,1.333E-06
4.092,0.800,-0.34,0,1.559E-06
4.192,0.900,-0.339,3E-06,1.7735E-06
4.292,1.000,-0.338,2E-06,2.021E-06
4.392,1.100,-0.337,2E-06,2.26699999999999E-06
4.492,1.200,-0.336,2E-06,2.50699999999999E-06
4.592,1.300,-0.335,1E-06,2.73949999999999E-06
4.692,1.400,-0.334,3E-06,3.00049999999999E-06
4.792,1.500,-0.333,2E-06,3.24099999999999E-06
4.892,1.600,-0.332,1E-06,3.50249999999999E-06
4.992,1.700,-0.331,3E-06,3.77749999999999E-06
5.092,1.800,-0.33,2E-06,4.04699999999999E-06
5.192,1.900,-0.329,2E-06,4.29799999999999E-06
5.292,2.000,-0.328,3E-06,4.5735E-06
5.392,2.100,-0.327,4E-06,4.87E-06
5.492,2.200,-0.326,2E-06,5.173E-06
5.592,2.300,-0.325,2E-06,5.45800000000001E-06
5.692,2.400,-0.324,3E-06,5.74250000000001E-06
5.792,2.500,-0.323,4E-06,6.09500000000001E-06
5.892,2.600,-0.322,3E-06,6.40150000000001E-06
5.992,2.700,-0.321,3E-06,6.71650000000001E-06
6.092,2.800,-0.32,3E-06,7.0505E-06
6.192,2.900,-0.319,3E-06,7.3565E-06
6.292,3.000,-0.318,4E-06,7.717E-06
6.392,3.100,-0.317,2E-06,8.03200000000002E-06
6.492,3.200,-0.316,2E-06,8.35800000000004E-06
6.592,3.300,-0.315,3E-06,8.69450000000006E-06
6.692,3.400,-0.314,3E-06,9.03150000000008E-06
6.792,3.500,-0.313,3E-06,9.3865000000001E-06
6.892,3.600,-0.312,3E-06,9.73450000000013E-06
6.992,3.700,-0.311,4E-06,1.00830000000002E-05
7.092,3.800,-0.31,4E-06,1.04680000000002E-05
7.192,3.900,-0.309,5E-06,1.08835000000002E-05
7.292,4.000,-0.308,3E-06,1.12805000000002E-05
7.392,4.100,-0.307,3E-06,1.16995000000003E-05
7.492,4.200,-0.306,4E-06,1.20470000000003E-05
7.592,4.300,-0.305,5E-06,1.24365000000003E-05
7.692,4.400,-0.304,4E-06,1.28480000000004E-05
7.792,4.500,-0.303,4E-06,1.32790000000004E-05
7.892,4.600,-0.302,4E-06,1.37170000000004E-05
7.992,4.700,-0.301,3E-06,1.41315000000005E-05
8.092,4.800,-0.3,4E-06,1.45490000000005E-05
