"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\pec_newdataset\no_12_deposition_3h_air_6.txt"


  Open Circuit Potential (V): -0.3739
"E (Volts)"	"I (Amps/cm^2~)"
-0.4978883	-6.0669E-06
-0.4792186	-3.9396E-06
-0.45909411	-2.3521E-06
-0.43872711	-1.0718E-06
-0.41866329	-3.1378E-08
-0.3993873	9.3531E-07
-0.37786871	2.0614E-06
-0.35725921	3.4555E-06
-0.3360436	5.903E-06
-0.31652531	9.9356E-06
-0.29561281	1.6966E-05
-0.2757307	2.7521E-05
-0.25651541	4.1405E-05
-0.2362697	6.0786E-05
-0.21578149	8.3943E-05
-0.1951115	0.00011068
-0.17365339	0.00013998
-0.15439311	0.00016808
-0.13521209	0.00019634
-0.1161039	0.00022571
-0.095613472	0.00025676
-0.077299401	0.00028495
-0.05615427	0.00031745
-0.035197061	0.00035002
-0.0159676	0.00038003
0.005183605	0.00041253
0.027444201	0.00044776
0.04991091	0.00048245
0.070328578	0.00051428
0.089946017	0.00054436
0.1094968	0.00057443
0.1293143	0.00060475
0.1491864	0.00063422
0.1694646	0.00066363
0.1880151	0.00069092
0.2088874	0.00072239
0.2290792	0.00075065
0.2495068	0.00077945
0.2699343	0.00080728
0.28848279	0.00083178
0.30854669	0.00085737
0.32897431	0.00088168
0.3490988	0.00090382
0.3709206	0.00092631
0.3915906	0.00094608
0.40983599	0.00096275
0.43086979	0.00098034
0.45129731	0.00099562
0.4711794	0.0010088
0.48966721	0.0010213
0.50991303	0.0010328
0.52943128	0.0010451
0.55034387	0.0010563
0.56883168	0.0010666
0.58931988	0.0010766
0.6093232	0.0010871
0.62993258	0.0010954
0.6506027	0.001106
0.67266691	0.0011191
0.6912154	0.0011322
0.71085501	0.0011492
0.73037332	0.0011714
0.75183141	0.0012123
0.77025872	0.0012667
0.79080749	0.0013591
0.78923142	0.0013519
0.76862198	0.001262
0.74940681	0.0012059
0.72831237	0.0011684
0.70794541	0.0011389
0.68806338	0.0011231
0.66957551	0.0011103
0.64793563	0.0010972
0.62744743	0.0010852
0.60677743	0.0010753
0.5869559	0.0010648
0.56561911	0.0010537
0.54670691	0.0010429
0.52452153	0.0010305
0.50100237	0.0010158
0.47869581	0.0010008
0.45669219	0.00098592
0.43681011	0.00097094
0.4164432	0.00095433
0.39686421	0.00093686
0.37849751	0.00091855
0.3585549	0.00089902
0.3380667	0.00087701
0.31788161	0.00085155
0.2995756	0.00082947
0.2757535	0.00079752
0.25690189	0.00076963
0.2341709	0.00073706
0.2128341	0.0007062
0.19198219	0.00067412
0.17076661	0.00064204
0.15166581	0.00061251
0.13176949	0.00058195
0.1111457	0.00055
0.086993709	0.00051307
0.067836992	0.00048281
0.045145981	0.00044691
0.02554065	0.00041575
0.0056443359	0.0003844
-0.01291222	0.00035444
-0.033996731	0.00032079
-0.057536472	0.00028635
-0.077281222	0.00025585
-0.097171493	0.00022377
-0.1177165	0.00019339
-0.1379219	0.00016404
-0.15693919	0.00013828
-0.1779571	0.00011032
-0.2003632	8.356E-05
-0.2214188	5.9846E-05
-0.2413615	4.0616E-05
-0.2640925	2.2939E-05
-0.284217	1.1957E-05
-0.30700859	3.5477E-06
-0.32592079	-3.948E-07
-0.34750009	-2.5758E-06
-0.36859441	-3.5455E-06
-0.38756731	-3.7414E-06
-0.40750989	-4.0045E-06
-0.4265433	-4.355E-06
-0.447274	-4.9578E-06
-0.46582249	-5.8341E-06
-0.4864319	-7.3082E-06
-0.49843389	-7.8801E-06
-0.47824869	-4.5139E-06
-0.45891219	-2.856E-06
-0.4384847	-1.4716E-06
-0.41696599	-2.817E-07
-0.3980538	7.0475E-07
-0.37865669	1.7321E-06
-0.3561075	3.2754E-06
-0.33592239	5.3184E-06
-0.31482801	9.2455E-06
-0.29597649	1.522E-05
-0.2753064	2.5379E-05
-0.2548182	3.9366E-05
-0.2365122	5.5677E-05
-0.2165089	7.6752E-05
-0.1955964	0.00010196
-0.1757144	0.00012787
-0.1539869	0.00015797
-0.13373899	0.00018651
-0.1111813	0.00021813
-0.092927903	0.0002459
-0.072164677	0.00027677
-0.05027388	0.00030963
-0.030377571	0.00034044
-0.0093597397	0.00037269
0.01028196	0.00040326
0.030887561	0.00043733
0.049783599	0.0004662
0.071074232	0.00049955
0.093152963	0.00053405
0.1137646	0.0005657
0.13378219	0.00059693
0.15380581	0.00062689
0.175539	0.00065993
0.1960173	0.00069055
0.2178652	0.00072372
0.23574691	0.00074974
0.2561745	0.0007786
0.276299	0.00080655
0.29630229	0.00083293
0.3152751	0.00085682
0.33461159	0.0008798
0.35437241	0.00090163
0.37625471	0.00092437
0.39716721	0.00094256
0.41692811	0.00095948
0.4373557	0.00097646
0.45844999	0.00099156
0.47905949	0.0010055
0.50160861	0.0010204
0.52124822	0.0010318
0.539433	0.001041
0.55967867	0.0010509
0.57877278	0.0010627
0.59883672	0.0010711
0.6187793	0.001081
0.64157093	0.0010936
0.66248351	0.0011042
0.68339592	0.0011188
0.70139891	0.0011345
0.72328132	0.0011578
0.74328452	0.0011937
0.76262099	0.0012466
0.78074521	0.0013205
0.79765707	0.0014191
0.77947217	0.0013169
0.75740808	0.0012307
0.73746538	0.0011804
0.71728033	0.0011484
0.6953373	0.0011239
0.67515218	0.0011084
0.65126938	0.0010917
0.63156933	0.001081
0.61108112	0.0010706
0.58725899	0.0010573
0.56761938	0.0010479
0.54707062	0.0010361
0.52700669	0.0010245
0.50494248	0.0010108
0.48578781	0.00099974
0.4651784	0.00098574
0.4434779	0.00096918
0.4214136	0.00095142
0.39904639	0.00093225
0.3790431	0.00091443
0.35910049	0.00089423
0.33867291	0.00087131
0.31933641	0.00084797
0.29854509	0.00082226
0.27939051	0.00079679
0.2553865	0.00076205
0.2334435	0.00073015
0.2131978	0.00070098
0.1894969	0.0006643
0.16979671	0.00063289
0.1487741	0.00060039
0.1290839	0.00056934
0.106793	0.00053502
0.084447563	0.0005007
0.061895981	0.00046589
0.041005451	0.00043291
0.02232766	0.00040301
0.001776619	0.00037088
-0.01749528	0.00034135
-0.03891322	0.00030957
-0.05813057	0.00027998
-0.078075372	0.00025027
-0.099087156	0.0002191
-0.1187592	0.00019066
-0.1405711	0.00015949
-0.1617769	0.00013054
-0.17998791	0.00010686
-0.2035943	7.7929E-05
-0.2231161	5.6703E-05
-0.24366491	3.7151E-05
-0.2661534	2.0755E-05
-0.28712651	9.7858E-06
-0.30816031	2.803E-06
-0.3270725	-9.6146E-07
-0.34834871	-2.9075E-06
-0.36962491	-3.6577E-06
-0.38950691	-3.9342E-06
-0.40993449	-4.1149E-06
-0.4301196	-4.4994E-06
-0.45054719	-5.1798E-06
-0.47000501	-6.1931E-06
-0.48752299	-7.5241E-06
-0.49109939	-7.8625E-06
