"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\pec_newdataset\no_25_deposition_3h_p_2.txt"


  Open Circuit Potential (V): -0.3722
"E (Volts)"	"I (Amps/cm^2~)"
-0.49807021	-1.2837E-05
-0.48152199	-8.6951E-06
-0.46067011	-5.4708E-06
-0.4375754	-2.6644E-06
-0.41581431	-4.6748E-07
-0.3937501	1.5108E-06
-0.37520161	3.3445E-06
-0.35538009	6.1128E-06
-0.33495259	1.0637E-05
-0.31331259	1.8447E-05
-0.29337001	2.9202E-05
-0.27245751	4.4342E-05
-0.25439391	6.0222E-05
-0.234027	7.9118E-05
-0.2140843	0.0001003
-0.1938386	0.00012181
-0.1698952	0.00014847
-0.1501071	0.00017105
-0.1299925	0.00019255
-0.1102902	0.0002148
-0.089708842	0.00023644
-0.069812529	0.00025736
-0.049843471	0.00027774
-0.03054125	0.0002966
-0.01051157	0.00031636
0.0106457	0.00033686
0.031130049	0.00035553
0.051086981	0.000375
0.068461403	0.00039107
0.089012437	0.00040932
0.1087087	0.00042818
0.12978721	0.00044734
0.1515931	0.00046747
0.17128929	0.00048627
0.19117349	0.00050452
0.2127735	0.00052392
0.2343528	0.00054254
0.25387111	0.00055976
0.27357131	0.00057498
0.29393819	0.00059141
0.31315351	0.0006036
0.33255059	0.00061797
0.35194781	0.00062943
0.37007189	0.00064029
0.39322719	0.00065241
0.4140791	0.00066369
0.43262759	0.00067194
0.4539645	0.00068182
0.4731797	0.00068952
0.4934254	0.00069747
0.5148229	0.00070505
0.53361392	0.00071263
0.55525368	0.0007196
0.57483268	0.00072736
0.59574533	0.00073694
0.61562729	0.00074482
0.63653982	0.00075865
0.65587628	0.00077623
0.67539471	0.00080758
0.69618589	0.00086852
0.71564358	0.00096372
0.73970819	0.0011396
0.76031762	0.0013425
0.77935112	0.0015706
0.79802072	0.0018288
0.77910858	0.0016083
0.76086318	0.00141
0.74013251	0.0012152
0.72049302	0.0010617
0.69600409	0.00091667
0.67666757	0.00083742
0.65654308	0.00078369
0.63411522	0.00075107
0.61586982	0.00073549
0.59204769	0.00072372
0.57113522	0.00071651
0.54985893	0.00070862
0.53003752	0.00070098
0.50967062	0.00069377
0.4890005	0.0006857
0.4682698	0.00067606
0.44978201	0.00066873
0.42595989	0.00065902
0.40201661	0.00064708
0.37995231	0.00063386
0.35994911	0.00062246
0.3395215	0.000611
0.31933641	0.00059645
0.29896939	0.00058244
0.27951169	0.00056649
0.2561745	0.00054794
0.2371411	0.00053223
0.2165923	0.00051313
0.1959828	0.0004947
0.1765251	0.00047608
0.1581585	0.00045819
0.1372437	0.00043849
0.1153529	0.00041799
0.095323242	0.00039925
0.076366581	0.000381
0.05653695	0.00036299
0.035513058	0.00034316
0.01322822	0.00032188
-0.005528396	0.00030405
-0.027279761	0.00028307
-0.046636529	0.00026367
-0.067181513	0.00024257
-0.0873385	0.00022098
-0.1098234	0.00019733
-0.12837391	0.00017732
-0.1516529	0.00015237
-0.1701307	0.0001323
-0.19068781	0.00011011
-0.212421	8.7365E-05
-0.2317235	6.8008E-05
-0.25196931	4.9287E-05
-0.2730636	3.1993E-05
-0.29264259	1.9037E-05
-0.31052431	9.8489E-06
-0.33058819	2.6581E-06
-0.35162199	-1.9664E-06
-0.37453479	-4.6225E-06
-0.39508361	-5.8486E-06
-0.4170872	-6.8686E-06
-0.43587819	-8.0547E-06
-0.45897281	-1.0309E-05
-0.48018849	-1.3522E-05
-0.49406949	-1.6304E-05
-0.48364359	-1.1075E-05
-0.46000329	-5.9511E-06
-0.440485	-3.0585E-06
-0.42036039	-6.2852E-07
-0.39981171	1.4913E-06
-0.3771413	3.5592E-06
-0.35695609	5.8435E-06
-0.33671039	9.6979E-06
-0.31652531	1.5574E-05
-0.29785559	2.3959E-05
-0.27736741	3.6338E-05
-0.25700039	5.2012E-05
-0.23736081	6.9343E-05
-0.2173575	8.8664E-05
-0.19796041	0.00010822
-0.17698731	0.00013058
-0.1564724	0.00015246
-0.1371581	0.0001727
-0.1169162	0.00019415
-0.094419211	0.00021746
-0.073583253	0.00023887
-0.054481089	0.00025791
-0.03490001	0.0002778
-0.01480364	0.00029732
0.0059656361	0.00031727
0.024600999	0.00033589
0.044703431	0.00035432
0.064199641	0.00037318
0.085284151	0.00039264
0.1040529	0.00041017
0.1240098	0.00042921
0.144767	0.00044837
0.16524529	0.00046838
0.1835472	0.00048463
0.20383149	0.00050391
0.2225932	0.00052059
0.2441725	0.00053914
0.26496381	0.00055661
0.28672501	0.00057407
0.3074556	0.00058965
0.32642841	0.00060318
0.3464317	0.00061543
0.3692233	0.00062846
0.389166	0.00064004
0.40929049	0.00065053
0.42808139	0.00065939
0.44656929	0.00066788
0.46814859	0.00067703
0.4902128	0.00068595
0.51051909	0.00069431
0.53046179	0.00070214
0.55385959	0.00071172
0.57362038	0.00071942
0.59313881	0.00072682
0.61350572	0.00073561
0.63259977	0.00074798
0.65296668	0.00076581
0.6740005	0.00080073
0.69424617	0.0008641
0.71697718	0.00098022
0.73904139	0.0011492
0.75928718	0.0013506
0.77880549	0.0015879
0.80062717	0.0018954
0.78298801	0.0016768
0.76274228	0.0014474
0.74334508	0.0012558
0.72316003	0.001089
0.70152009	0.00094857
0.68272918	0.00085919
0.66205913	0.00079352
0.64223772	0.00075586
0.62205261	0.00073361
0.6001702	0.00072033
0.57889402	0.00071081
0.55810273	0.00070317
0.53906929	0.00069589
0.51930839	0.00068886
0.49688059	0.00068122
0.47693789	0.00067339
0.4574196	0.00066466
0.4352341	0.00065545
0.4142004	0.00064471
0.3958337	0.00063574
0.37486061	0.00062458
0.3538875	0.0006116
0.334066	0.00059948
0.31309289	0.00058541
0.29127121	0.00056855
0.27102539	0.00055248
0.25162831	0.00053605
0.2332011	0.00051962
0.2131978	0.00050167
0.1913154	0.00048117
0.1702816	0.00046068
0.1511808	0.00043752
0.1313573	0.00041817
0.1113943	0.00040053
0.091303967	0.00038131
0.072086617	0.00036354
0.04846203	0.00034165
0.028511159	0.00032352
0.0095605524	0.00030581
-0.0125303	0.00028489
-0.032881279	0.00026597
-0.052365359	0.00024578
-0.073655993	0.00022529
-0.092800587	0.00020509
-0.1122786	0.00018478
-0.13256291	0.00016331
-0.1532412	0.00014215
-0.1783753	0.00011504
-0.1983202	9.4264E-05
-0.2196003	7.3621E-05
-0.23954301	5.5167E-05
-0.26051611	3.7539E-05
-0.28258029	2.1829E-05
-0.30337161	1.0957E-05
-0.32434481	2.9431E-06
-0.34362069	-1.2889E-06
-0.36495751	-4.1743E-06
-0.3855063	-5.4696E-06
-0.4059945	-6.2385E-06
-0.42539161	-7.0778E-06
-0.44430381	-8.3404E-06
-0.4681865	-1.0919E-05
-0.49006879	-1.456E-05
