"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\pec_newdataset\no_30_deposition_3h_tio2_air_3.txt"


  Open Circuit Potential (V): -0.3315
"E (Volts)"	"I (Amps/cm^2~)"
-0.49800959	-1.0984E-05
-0.47952169	-5.3035E-06
-0.46012461	-3.2732E-06
-0.4384847	-1.6007E-06
-0.41829959	-4.3824E-07
-0.39859939	5.1928E-07
-0.37974781	1.2753E-06
-0.3590171	2.0444E-06
-0.3384077	2.8637E-06
-0.31864679	3.8539E-06
-0.29773429	5.4548E-06
-0.27827659	7.9211E-06
-0.25766721	1.2113E-05
-0.23736081	1.8438E-05
-0.21717571	2.7399E-05
-0.19844539	3.8413E-05
-0.17826021	5.3608E-05
-0.1588731	7.1278E-05
-0.1400255	9.3633E-05
-0.1154249	0.00012283
-0.094867818	0.00015361
-0.07617183	0.00018588
-0.055687468	0.00022711
-0.035336491	0.00027537
-0.015325	0.00033207
0.004959302	0.00040047
0.023637099	0.00047372
0.044903491	0.00056704
0.065781891	0.00066715
0.086920962	0.00077235
0.1063262	0.00086846
0.1271925	0.00096682
0.14871959	0.0010608
0.1671306	0.001137
0.1873301	0.0012098
0.2065413	0.0012715
0.2278062	0.0013317
0.24647591	0.0013788
0.2665399	0.0014236
0.28593701	0.0014624
0.3043642	0.0014972
0.32412511	0.00153
0.34346151	0.0015615
0.36328301	0.0015878
0.3850441	0.0016167
0.4040775	0.0016389
0.4245657	0.0016596
0.44420531	0.0016795
0.4625113	0.0016983
0.48403001	0.0017185
0.50421512	0.0017364
0.52367282	0.0017533
0.54349428	0.0017689
0.56131542	0.0017818
0.58525872	0.0018009
0.60756528	0.0018152
0.62708372	0.001829
0.6506027	0.0018451
0.67212129	0.0018582
0.69127601	0.0018686
0.71121871	0.0018804
0.73067641	0.0018898
0.75249821	0.0019028
0.77025872	0.0019092
0.7908681	0.0019207
0.79092872	0.0019187
0.772259	0.0019117
0.75104338	0.0018949
0.73188871	0.0018851
0.7115218	0.0018729
0.69200343	0.001858
0.67297	0.0018453
0.65254241	0.0018293
0.6329028	0.0018166
0.61083859	0.0017986
0.59253258	0.0017828
0.57077152	0.001766
0.54870719	0.0017476
0.52846152	0.0017305
0.50918561	0.0017102
0.48906109	0.0016907
0.46633011	0.001667
0.44559941	0.0016436
0.42395949	0.001619
0.4036532	0.0015928
0.38431671	0.0015648
0.36401039	0.0015347
0.3419461	0.0015003
0.32279149	0.0014657
0.3038187	0.0014303
0.28393659	0.0013902
0.2641758	0.0013437
0.24405131	0.0012918
0.22501791	0.0012368
0.204954	0.0011719
0.1853144	0.0011023
0.1633714	0.0010153
0.1445366	0.00093353
0.1238401	0.00083584
0.1045439	0.00074258
0.084192947	0.00064374
0.064963482	0.00055315
0.041745059	0.00045316
0.02225491	0.00038027
0.0024374039	0.00031776
-0.02070828	0.000257
-0.043387171	0.00020819
-0.063544162	0.00017114
-0.084155813	0.00013863
-0.1044401	0.00011036
-0.12624601	8.3409E-05
-0.14712439	6.1369E-05
-0.1661417	4.4147E-05
-0.18662	2.871E-05
-0.2073651	1.638E-05
-0.22717731	7.4705E-06
-0.2499083	6.9044E-07
-0.27045709	-3.0446E-06
-0.29082409	-4.9839E-06
-0.31028181	-5.7486E-06
-0.33107311	-6.0421E-06
-0.35083389	-6.0942E-06
-0.3716858	-6.2052E-06
-0.39065871	-6.4957E-06
-0.4113287	-7.0657E-06
-0.43030149	-7.8922E-06
-0.4512746	-9.4088E-06
-0.47321761	-1.177E-05
-0.49328151	-1.4889E-05
-0.48473471	-7.6199E-06
-0.46267039	-4.1974E-06
-0.44139421	-2.323E-06
-0.41908759	-7.7829E-07
-0.39793259	3.3553E-07
-0.37520161	1.2676E-06
-0.35519829	2.0395E-06
-0.33495259	2.7781E-06
-0.3145856	3.7539E-06
-0.29409739	5.3051E-06
-0.27160889	8.0854E-06
-0.2508176	1.233E-05
-0.2322084	1.807E-05
-0.21159901	2.7345E-05
-0.19068649	3.9511E-05
-0.1707439	5.3753E-05
-0.1500646	7.2328E-05
-0.1310837	9.242E-05
-0.111048	0.00011673
-0.091145597	0.00014461
-0.071970686	0.00017524
-0.053068589	0.00021358
-0.033311699	0.00025106
-0.01487639	0.00029617
0.0054139709	0.00035602
0.02715927	0.00043248
0.047195021	0.00051404
0.067733943	0.00060669
0.084841616	0.00068904
0.1077751	0.00079885
0.12765931	0.00089345
0.1474708	0.00098246
0.16715489	0.0010643
0.18557809	0.0011338
0.20777801	0.0012093
0.2273213	0.0012671
0.248052	0.0013222
0.26647919	0.0013659
0.28660369	0.0014085
0.30642521	0.0014489
0.32479179	0.0014823
0.34861389	0.001518
0.36995071	0.0015483
0.38874161	0.0015751
0.4100785	0.0015997
0.4301424	0.0016227
0.45390379	0.0016492
0.47324029	0.0016689
0.4928799	0.0016867
0.51439857	0.0017059
0.53446251	0.0017255
0.55379897	0.0017387
0.57598442	0.0017576
0.59732121	0.0017738
0.61647588	0.0017891
0.63653982	0.0018028
0.6563006	0.0018141
0.67569768	0.0018286
0.69709522	0.0018406
0.71637112	0.0018518
0.73498023	0.0018622
0.75686252	0.0018745
0.77874488	0.0018872
0.79789948	0.0018968
0.78444272	0.0018878
0.76534867	0.0018754
0.74486047	0.0018609
0.72249317	0.0018499
0.70048958	0.0018354
0.67927402	0.0018215
0.65975571	0.0018074
0.63975239	0.001792
0.62035531	0.0017774
0.60180682	0.0017647
0.58095491	0.0017471
0.56095171	0.0017304
0.54009968	0.0017122
0.518278	0.0016908
0.49724421	0.0016695
0.4773016	0.0016496
0.45766199	0.0016286
0.43777999	0.0016053
0.41638261	0.0015797
0.39656109	0.0015515
0.37667909	0.0015237
0.35637271	0.0014936
0.33655131	0.0014596
0.318124	0.0014256
0.29460499	0.0013801
0.27272269	0.0013308
0.25077969	0.001275
0.2284124	0.0012135
0.2086516	0.0011503
0.1870117	0.0010732
0.16785701	0.00099768
0.1465553	0.00090867
0.1259982	0.00081541
0.1065809	0.00072372
0.08847896	0.00063653
0.06653361	0.00053575
0.04578251	0.00044873
0.025231481	0.00037354
0.0028253889	0.00030466
-0.017010299	0.00025421
-0.037082419	0.00021182
-0.05716667	0.00017508
-0.077044792	0.0001433
-0.096983559	0.00011475
-0.1166677	8.9865E-05
-0.1368793	6.7825E-05
-0.1556904	4.9967E-05
-0.17609601	3.3643E-05
-0.19570731	2.084E-05
-0.2139024	1.1703E-05
-0.2351786	3.7666E-06
-0.257061	-1.4109E-06
-0.27682179	-4.1288E-06
-0.2990073	-5.566E-06
-0.31888929	-6.0542E-06
-0.33858949	-6.1506E-06
-0.35907769	-6.1967E-06
-0.37811121	-6.2834E-06
-0.3980538	-6.6273E-06
-0.41884509	-7.2791E-06
-0.43975759	-8.3846E-06
-0.45982149	-9.9861E-06
-0.48049149	-1.2439E-05
-0.4847953	-1.3034E-05
