"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\tio2\pec\3h_air_8.txt"


  Open Circuit Potential (V): -0.3387
"E (Volts)"	"I (Amps/cm^2~)"
-0.49588799	-8.8109E-06
-0.47321761	-5.5212E-06
-0.45351741	-3.4563E-06
-0.43339291	-1.8233E-06
-0.41266221	-5.1924E-07
-0.39332569	4.4105E-07
-0.37289819	1.258E-06
-0.35174319	1.9813E-06
-0.3331947	2.5968E-06
-0.3122215	3.0977E-06
-0.29143029	3.7011E-06
-0.27112389	4.3415E-06
-0.2514843	5.3117E-06
-0.231178	7.063E-06
-0.21184149	9.8798E-06
-0.1917776	1.4667E-05
-0.1725623	2.1956E-05
-0.15217429	3.2818E-05
-0.1339148	4.5919E-05
-0.1134001	6.4591E-05
-0.092697538	8.7244E-05
-0.072316237	0.00011388
-0.051686391	0.00014474
-0.033293519	0.0001765
-0.01219687	0.00021364
0.007299331	0.00025251
0.029190131	0.00029872
0.04975329	0.00034371
0.068928197	0.00038828
0.088818453	0.0004343
0.1109699	0.00048742
0.1316604	0.00053551
0.1536179	0.00058486
0.1771576	0.00063713
0.1990969	0.00068316
0.2173803	0.00071905
0.2371411	0.00075562
0.25714439	0.0007897
0.2782993	0.00082268
0.29733279	0.00085185
0.3170329	0.0008778
0.3366119	0.00090369
0.35716069	0.00092734
0.37540609	0.00094923
0.39534879	0.00097143
0.41814041	0.00099453
0.43923479	0.0010155
0.45929861	0.0010339
0.47990811	0.0010529
0.50366962	0.001073
0.52464271	0.0010904
0.54416102	0.0011062
0.56374002	0.0011209
0.58210659	0.0011357
0.60247362	0.0011488
0.62108272	0.0011646
0.64266199	0.0011792
0.66369581	0.0011956
0.6824261	0.0012088
0.70436913	0.0012292
0.72455418	0.001253
0.74407262	0.0012847
0.76595491	0.0013412
0.78692812	0.0014315
0.79244411	0.0014633
0.77298641	0.0013682
0.75310439	0.0013042
0.73388898	0.0012625
0.7146132	0.0012306
0.69473112	0.00121
0.67369741	0.0011898
0.65187562	0.0011718
0.63211483	0.0011562
0.61265713	0.0011402
0.59192652	0.0011228
0.57271123	0.0011095
0.55331397	0.0010909
0.53361392	0.0010734
0.51282263	0.0010555
0.4936679	0.0010359
0.47039139	0.0010126
0.44875139	0.00099083
0.42850569	0.00096773
0.40904799	0.00094632
0.38910529	0.00092328
0.36843529	0.00089793
0.34891689	0.00087228
0.3300654	0.00084651
0.31018329	0.00081692
0.28914961	0.00078303
0.26926759	0.0007484
0.2484763	0.00071093
0.23017021	0.00067382
0.209379	0.00062986
0.1891332	0.00058335
0.16882689	0.00053344
0.1482103	0.00048263
0.12776241	0.00043018
0.1087693	0.00038082
0.085399337	0.0003214
0.066345677	0.00027586
0.04557034	0.00022898
0.023055131	0.00018272
0.001346199	0.00014414
-0.017555909	0.00011353
-0.037209731	8.6528E-05
-0.05558442	6.4931E-05
-0.077087231	4.3644E-05
-0.097989887	2.7539E-05
-0.1174376	1.6003E-05
-0.13846759	7.2522E-06
-0.1575758	1.7557E-06
-0.1778055	-1.6001E-06
-0.1974472	-3.3557E-06
-0.21990339	-4.1707E-06
-0.24008849	-4.2744E-06
-0.26027369	-4.0367E-06
-0.28039819	-3.6995E-06
-0.30040139	-3.5534E-06
-0.3194955	-3.3902E-06
-0.34022611	-3.3217E-06
-0.361563	-3.3593E-06
-0.38029331	-3.4885E-06
-0.4009634	-3.7832E-06
-0.4222396	-4.2707E-06
-0.44078809	-4.8784E-06
-0.46000329	-5.7807E-06
-0.48000661	-7.0487E-06
-0.49728221	-8.4283E-06
-0.4810977	-4.5388E-06
-0.46030641	-2.9094E-06
-0.4392727	-1.6304E-06
-0.41660231	-5.571E-07
-0.39659899	2.7392E-07
-0.37538341	9.8617E-07
-0.35665309	1.512E-06
-0.3348313	2.0565E-06
-0.31452489	2.5059E-06
-0.29452169	2.8679E-06
-0.27457899	3.3233E-06
-0.25354531	3.9697E-06
-0.23402689	4.6992E-06
-0.2140843	6.0285E-06
-0.1903228	8.6318E-06
-0.17098629	1.2879E-05
-0.14729419	1.9399E-05
-0.1262521	2.9056E-05
-0.1066589	4.0846E-05
-0.086477667	5.6551E-05
-0.066290364	7.6096E-05
-0.04550289	0.00010008
-0.02565507	0.00012687
-0.0039522098	0.00015982
0.0231885	0.00020788
0.04503686	0.00025184
0.063872278	0.00029271
0.08424145	0.0003391
0.1047561	0.0003884
0.1244645	0.00043661
0.1447064	0.00048645
0.166391	0.00053817
0.1870876	0.00058638
0.2062564	0.00062919
0.2282912	0.00067497
0.2494462	0.00071438
