"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\new_dataset\pec\no_54_deposition_3h_tio2_air_21.txt"


  Open Circuit Potential (V): -0.2545
"E (Volts)"	"I (Amps/cm^2~)"
-0.49491811	-7.3804E-06
-0.4728539	-4.8335E-06
-0.45309311	-3.3284E-06
-0.4315744	-2.1859E-06
-0.40981331	-1.2581E-06
-0.38635489	-5.3345E-07
-0.36338151	6.0752E-08
-0.34356001	5.1206E-07
-0.3227081	9.2496E-07
-0.3020381	1.2983E-06
-0.2833077	1.6581E-06
-0.26251641	2.0747E-06
-0.2421495	2.5071E-06
-0.2197822	3.1535E-06
-0.1993546	3.8806E-06
-0.1791089	4.843E-06
-0.1583517	6.3287E-06
-0.1392678	8.3741E-06
-0.1193351	1.1582E-05
-0.099390253	1.6206E-05
-0.080385089	2.2078E-05
-0.06111319	3.0355E-05
-0.04178673	4.1605E-05
-0.021653989	5.7164E-05
-0.00193348	7.5696E-05
0.0187873	9.9416E-05
0.03751966	0.0001236
0.057506911	0.00015186
0.077172853	0.00018052
0.098208867	0.00021134
0.1175293	0.00023832
0.14075381	0.00026828
0.16265669	0.0002949
0.1827046	0.00031806
0.2012248	0.0003385
0.2225326	0.00036148
0.2454455	0.00038058
0.26399401	0.00039798
0.2841185	0.00041411
0.3033337	0.00042981
0.32351881	0.00044698
0.34588611	0.00046468
0.36764729	0.00048075
0.38613519	0.00049215
0.40613839	0.00050464
0.425778	0.00051835
0.4459025	0.00052981
0.46487531	0.00054454
0.48475739	0.0005574
0.50524563	0.0005654
0.52458209	0.00057935
0.54537332	0.00059075
0.56743759	0.00060463
0.58616787	0.00061342
0.60598928	0.00062452
0.62490147	0.00063162
0.6464808	0.00064235
0.66557479	0.00065035
0.68545687	0.00066078
0.7053389	0.00067236
0.72334188	0.00067727
0.74558789	0.0006877
0.76613683	0.00069516
0.78583688	0.00070911
0.79699028	0.00071238
0.77486539	0.00069407
0.75546843	0.00068225
0.73485887	0.00067188
0.71467382	0.00066254
0.69436741	0.0006455
0.67533398	0.00063653
0.65151203	0.00062331
0.63296348	0.00061015
0.61229342	0.00059669
0.59186578	0.0005879
0.57319611	0.00057553
0.55434448	0.00056485
0.53124982	0.00054927
0.50694281	0.00053344
0.48518169	0.00051925
0.46311751	0.00050149
0.4426899	0.00049148
0.4225654	0.00047614
0.40225911	0.00046129
0.38413489	0.00044637
0.3622525	0.00043194
0.33873349	0.00041332
0.31685111	0.00039374
0.29448381	0.00037664
0.27557161	0.00036014
0.25556839	0.00034122
0.2352014	0.00031988
0.2150162	0.00029872
0.1967708	0.00028095
0.17494909	0.00025397
0.15041091	0.00022407
0.1315331	0.0002
0.1081388	0.00016762
0.0882001	0.00013941
0.068794832	0.00011278
0.04885608	8.6789E-05
0.02858996	6.4069E-05
0.0087178983	4.4833E-05
-0.01173614	3.0494E-05
-0.033736061	1.9414E-05
-0.052668471	1.2707E-05
-0.073789373	8.2777E-06
-0.094595022	5.2741E-06
-0.114849	3.2348E-06
-0.1343088	1.8425E-06
-0.1547083	8.6525E-07
-0.1750896	-5.4994E-08
-0.1967379	-7.6025E-07
-0.2219038	-1.3964E-06
-0.24293751	-1.8633E-06
-0.26257709	-2.0907E-06
-0.283429	-2.3302E-06
-0.30282611	-2.6183E-06
-0.32240501	-2.9955E-06
-0.3424083	-3.4272E-06
-0.36350271	-3.8541E-06
-0.3830817	-4.386E-06
-0.4039335	-5.0676E-06
-0.42326999	-5.8316E-06
-0.4429096	-6.8813E-06
-0.4633978	-8.3294E-06
-0.4835223	-1.0141E-05
-0.49764591	-1.1807E-05
-0.47855181	-4.3077E-06
-0.455639	-2.5116E-06
-0.4307864	-1.0926E-06
-0.4070856	-4.711E-08
-0.38514259	7.3637E-07
-0.3633208	1.3021E-06
-0.34234771	1.8309E-06
-0.3228294	2.2136E-06
-0.30234119	2.6296E-06
-0.28167111	2.9904E-06
-0.26166779	3.3009E-06
-0.2416646	3.6229E-06
-0.22032771	3.971E-06
-0.2008094	4.4155E-06
-0.18165471	4.8884E-06
-0.1612616	5.5949E-06
-0.1410501	6.7768E-06
-0.1202444	8.6991E-06
-0.1016212	1.1254E-05
-0.08207646	1.5268E-05
-0.0623984	2.0718E-05
-0.042392951	2.8467E-05
-0.02344235	3.9244E-05
-0.0054980852	5.2861E-05
0.01615628	7.146E-05
0.036689129	9.5065E-05
0.057349291	0.00012133
0.07662119	0.00014803
0.096614502	0.00017566
0.1179354	0.00020515
0.13766199	0.00022977
0.1580433	0.00025591
0.1779093	0.0002801
0.1970357	0.00030114
0.21877439	0.00032267
0.24205101	0.00034717
0.26066011	0.00036433
0.28036031	0.00038046
0.3002423	0.00039671
0.3195788	0.00041187
0.34103689	0.00043012
0.3606765	0.00044188
0.38031599	0.00045765
0.40025869	0.00047074
0.42117119	0.00048427
0.44390219	0.00049809
0.46566331	0.00051252
0.4863334	0.00052599
0.50457883	0.00053508
0.52391529	0.00054418
0.54385787	0.00055649
0.56295198	0.00057019
0.57992452	0.00057674
0.60204929	0.00059056
0.62114328	0.00059632
0.64078289	0.00061076
0.66096801	0.00061755
0.68157738	0.00062877
0.70539951	0.00063956
0.72437233	0.00064768
0.74358761	0.00065708
0.76268172	0.00066782
0.78250313	0.0006754
0.79923308	0.00068279
0.77965409	0.00067273
0.75704432	0.00065654
0.73904139	0.00064623
0.71831071	0.00063574
0.6987924	0.00062331
0.67781931	0.00061476
0.65533072	0.00060372
0.63575178	0.00059172
0.61617291	0.00057704
0.59653318	0.00056849
0.57452959	0.00055388
0.55634481	0.00054321
0.53500801	0.00053005
0.51288319	0.00051774
0.49360731	0.00050676
0.47245231	0.00048978
0.45366141	0.00047881
0.4328095	0.00046517
0.41274559	0.00045055
0.3918331	0.00043679
0.3706781	0.00041914
0.34849259	0.00040241
0.32988349	0.00038828
0.30775869	0.00037057
0.28436089	0.00035171
0.26241791	0.00033189
