"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_hematite_new_700_1.txt"


  Open Circuit Potential (V): -0.3545
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-5.6825E-06
-0.4806734	-3.7929E-06
-0.46042761	-2.7553E-06
-0.4392727	-1.7008E-06
-0.4174509	-8.2938E-07
-0.3953867	2.1173E-07
-0.37544399	9.2194E-06
-0.3538647	2.5471E-06
-0.33452821	4.2335E-06
-0.31422189	8.5954E-06
-0.29433981	1.6068E-05
-0.2739729	2.8121E-05
-0.2534847	4.5555E-05
-0.2355423	6.3912E-05
-0.21450859	8.9592E-05
-0.19456591	0.0001165
-0.1725623	0.00014667
-0.1503738	0.00017867
-0.1309807	0.00020873
-0.111248	0.00023881
-0.089605793	0.00027228
-0.070818856	0.00030078
-0.050498191	0.00033189
-0.03025027	0.00036336
-0.01060856	0.00039343
0.0085178446	0.00042539
0.02809892	0.00045674
0.048001301	0.00048936
0.068382591	0.00052332
0.087557502	0.0005563
0.1104486	0.00059681
0.1289748	0.00063107
0.1503443	0.00066873
0.1744296	0.00071499
0.1925436	0.00074743
0.21362209	0.00078297
0.2346558	0.00082196
0.2558108	0.00085652
0.27617779	0.00088884
0.29515061	0.00091946
0.3151539	0.00094984
0.33527839	0.00097737
0.35582721	0.001003
0.37692159	0.0010259
0.39825839	0.0010531
0.41601881	0.0010678
0.4377194	0.0010903
0.45766199	0.0011101
0.47693789	0.0011266
0.49524391	0.0011414
0.51494408	0.0011595
0.53706902	0.001176
0.55725408	0.0011937
0.57701492	0.0012058
0.59592712	0.001222
0.61568791	0.0012391
0.63502443	0.0012477
0.65702802	0.0012673
0.67539471	0.001279
0.69503421	0.0012949
0.71685588	0.0013083
0.73673803	0.0013277
0.75668073	0.0013429
0.77528977	0.001359
0.79668719	0.0013814
0.78135139	0.0013641
0.75928718	0.0013394
0.73740482	0.0013212
0.71764398	0.0013051
0.69854999	0.001292
0.67824358	0.0012775
0.65605807	0.001261
0.63587302	0.001245
0.61350572	0.0012281
0.59501791	0.0012132
0.57562071	0.0011985
0.55622357	0.0011827
0.53573543	0.0011658
0.51354992	0.0011487
0.49172819	0.0011301
0.4714219	0.001111
0.4496001	0.0010914
0.43093041	0.0010744
0.41050279	0.0010527
0.389954	0.0010313
0.36952639	0.0010075
0.3485533	0.00098228
0.33012599	0.00095542
0.3093347	0.00092752
0.28708869	0.00089502
0.26532751	0.00086094
0.24496061	0.00082571
0.22429051	0.00078788
0.2022869	0.00075071
0.1816169	0.00071263
0.1630078	0.00067703
0.1414085	0.0006358
0.1229368	0.00060342
0.1021251	0.00056679
0.081725612	0.00053053
0.062186971	0.0004953
0.041993611	0.00046195
0.022982379	0.00043139
0.0020433581	0.00039774
-0.018022699	0.00036718
-0.037088491	0.00033649
-0.056493759	0.00030624
-0.076359756	0.00027701
-0.098953784	0.00024226
-0.1190198	0.00021182
-0.1376188	0.00018466
-0.1580729	0.00015373
-0.17820559	0.00012547
-0.1977382	9.8585E-05
-0.2197216	7.0283E-05
-0.24105839	4.598E-05
-0.26300141	2.5797E-05
-0.28409579	1.1443E-05
-0.30306849	3.1638E-06
-0.3231931	-1.5092E-06
-0.341984	-2.9221E-06
-0.36107811	-3.9657E-06
-0.38108131	-4.0191E-06
-0.40102401	-4.0737E-06
-0.42254269	-4.2247E-06
-0.4427278	-4.9548E-06
-0.4626098	-6.0778E-06
-0.4813402	-7.9238E-06
-0.49588799	-9.9534E-06
-0.48073399	-6.1033E-06
-0.46042761	-3.805E-06
-0.4400607	-2.2132E-06
-0.41902691	-9.1473E-07
-0.39956921	-1.2745E-07
-0.38011149	8.547E-07
-0.3604719	1.9819E-06
-0.33961999	3.9637E-06
-0.32052591	6.1346E-06
-0.30009839	1.138E-05
-0.2793071	2.1422E-05
-0.25742471	3.6034E-05
-0.23693649	5.541E-05
-0.2148117	8.0211E-05
-0.19426291	0.00010682
-0.1738959	0.00013419
-0.15545399	0.00016084
-0.1344483	0.00019116
-0.1140427	0.00022098
-0.095177002	0.0002493
-0.075632289	0.00027816
-0.055038821	0.00030945
-0.03510613	0.00033922
-0.01417923	0.00037118
0.00422577	0.00040174
0.026140811	0.00043721
0.04593407	0.00046868
0.068582647	0.00050676
0.091764703	0.00054757
0.110491	0.00057777
0.13082381	0.00061615
0.15020479	0.00065199
0.1690706	0.00068425
0.18898509	0.00072099
0.2095664	0.00075986
0.2285336	0.0007937
0.2470215	0.00082462
0.26690349	0.00085882
0.28672501	0.00088805
0.30618271	0.00091946
0.3247312	0.00094226
0.34837139	0.00097597
0.37037501	0.0010031
0.39177239	0.0010254
0.4137761	0.0010481
0.43353689	0.0010717
0.45323709	0.0010898
0.47348279	0.0011085
0.49572891	0.0011294
0.51627767	0.0011431
0.5349474	0.001159
0.55670857	0.0011752
0.58059132	0.0011951
0.60235238	0.0012102
0.62308311	0.0012249
0.64272261	0.001241
0.6616348	0.0012533
0.68315351	0.0012705
0.70509648	0.0012861
0.72400868	0.0013034
0.74431503	0.0013195
0.76395458	0.0013365
0.78595817	0.001357
0.79408079	0.0013685
0.77583528	0.0013419
0.75328618	0.0013184
0.73291922	0.0013007
0.71327972	0.0012856
0.69157922	0.0012673
0.67297	0.001255
0.65078461	0.001238
0.62720501	0.0012208
0.60514069	0.0012074
0.58319771	0.00119
0.56452799	0.0011755
0.5447672	0.0011597
0.52512759	0.0011438
0.50306338	0.0011243
0.48281759	0.0011074
0.46069291	0.0010855
0.438568	0.0010687
0.41953459	0.0010483
0.39910701	0.001026
0.3804979	0.0010042
0.35867611	0.00097998
0.3383092	0.00095269
0.31970009	0.00092625
0.29684791	0.00089254
0.2748442	0.00085943
0.25562891	0.00082899
0.2354438	0.00079327
0.21501631	0.00075635
0.19531611	0.00072002
0.1769494	0.00068716
0.1528783	0.00064198
0.1315452	0.00060245
0.1132069	0.00057001
0.0893398	0.00052641
0.066206239	0.00048657
0.04646755	0.00045425
0.026407549	0.00042205
0.0060808188	0.00038804
-0.01525831	0.00035547
-0.03651863	0.00032273
-0.054838762	0.00029411
-0.076099083	0.0002627
-0.096692547	0.0002319
-0.1187531	0.00019952
-0.1389465	0.00016956
-0.1587337	0.00014131
-0.17952719	0.00011368
-0.1983808	8.8761E-05
-0.2195397	6.3111E-05
-0.2389974	4.1575E-05
-0.25942501	2.3516E-05
-0.2808831	9.7907E-06
-0.30088639	2.2779E-06
-0.3229506	-2.0701E-06
-0.34149909	-3.7529E-06
-0.36453319	-4.3823E-06
-0.3848395	-4.3005E-06
-0.40538841	-4.2271E-06
-0.42630091	-4.5855E-06
-0.4463647	-5.1622E-06
-0.46733791	-6.5915E-06
-0.4863106	-8.7006E-06
-0.48928079	-9.1633E-06
