"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_hematite_new_700_3.txt"


  Open Circuit Potential (V): -0.359
"E (Volts)"	"I (Amps/cm^2~)"
-0.49740341	-6.5872E-06
-0.47600591	-3.8638E-06
-0.45588139	-2.3187E-06
-0.43593881	-1.1714E-06
-0.41569301	-3.0241E-07
-0.3941744	3.8417E-07
-0.3723526	1.156E-06
-0.35380411	2.1723E-06
-0.33331591	3.5744E-06
-0.31264591	6.5797E-06
-0.29361251	1.2108E-05
-0.2725181	2.1052E-05
-0.25275731	3.4408E-05
-0.2316023	5.3292E-05
-0.2129932	7.197E-05
-0.1894742	9.9222E-05
-0.1673663	0.00012574
-0.1480217	0.00015162
-0.1242273	0.00018246
-0.102385	0.00021182
-0.078463361	0.00024457
-0.059197519	0.00027004
-0.039004158	0.00029847
-0.01914422	0.0003257
0.002304035	0.00035669
0.021436511	0.00038397
0.041811738	0.00041423
0.0606714	0.00044134
0.081446737	0.00047269
0.1010945	0.00050228
0.1206877	0.00053205
0.1444578	0.00056782
0.1627719	0.00059548
0.1864692	0.00063246
0.2045953	0.00065908
0.22871549	0.00069583
0.2466578	0.0007199
0.26732779	0.00074767
0.28793731	0.00077266
0.3082436	0.00079606
0.32891369	0.00082147
0.34715909	0.00083827
0.368011	0.00086101
0.38740811	0.00087762
0.40710831	0.00089351
0.42880881	0.00091109
0.4468118	0.00092322
0.4678455	0.00094002
0.48772761	0.00095469
0.50706398	0.00096894
0.52706742	0.00098222
0.54894972	0.00099604
0.56810433	0.0010081
0.58986551	0.0010204
0.60914129	0.0010348
0.62859911	0.0010486
0.65042078	0.0010592
0.67224258	0.0010748
0.69260949	0.0010863
0.71164298	0.0011005
0.73061579	0.0011136
0.75201333	0.0011281
0.77589601	0.0011497
0.79771769	0.0011706
0.78492773	0.0011557
0.76528817	0.0011356
0.74540609	0.001119
0.72516042	0.0011005
0.70333862	0.0010852
0.68497199	0.0010735
0.66278648	0.001058
0.64296508	0.0010481
0.62265873	0.0010328
0.60301918	0.0010198
0.58465248	0.0010067
0.56331569	0.00099362
0.54246378	0.00097828
0.52258182	0.00096573
0.50306338	0.00095154
0.48233271	0.00093535
0.46057159	0.00092158
0.44026521	0.0009023
0.41807979	0.00088635
0.39856139	0.0008698
0.37861881	0.00085009
0.36031279	0.00083311
0.3383092	0.00081007
0.31776029	0.00078788
0.2976965	0.00076544
0.2752685	0.00073682
0.25508341	0.00071026
0.2367774	0.00068479
0.2155012	0.00065472
0.1948311	0.00062264
0.1737368	0.0005919
0.15481821	0.00056219
0.13401259	0.00052968
0.1138131	0.00049906
0.093068093	0.00046729
0.074002303	0.00043824
0.053542189	0.0004078
0.03387019	0.00037876
0.01313728	0.00034832
-0.0076562469	0.00031952
-0.02612187	0.00029332
-0.046394039	0.00026573
-0.065987237	0.0002396
-0.08358597	0.00021564
-0.1040521	0.00018878
-0.1239727	0.00016222
-0.144839	0.00013583
-0.1645595	0.00011122
-0.18334641	8.819E-05
-0.20447341	6.47E-05
-0.22475269	4.4226E-05
-0.2446347	2.7521E-05
-0.2669414	1.3047E-05
-0.28749019	4.6756E-06
-0.30694801	2.7671E-07
-0.32779989	-2.2605E-06
-0.347985	-2.4139E-06
-0.36810949	-2.8754E-06
-0.3893857	-2.6741E-06
-0.40969199	-2.936E-06
-0.4281193	-3.2811E-06
-0.4487893	-4.2477E-06
-0.4691563	-5.771E-06
-0.48873529	-8.3246E-06
-0.4967972	-9.9546E-06
-0.47982469	-5.1749E-06
-0.46133691	-3.0082E-06
-0.441273	-1.4855E-06
-0.42163339	-5.8803E-07
-0.4009634	3.9078E-07
