"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_hematite_new_700_10.txt"


  Open Circuit Potential (V): -0.352
"E (Volts)"	"I (Amps/cm^2~)"
-0.49800959	-8.6314E-06
-0.475521	-4.5727E-06
-0.4550328	-2.631E-06
-0.43599939	-1.3836E-06
-0.41696599	-5.7518E-07
-0.39641711	1.5688E-07
-0.37508029	7.9519E-07
-0.35513771	1.2994E-06
-0.33489189	1.7946E-06
-0.31385821	2.2572E-06
-0.29391551	3.0007E-06
-0.27269989	4.0249E-06
-0.25372711	5.4839E-06
-0.2337238	7.499E-06
-0.2132356	1.0741E-05
-0.1912321	1.579E-05
-0.16698439	2.2866E-05
-0.1481005	2.9505E-05
-0.1276222	3.7861E-05
-0.1086716	4.6963E-05
-0.091260783	5.6126E-05
-0.070915863	6.7771E-05
-0.05111048	8.0326E-05
-0.03057762	9.3967E-05
-0.0085110255	0.00010971
0.01082756	0.00012464
0.03214851	0.00014128
0.052214559	0.00015798
0.072219998	0.00017443
0.092346683	0.00019142
0.110006	0.00020619
0.13233329	0.00022474
0.15272669	0.00024057
0.17238051	0.0002556
0.1927679	0.00027004
0.213319	0.0002835
0.23307981	0.00029484
0.25629571	0.00030745
0.27435929	0.00031624
0.29696909	0.00032625
0.3167299	0.0003337
0.33691499	0.0003411
0.35758501	0.0003488
0.37649721	0.00035456
0.396258	0.00036057
0.41662499	0.00036627
0.43505231	0.00037203
0.45675281	0.00037785
0.47742289	0.0003827
0.49597141	0.00038725
0.51573223	0.00039325
0.53561419	0.00039871
0.55252612	0.00040283
0.57483268	0.00040859
0.59465408	0.00041435
0.61744583	0.00042151
0.63847947	0.00042763
0.65921021	0.00043436
0.67891037	0.00044261
0.69897431	0.00045274
0.71837139	0.0004625
0.73807162	0.00047669
0.75813538	0.00049712
0.77680522	0.00052326
0.79911178	0.00056904
0.78244251	0.00053023
0.76098442	0.0004973
0.74140543	0.00047505
0.72037172	0.00045898
0.70145953	0.00044825
0.67969841	0.00043788
0.65999818	0.00042951
0.63938868	0.00042193
0.61871868	0.00041557
0.59610891	0.00040926
0.57683313	0.00040223
0.55701172	0.00039762
0.53694773	0.00039228
0.51524723	0.00038573
0.49560761	0.00038124
0.47511941	0.00037548
0.45578301	0.00036936
0.43238521	0.00036451
0.41316989	0.00035808
0.39322731	0.00035275
0.37425449	0.00034711
0.35261449	0.00033983
0.33358109	0.0003328
0.31315351	0.00032467
0.29236221	0.0003163
0.2721771	0.00030739
0.25320429	0.00029775
0.23332229	0.00028695
0.2120461	0.0002741
0.1879815	0.00025809
0.1676145	0.00024348
0.1480163	0.00022801
0.1280715	0.00021158
0.1072659	0.00019394
0.088266782	0.00017793
0.06813404	0.00016101
0.047134388	0.00014358
0.027535129	0.00012697
0.007068966	0.00011102
-0.01226962	9.6558E-05
-0.036597438	7.9179E-05
-0.055851161	6.6648E-05
-0.075917207	5.4233E-05
-0.096983537	4.2661E-05
-0.1189774	3.212E-05
-0.1391041	2.3382E-05
-0.158764	1.6513E-05
-0.1769568	1.0985E-05
-0.1970107	5.9018E-06
-0.21644831	2.6247E-06
-0.2353605	-7.6824E-08
-0.25639421	-1.739E-06
-0.27736741	-2.6716E-06
-0.29773429	-3.0725E-06
-0.31846499	-3.0349E-06
-0.3407717	-3.1089E-06
-0.36083561	-3.0719E-06
-0.37968719	-3.1283E-06
-0.39975101	-3.2532E-06
-0.42017859	-3.6413E-06
-0.43933329	-4.2562E-06
-0.4586091	-5.4369E-06
-0.47830939	-7.6218E-06
-0.49497879	-1.0778E-05
-0.48061281	-6.4502E-06
-0.46036699	-3.7286E-06
-0.43939391	-1.9658E-06
-0.41757211	-6.8505E-07
-0.39659899	1.8731E-07
-0.37877789	7.4881E-07
-0.35859281	1.2009E-06
-0.3385289	1.6848E-06
-0.31798011	2.2512E-06
-0.29694629	2.8721E-06
-0.2783978	3.652E-06
-0.25857639	4.8545E-06
-0.2377851	6.4372E-06
-0.21766061	9.2667E-06
-0.1988091	1.2325E-05
-0.1788058	1.7056E-05
-0.1577213	2.3012E-05
-0.1381644	3.0191E-05
-0.1179529	3.8104E-05
-0.098535493	4.7084E-05
-0.078924097	5.7267E-05
-0.0580457	6.893E-05
-0.034117982	8.4568E-05
-0.01158459	9.9805E-05
0.0088148946	0.00011475
0.02748663	0.00012859
0.047425389	0.00014463
0.067830928	0.00016169
0.087363511	0.00017771
0.1086905	0.00019589
0.12788969	0.00020958
0.1482891	0.00022577
0.1681491	0.00024069
0.1881545	0.00025579
0.20927539	0.00026961
0.2283518	0.00028271
0.25090089	0.0002949
0.27078289	0.00030502
0.29102871	0.00031424
0.3107895	0.00032188
0.3310959	0.00032952
0.3500081	0.00033637
0.37340581	0.00034413
0.39153001	0.00034947
0.41226071	0.00035584
0.43359751	0.00036099
0.4551768	0.00036687
0.47554371	0.00037239
0.49451661	0.0003773
0.51306498	0.0003824
0.53682661	0.00038828
0.55622357	0.0003938
0.57616627	0.00039919
0.59653318	0.00040526
0.61538482	0.00041102
0.63684279	0.00041842
0.65654308	0.00042557
0.67733443	0.00043351
0.69685268	0.00044237
0.7187351	0.00045583
0.73752612	0.00046959
0.75801432	0.000491
0.7779569	0.0005218
0.79868752	0.0005651
0.78468531	0.00053114
0.76286352	0.00049403
0.74104172	0.00046874
0.72067481	0.00045158
0.69976228	0.00043867
0.67733443	0.00042836
0.65672487	0.00041987
0.63763088	0.00041326
0.617567	0.00040702
0.59719998	0.00039986
0.57683313	0.00039404
0.55658728	0.00038846
0.53809941	0.00038403
0.51688391	0.00037797
0.49718371	0.0003716
0.47439209	0.00036675
0.45402509	0.00036087
0.43462801	0.00035462
0.41426101	0.00034911
0.39516699	0.00034413
0.37340581	0.0003368
0.34958369	0.00032928
0.3310959	0.00032273
0.31042579	0.00031473
0.28975579	0.00030672
0.27047989	0.0002972
0.25029469	0.00028701
0.2282912	0.00027495
0.20828789	0.00026209
0.18834519	0.00024899
0.1683419	0.00023523
0.1462341	0.00021746
0.125295	0.00020061
0.1068294	0.00018557
0.086157113	0.00016774
0.064969547	0.00015051
0.04529753	0.00013387
0.024370629	0.00011707
0.0058989511	0.00010318
-0.01496126	8.8117E-05
-0.035154629	7.3851E-05
-0.054747831	6.1436E-05
-0.075741418	4.9384E-05
-0.097601898	3.7982E-05
-0.1186622	2.8376E-05
-0.13712171	2.1264E-05
-0.15710901	1.4358E-05
-0.1791634	8.5336E-06
-0.198884	4.1626E-06
-0.22081269	7.1748E-07
-0.2406947	-1.2684E-06
-0.2596069	-2.3672E-06
-0.28039819	-3.1798E-06
-0.3012501	-3.2477E-06
-0.320829	-3.2817E-06
-0.34180221	-3.3053E-06
-0.36368451	-3.2623E-06
-0.3848395	-3.3205E-06
-0.4037517	-3.4515E-06
-0.4256947	-3.8032E-06
-0.4456979	-4.5479E-06
-0.4658224	-5.8856E-06
-0.48879591	-8.8024E-06
-0.49219039	-9.4252E-06
