"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_tio2_hematite_new_700_9.txt"


  Open Circuit Potential (V): -0.309
"E (Volts)"	"I (Amps/cm^2~)"
-0.49819139	-3.0679E-05
-0.4775213	-1.759E-05
-0.4567301	-1.112E-05
-0.43745419	-7.2112E-06
-0.4170872	-4.449E-06
-0.39641711	-2.5576E-06
-0.37732309	-1.3157E-06
-0.3584716	-4.119E-07
-0.33743781	3.9078E-07
-0.31876811	1.0218E-06
-0.29991651	1.7509E-06
-0.2803376	2.8485E-06
-0.25887951	4.9127E-06
-0.2383913	8.2249E-06
-0.21808501	1.3147E-05
-0.19286869	2.1719E-05
-0.17165311	3.0482E-05
-0.15186509	3.9985E-05
-0.1313868	5.0932E-05
-0.1093142	6.4603E-05
-0.088369086	7.9883E-05
-0.069151737	9.7226E-05
-0.0493403	0.00012025
-0.02933486	0.00015059
-0.0083958423	0.00019316
0.01314334	0.00025027
0.034797709	0.00031988
0.05347551	0.00038882
0.074402407	0.00047535
0.097596593	0.00057759
0.1172019	0.00066581
0.1408508	0.00077484
0.1590496	0.00085888
0.1793097	0.00095032
0.20004261	0.0010412
0.22071411	0.001129
0.2416873	0.0012128
0.26344839	0.0012967
0.28357291	0.001371
0.304243	0.00144
0.32485241	0.0015075
0.34479511	0.0015715
0.3637073	0.0016248
0.38274071	0.0016783
0.40213779	0.0017256
0.4218986	0.0017778
0.44129571	0.0018204
0.46087471	0.0018663
0.48051429	0.0019074
0.49888089	0.001944
0.52088451	0.0019869
0.54052413	0.0020221
0.56252772	0.0020589
0.58295518	0.0020941
0.60459518	0.0021292
0.62387103	0.0021602
0.64514732	0.0021923
0.6670903	0.0022202
0.68903333	0.0022529
0.71085501	0.0022832
0.72958529	0.0023057
0.75274062	0.0023348
0.77425933	0.002359
0.79280782	0.0023814
0.78565508	0.0023699
0.7634697	0.002339
0.74152672	0.0023111
0.72303879	0.0022869
0.70061088	0.0022553
0.67963767	0.0022275
0.65902841	0.0021953
0.6389038	0.0021662
0.61677903	0.0021317
0.59623009	0.0021008
0.57446897	0.0020632
0.5564661	0.0020304
0.53318948	0.0019892
0.51470172	0.0019547
0.49239501	0.001911
0.47227049	0.0018674
0.45287341	0.0018249
0.43105161	0.0017728
0.41244251	0.0017273
0.39201501	0.001674
0.37164801	0.0016164
0.35085669	0.001557
0.3286106	0.0014871
0.30751619	0.0014158
