"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230519\hematite_tio2_250d_air_1_light.txt"


  Open Circuit Potential (V): -0.3542
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-7.6145E-06
-0.47994599	-2.8869E-06
-0.46048829	-1.987E-06
-0.4386059	-1.2429E-06
-0.41769341	-5.5694E-07
-0.39629591	1.2033E-07
-0.3744742	1.1202E-06
-0.35616821	2.2736E-06
-0.33477071	4.179E-06
-0.31173661	7.3189E-06
-0.29294571	1.0929E-05
-0.27166939	1.64E-05
-0.25087821	2.3467E-05
-0.23008689	3.2436E-05
-0.2114778	4.1969E-05
-0.1912321	5.4045E-05
-0.1684757	6.93E-05
-0.147567	8.5047E-05
-0.12692501	0.00010182
-0.1075561	0.00011942
-0.088587321	0.00013839
-0.067830168	0.0001628
-0.047521621	0.00019221
-0.02730401	0.00023056
-0.0040188949	0.00027998
0.01647152	0.00033565
0.037301421	0.00040028
0.057191681	0.00046644
0.077742718	0.00053745
0.096832752	0.00060251
0.1171716	0.0006706
0.136007	0.00073179
0.1553517	0.00079242
0.1789642	0.00085646
0.1988423	0.00090757
0.21847139	0.00095323
0.2361106	0.0009918
0.25981149	0.0010418
0.28169379	0.0010829
0.30084851	0.0011162
0.32291269	0.0011529
0.3425523	0.0011829
0.36231309	0.0012124
0.38140711	0.0012392
0.403047	0.0012685
0.42292911	0.0012929
0.44226551	0.001318
0.46608761	0.0013437
0.4860909	0.0013649
0.50585169	0.0013841
0.52591562	0.0014046
0.54422158	0.0014207
0.56525528	0.0014388
0.58453131	0.0014546
0.6046558	0.0014717
0.62799293	0.0014902
0.64945102	0.0015072
0.66793889	0.0015192
0.68879068	0.0015328
0.70964259	0.0015458
0.73000962	0.0015577
0.75183141	0.0015716
0.77044052	0.0015842
0.79056501	0.0015944
0.79171669	0.0015937
0.77141029	0.0015793
0.75183141	0.0015633
0.73104012	0.0015491
0.71121871	0.001533
0.68909383	0.0015156
0.66702962	0.0014978
0.64920849	0.0014821
0.6282354	0.001464
0.60786837	0.0014482
0.5876227	0.0014285
0.56749821	0.0014086
0.54810113	0.0013896
0.52767348	0.0013668
0.5072459	0.0013442
0.4855454	0.0013198
0.4663907	0.001296
0.44650871	0.001271
0.42729339	0.0012456
0.40868431	0.0012214
0.38837799	0.0011902
0.36788979	0.0011595
0.34903821	0.0011293
0.32751951	0.0010932
0.30715251	0.0010574
0.28745231	0.0010198
0.2682977	0.00098058
0.24817321	0.00093814
0.227685	0.00089011
0.2076211	0.00084039
0.18713289	0.00078624
0.1668265	0.00072688
0.1469979	0.00066606
0.1272289	0.00060099
0.1075205	0.00053417
0.089291297	0.00047214
0.068449281	0.00040174
0.04994728	0.00034395
0.02790493	0.00028222
0.0087421481	0.00023784
-0.01135422	0.00020055
-0.030456381	0.00017211
-0.04949186	0.00014982
-0.069054753	0.00013019
-0.09201856	0.00011024
-0.1114481	9.4865E-05
-0.1320112	7.9367E-05
-0.1523744	6.4967E-05
-0.172398	5.1818E-05
-0.19162139	3.9954E-05
-0.2115844	2.9202E-05
-0.2314205	2.0002E-05
-0.25336349	1.1908E-05
-0.27257869	6.4421E-06
-0.2922183	2.2797E-06
-0.31567669	-1.1714E-06
-0.3357406	-3.1319E-06
-0.35574391	-4.6067E-06
-0.37702	-5.9238E-06
-0.3968415	-7.2737E-06
-0.4178752	-8.9929E-06
-0.43939391	-1.1247E-05
-0.45860919	-1.3805E-05
-0.48006719	-1.7691E-05
-0.49728221	-2.1395E-05
-0.47855181	-9.6811E-06
-0.45933661	-6.4653E-06
-0.43933329	-4.1792E-06
-0.4181177	-2.4376E-06
-0.39514431	-9.4035E-07
-0.37556529	2.6259E-07
-0.35295549	1.8764E-06
-0.33258849	3.9455E-06
-0.31240341	6.718E-06
-0.29209709	1.0688E-05
-0.27282119	1.5622E-05
-0.25184801	2.2533E-05
-0.2316023	3.0804E-05
-0.2120233	4.044E-05
-0.19086839	5.2497E-05
-0.17189559	6.4816E-05
-0.1512346	7.913E-05
-0.1311201	9.4131E-05
-0.1100053	0.00011118
-0.090369627	0.0001285
-0.069321483	0.00014896
-0.051207472	0.00016993
-0.026509849	0.00023153
-0.005679952	0.00024342
0.0147559	0.00028914
0.03631328	0.00034741
0.055482119	0.00040592
0.075517863	0.00047135
0.098469563	0.00054945
0.1184992	0.00061658
0.1384622	0.00068152
0.158692	0.00074252
0.1775092	0.00079728
0.1982664	0.00085221
0.2180471	0.00089812
0.23671681	0.0009419
0.25714439	0.00098531
0.27678391	0.0010248
0.2967872	0.0010614
0.31885141	0.0011005
0.34043071	0.0011356
0.3592217	0.0011656
0.3833468	0.001198
0.40680519	0.0012308
0.4269903	0.0012562
0.44650871	0.0012809
0.46699691	0.0013061
0.48681831	0.0013246
0.5079127	0.0013474
0.52943128	0.0013676
0.54894972	0.0013855
0.56925613	0.0014055
0.59077471	0.0014244
0.61005062	0.0014385
0.63084191	0.0014546
0.65096641	0.0014716
0.66981792	0.0014835
0.68957877	0.0014979
0.70903653	0.0015092
0.73085833	0.0015225
0.75286192	0.0015369
0.77480477	0.0015492
0.7967478	0.0015629
0.78692812	0.0015532
0.76492453	0.0015346
0.74443632	0.0015215
0.72467542	0.0015055
0.7029143	0.001489
0.68418401	0.0014748
0.66333199	0.0014571
0.6433894	0.001442
0.62114328	0.0014215
0.60210991	0.0014041
0.58022761	0.0013827
0.55992121	0.0013645
0.54022098	0.0013433
0.51809609	0.0013194
0.49948701	0.0013002
0.47960499	0.0012759
0.4598442	0.0012531
0.4413563	0.0012285
0.4175342	0.0011964
0.3985008	0.0011709
0.37522429	0.0011396
0.35497859	0.0011069
0.3351571	0.0010752
0.31460831	0.0010392
0.29593861	0.001004
0.27205589	0.00095693
0.2477489	0.00090472
0.2281699	0.00086022
0.2084091	0.00081074
0.18907259	0.00075962
0.1676145	0.00069838
0.14757989	0.00063628
0.1242766	0.00056037
0.1026343	0.0004876
0.080264613	0.00041272
0.060301609	0.0003502
0.040526539	0.00029381
0.019575389	0.00024354
-0.0001269285	0.00020576
-0.02015055	0.0001755
-0.040847082	0.00015148
-0.060476661	0.00013195
-0.080833703	0.00011436
-0.1000632	9.9362E-05
-0.120687	8.3955E-05
-0.1403711	7.0162E-05
-0.1594611	5.7419E-05
-0.1796909	4.4766E-05
-0.1997084	3.3613E-05
-0.22038829	2.3504E-05
-0.2385731	1.6191E-05
-0.2596069	9.4019E-06
-0.28336829	3.7763E-06
-0.3051295	2.2517E-07
-0.32689059	-2.3302E-06
-0.34598461	-3.9093E-06
-0.3662304	-5.392E-06
-0.38744599	-6.8383E-06
-0.4085404	-8.5775E-06
-0.43242311	-1.1043E-05
-0.45242631	-1.3678E-05
-0.47230831	-1.6969E-05
-0.4941301	-2.1704E-05
