"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230519\hematite_tio2_500d_air_n2h2_2_light.txt"


  Open Circuit Potential (V): -0.3282
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-1.544E-05
-0.48097649	-8.971E-06
-0.4609732	-6.3744E-06
-0.44200039	-4.5691E-06
-0.42284581	-3.1325E-06
-0.40187261	-1.9136E-06
-0.38144499	-8.6412E-07
-0.3586534	1.3858E-07
-0.33719531	1.4538E-06
-0.3173739	2.6017E-06
-0.29452169	4.8763E-06
-0.27403349	7.8683E-06
-0.2536059	1.1804E-05
-0.237179	1.57E-05
-0.21475101	2.1537E-05
-0.19650561	2.6738E-05
-0.1769267	3.2721E-05
-0.1572908	3.9056E-05
-0.1377037	4.6453E-05
-0.117383	5.5592E-05
-0.097935319	6.7504E-05
-0.07756009	8.5187E-05
-0.057045419	0.00011195
-0.037464339	0.00014975
-0.015755421	0.00020782
0.0030193811	0.00027313
0.02332793	0.00035669
0.044291198	0.00045298
0.064721003	0.00055206
0.084289953	0.00064732
0.104259	0.0007404
0.1237552	0.0008259
0.14424559	0.00090703
0.164542	0.00097749
0.1839716	0.0010393
0.20579571	0.0010979
0.2261696	0.001145
0.2468396	0.0011896
0.26532751	0.0012267
0.28896779	0.0012657
0.31048641	0.0012991
0.32970169	0.0013277
0.35285699	0.0013567
0.37419379	0.0013818
0.39571249	0.0014064
0.41692811	0.0014271
0.43553719	0.0014485
0.4582682	0.0014673
0.48015049	0.0014862
0.49851719	0.0015007
0.52227873	0.0015188
0.54046339	0.0015297
0.56040609	0.0015441
0.58016688	0.0015557
0.59932148	0.0015651
0.61902177	0.0015777
0.63793403	0.0015867
0.65975571	0.0015985
0.67824358	0.0016065
0.69794381	0.0016161
0.7182501	0.0016238
0.73970819	0.0016322
0.76177239	0.0016415
0.78553379	0.0016505
0.79832393	0.0016566
0.77298641	0.0016427
0.75480157	0.0016315
0.73370719	0.0016201
0.71206731	0.0016087
0.69327629	0.0015974
0.67321253	0.0015863
0.65048152	0.001572
0.6301145	0.0015579
0.60938382	0.0015454
0.58968371	0.0015321
0.57010472	0.0015157
0.54791921	0.0014991
0.5277341	0.0014841
0.50730652	0.0014672
0.48536351	0.0014463
0.4666332	0.0014314
0.4462662	0.0014094
0.4271116	0.00139
0.404623	0.001365
0.38261941	0.0013383
0.36140391	0.0013124
0.3396427	0.001281
0.31921509	0.0012495
0.2998786	0.0012172
0.27890551	0.0011797
0.25920531	0.0011411
0.2398082	0.0010977
0.2171378	0.001041
0.1951948	0.00097846
0.17488851	0.00091321
0.15563659	0.000843
0.1338671	0.0007524
0.1139647	0.00066139
0.093401507	0.00056091
0.07315965	0.00045989
0.05199632	0.0003565
0.029838789	0.00026009
0.0087360851	0.00018496
-0.01276066	0.00012984
-0.0315294	9.7377E-05
-0.05162577	7.4901E-05
-0.071649387	6.0404E-05
-0.092145868	4.9985E-05
-0.1123635	4.2018E-05
-0.1308534	3.5901E-05
-0.15213791	2.9456E-05
-0.1742349	2.3212E-05
-0.1971987	1.7162E-05
-0.21766061	1.2177E-05
-0.2375426	7.7931E-06
-0.25821269	3.8375E-06
-0.27748859	8.9416E-07
-0.2987648	-1.5892E-06
-0.32143521	-3.4472E-06
-0.34252951	-4.5733E-06
-0.36107799	-5.4811E-06
-0.38229361	-6.5484E-06
-0.40278181	-8.0832E-06
-0.42502791	-1.0428E-05
-0.44587979	-1.3595E-05
-0.47000501	-1.8909E-05
-0.4893415	-2.4696E-05
-0.49752459	-2.1899E-05
-0.4781881	-1.4692E-05
-0.45654821	-9.5398E-06
-0.43606001	-6.3204E-06
-0.41557181	-3.9973E-06
-0.3942956	-2.2763E-06
-0.3738074	-8.8395E-07
-0.35156131	3.2193E-07
-0.33101249	1.5259E-06
-0.3105849	2.8946E-06
-0.28961179	4.8951E-06
-0.26912361	7.6306E-06
-0.2487566	1.1151E-05
-0.2288139	1.5401E-05
-0.20959871	2.0005E-05
-0.18868621	2.6125E-05
-0.1659659	3.2041E-05
-0.14484499	3.8577E-05
-0.1243243	4.5646E-05
-0.1043371	5.3826E-05
-0.083967887	6.4391E-05
-0.063119799	7.9828E-05
-0.044405621	0.00010066
-0.020968961	0.00014108
-0.002133535	0.00018887
0.018041641	0.00025633
0.038338069	0.00034038
0.058052521	0.00043145
0.07847625	0.00053175
0.1007065	0.00064047
0.1190024	0.00072572
0.139705	0.00081559
0.1613351	0.0008983
0.18534771	0.0009784
0.2038497	0.0010328
0.2239874	0.0010856
0.24259651	0.0011262
0.26181179	0.0011658
0.2821182	0.0012035
0.3013334	0.0012363
0.3219429	0.0012678
0.34067321	0.0012952
0.3622525	0.001324
0.38201329	0.0013467
0.40377441	0.0013707
0.42583859	0.001393
0.44905451	0.0014161
0.469179	0.0014354
0.49160701	0.0014531
0.51076162	0.0014666
0.53064358	0.0014821
0.55270791	0.0014968
0.57228678	0.0015035
0.59138089	0.001518
0.61283892	0.0015323
0.63405448	0.0015443
0.65333039	0.0015554
0.67551577	0.0015657
0.69751942	0.0015766
0.71564358	0.0015838
0.73922318	0.0015939
0.75752932	0.0016028
0.78116947	0.0016125
0.7992937	0.0016218
0.78068459	0.0016112
0.76122677	0.0016019
0.74231458	0.001592
0.7211597	0.0015808
0.70248997	0.0015708
0.6824261	0.0015589
0.6616348	0.0015472
0.64248008	0.0015367
0.62005228	0.0015228
0.59980649	0.0015083
0.58162171	0.0014968
0.56064862	0.0014812
0.53973609	0.0014639
0.51785368	0.0014463
0.49930519	0.0014298
0.47942311	0.0014126
0.45723769	0.0013939
0.4372344	0.0013721
0.4162007	0.0013486
0.39522761	0.0013241
0.3733452	0.0012966
0.35231149	0.0012678
0.3278226	0.0012332
0.30781931	0.0012002
0.28769481	0.0011651
0.26860079	0.0011287
0.2466578	0.0010809
0.2263514	0.0010317
0.2066513	0.00097876
0.1874966	0.00091976
0.1662204	0.00084536
0.14590061	0.00076538
0.1231247	0.00066466
0.1031617	0.00056964
0.08251977	0.00046723
0.06336911	0.00037397
0.043072689	0.00028259
0.022970259	0.00020594
0.002340408	0.0001465
-0.01835612	0.00010514
-0.03991349	7.805E-05
-0.060476661	6.1909E-05
-0.079960741	5.1508E-05
-0.1033307	4.2272E-05
-0.1222146	3.5761E-05
-0.1428991	2.9857E-05
-0.1633895	2.4171E-05
-0.1851408	1.8473E-05
-0.20409749	1.3813E-05
-0.2256619	8.9987E-06
-0.2446347	5.2923E-06
-0.26469859	2.0189E-06
-0.28870249	-9.2291E-07
-0.3075541	-2.5552E-06
-0.32731491	-3.7777E-06
-0.3473182	-4.6595E-06
-0.36817011	-5.5903E-06
-0.38835531	-6.7977E-06
-0.40817669	-8.4222E-06
-0.43066519	-1.1081E-05
-0.44988051	-1.4207E-05
-0.469217	-1.8376E-05
-0.49043259	-2.4684E-05
-0.49419081	-2.5995E-05
