"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_hematite_new_700_2_dark.txt"


  Open Circuit Potential (V): -0.1849
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-8.5126E-06
-0.47873369	-5.395E-06
-0.45891219	-3.7238E-06
-0.4381209	-2.5582E-06
-0.41951191	-1.8027E-06
-0.39853871	-1.1926E-06
-0.37665641	-7.1355E-07
-0.35350111	-3.5456E-07
-0.33252791	-1.2958E-07
-0.31216091	7.0533E-08
-0.28973311	1.9667E-07
-0.27069959	2.8702E-07
-0.2477262	3.6585E-07
-0.22475269	4.3195E-07
-0.2026885	4.8835E-07
-0.1798363	5.4778E-07
-0.1572787	5.8174E-07
-0.1353516	6.9392E-07
-0.1126848	6.6117E-07
-0.092752077	6.9392E-07
-0.074213721	7.297E-07
-0.05128628	7.4971E-07
-0.02790417	7.8306E-07
-0.0059163799	9.2678E-07
0.01347677	8.4007E-07
0.035452429	8.6432E-07
0.058301069	8.91E-07
0.080816276	1.0844E-06
0.1023312	1.6284E-06
0.1247797	9.7408E-07
0.146228	1.0002E-06
0.16714279	1.0238E-06
0.18838491	1.0529E-06
0.21289469	1.0808E-06
0.23459519	1.1099E-06
0.25629571	1.1305E-06
0.27823871	1.1584E-06
0.30018169	1.1821E-06
0.32212469	1.2045E-06
0.3423098	1.2318E-06
0.3638891	1.2464E-06
0.38631701	1.27E-06
0.40541109	1.2858E-06
0.43086979	1.3276E-06
0.453722	1.3434E-06
0.47572559	1.3604E-06
0.5000326	1.387E-06
0.52094507	1.4168E-06
0.54282749	1.4592E-06
0.56434608	1.5283E-06
0.58319771	1.6272E-06
0.6036253	1.814E-06
0.62332553	2.1335E-06
0.64357132	2.7678E-06
0.66139227	3.7072E-06
0.68200183	5.5027E-06
0.70279312	8.664E-06
0.7264939	1.459E-05
0.74740642	2.4499E-05
0.76722783	4.2194E-05
0.78820097	7.7249E-05
0.79371703	8.9895E-05
0.77359259	4.9779E-05
0.75261939	2.3947E-05
0.7316463	9.7973E-06
0.71140051	2.9801E-06
0.6905486	-2.169E-07
0.6663022	-1.551E-06
0.64563221	-1.813E-06
0.6253258	-1.7044E-06
0.60411018	-1.457E-06
0.58113682	-1.189E-06
0.56210327	-9.9311E-07
0.54210007	-8.312E-07
0.52094507	-6.9172E-07
0.49918401	-5.8318E-07
0.47602871	-4.9828E-07
0.45287341	-4.3521E-07
0.4291119	-3.9398E-07
0.40880549	-3.6911E-07
0.38777179	-3.6487E-07
0.36685929	-3.7275E-07
0.3437646	-4.0429E-07
0.32170039	-4.4491E-07
0.29896939	-5.0556E-07
0.2796329	-5.6135E-07
0.2601752	-6.2259E-07
0.2365955	-6.7778E-07
0.2138039	-6.9839E-07
0.1942856	-6.9294E-07
0.17464601	-6.6019E-07
0.1506777	-6.0925E-07
0.1285383	-5.6074E-07
0.1096059	-5.4315E-07
0.085205339	-5.4497E-07
0.065672763	-5.6316E-07
0.043551601	-6.0197E-07
0.02161837	-6.4806E-07
-0.0001148041	-7.0021E-07
-0.01910178	-7.5661E-07
-0.040428791	-8.2089E-07
-0.063422911	-9.0093E-07
-0.086344287	-9.919E-07
-0.1083381	-1.0786E-06
-0.1302653	-1.1756E-06
-0.15231369	-1.2569E-06
-0.17430151	-1.3327E-06
-0.1962833	-1.3927E-06
-0.2162665	-1.4249E-06
-0.2382701	-1.4546E-06
-0.26009181	-1.4722E-06
-0.28221661	-1.5025E-06
-0.30664489	-1.565E-06
-0.32634509	-1.648E-06
-0.34616649	-1.7723E-06
-0.3670184	-1.9694E-06
-0.38720351	-2.2405E-06
-0.40769169	-2.6383E-06
-0.42587659	-3.155E-06
-0.44654661	-3.9815E-06
-0.4660649	-5.1143E-06
-0.4865531	-6.8704E-06
-0.4947969	-7.7685E-06
-0.48509839	-5.4478E-06
-0.46254921	-3.6637E-06
-0.44200039	-2.5625E-06
-0.42308819	-1.8227E-06
-0.40163019	-1.2072E-06
-0.38053581	-7.6146E-07
-0.35962331	-4.2854E-07
-0.33701351	-1.6839E-07
-0.313252	3.4755E-08
-0.2936731	1.7059E-07
-0.27427599	2.5609E-07
-0.2533634	3.422E-07
-0.23063239	4.083E-07
-0.20893189	4.7319E-07
-0.1839581	5.1806E-07
-0.1629833	9.9773E-07
-0.14357799	6.0053E-07
-0.122833	6.3267E-07
-0.098238438	6.6542E-07
-0.07703267	6.9453E-07
-0.054438662	7.2788E-07
-0.034239229	7.5456E-07
-0.01244543	7.8064E-07
0.0070265299	7.9701E-07
0.028953699	8.2066E-07
0.048953071	8.4128E-07
0.069613233	8.5622E-07
0.089939959	8.8979E-07
0.1101333	9.098E-07
0.12985989	9.3285E-07
0.15044729	9.3634E-07
0.169113	9.7166E-07
0.1905006	9.9106E-07
0.2127735	1.0153E-06
0.2314432	1.0335E-06
0.255144	1.0499E-06
0.2781781	1.0735E-06
0.296666	1.0923E-06
0.32030621	1.1039E-06
0.34079441	1.1093E-06
0.3626768	1.1229E-06
0.38474101	1.1451E-06
0.40759319	1.153E-06
0.42735401	1.1627E-06
0.44978201	1.1742E-06
0.47227049	1.1809E-06
0.49130389	1.196E-06
0.51258022	1.2154E-06
0.5359779	1.2391E-06
0.55761778	1.2973E-06
0.57980323	1.3907E-06
0.60259491	1.5805E-06
0.62308311	1.9195E-06
0.64241952	2.5235E-06
0.66339272	3.6587E-06
0.68181998	5.3299E-06
0.70315683	8.4505E-06
0.72316003	1.3344E-05
0.74437559	2.2205E-05
0.76474261	3.9426E-05
0.78335172	6.785E-05
0.79905128	0.00010392
0.77935112	5.9567E-05
0.75728679	2.8219E-05
0.73619252	1.1765E-05
0.71606803	3.6714E-06
0.69521612	-3.3152E-07
0.67503089	-1.8124E-06
0.65454268	-2.3151E-06
0.63381213	-2.2769E-06
0.61356628	-2.0313E-06
0.59568459	-1.7778E-06
0.57380229	-1.4801E-06
0.54913151	-1.2138E-06
0.52821898	-1.0295E-06
0.50718528	-9.2701E-07
0.4873639	-8.4211E-07
0.46645129	-7.4691E-07
0.44444779	-6.7899E-07
0.424202	-6.0076E-07
0.4026227	-5.7165E-07
0.37934619	-5.5831E-07
0.35825181	-5.5649E-07
0.33527839	-5.7287E-07
0.31533569	-6.0683E-07
0.2957567	-6.6322E-07
0.2758747	-7.2568E-07
0.25520459	-7.9239E-07
0.2321706	-8.506E-07
0.21016701	-8.6819E-07
0.1891332	-8.5181E-07
0.16809949	-8.0633E-07
0.1470767	-7.4327E-07
0.1240765	-6.7292E-07
0.1030829	-6.3593E-07
0.081089072	-6.2866E-07
0.05815557	-6.426E-07
0.037095301	-6.8445E-07
0.01710199	-7.2629E-07
-0.004358381	-7.912E-07
-0.02480636	-8.3908E-07
-0.047867179	-9.1306E-07
-0.07085523	-9.9735E-07
-0.09337651	-1.0859E-06
-0.1126302	-1.1678E-06
-0.13481811	-1.2605E-06
-0.1569332	-1.3454E-06
-0.17625961	-1.4212E-06
-0.1984354	-1.4691E-06
-0.2237829	-1.517E-06
-0.24566519	-1.5267E-06
-0.2667596	-1.5352E-06
-0.2886419	-1.5643E-06
-0.31064561	-1.6195E-06
-0.32986081	-1.7105E-06
-0.3506521	-1.8433E-06
-0.3701098	-2.0319E-06
-0.39302269	-2.3642E-06
-0.411753	-2.7456E-06
-0.43260491	-3.3805E-06
-0.45357811	-4.3041E-06
-0.47400561	-5.6321E-06
-0.49049321	-7.1663E-06
