"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_hematite_new_700_5_dark.txt"


  Open Circuit Potential (V): -0.1333
"E (Volts)"	"I (Amps/cm^2~)"
-0.49697909	-1.1425E-05
-0.47546041	-7.304E-06
-0.4531537	-4.64E-06
-0.4327867	-3.0834E-06
-0.41435951	-2.1368E-06
-0.3924771	-1.3776E-06
-0.36986741	-8.4939E-07
-0.3494398	-5.1404E-07
-0.3285273	-2.6784E-07
-0.30967569	-1.1235E-07
-0.28979361	3.9606E-08
-0.26845679	1.6392E-07
-0.24954461	2.2941E-07
-0.2292989	3.0218E-07
-0.2066285	3.6464E-07
-0.1858979	7.9458E-07
-0.1638259	4.4955E-06
-0.1429657	5.2655E-07
-0.1216387	5.5201E-07
-0.1021668	6.1448E-07
-0.079118088	6.5814E-07
-0.060052309	6.9271E-07
-0.039731629	7.3637E-07
-0.02033242	7.8306E-07
0.0026495829	8.2187E-07
0.02355223	8.6553E-07
0.044479132	8.9282E-07
0.068455338	9.3891E-07
0.087642372	9.856E-07
0.1071628	1.0202E-06
0.1268166	1.0602E-06
0.1495198	1.1105E-06
0.1718228	1.1548E-06
0.1955869	1.2069E-06
0.21968371	1.2464E-06
0.2395657	1.2834E-06
0.26156929	1.3216E-06
0.28090581	1.3525E-06
0.3030307	1.3798E-06
0.32564041	1.4089E-06
0.34388581	1.418E-06
0.36782911	1.4325E-06
0.3879537	1.4404E-06
0.4104422	1.4398E-06
0.43250641	1.4404E-06
0.45196411	1.4374E-06
0.47457391	1.4337E-06
0.49748671	1.4386E-06
0.52173311	1.4562E-06
0.5453127	1.5023E-06
0.56470978	1.5714E-06
0.58386451	1.7109E-06
0.60386783	1.9941E-06
0.62605327	2.6096E-06
0.64842051	3.8594E-06
0.66890872	5.943E-06
0.68854833	9.3498E-06
0.70958197	1.5676E-05
0.72910041	2.6847E-05
0.74910372	5.1041E-05
0.76916748	0.00010105
0.79001951	0.00018761
0.79159552	0.0001997
0.76910692	0.00010931
0.74886119	5.4645E-05
0.72988838	2.411E-05
0.71067321	7.9326E-06
0.69170028	5.7931E-07
0.67248511	-2.3496E-06
0.65236062	-3.1665E-06
0.63350898	-3.047E-06
0.61326319	-2.5752E-06
0.59216893	-2.0161E-06
0.57149887	-1.5292E-06
0.54907101	-1.0907E-06
0.52537012	-7.554E-07
0.50579113	-5.4861E-07
0.48706079	-3.9761E-07
0.46232951	-2.6057E-07
0.44129571	-1.7749E-07
0.41898909	-1.1503E-07
0.39989501	-9.0165E-08
0.3799524	-6.2271E-08
0.3580094	-7.076E-08
0.3359451	-6.8941E-08
0.31388089	-9.2591E-08
0.2918773	-1.1927E-07
0.2699343	-1.4535E-07
0.2468396	-1.7809E-07
0.2233206	-2.163E-07
0.1998623	-2.4904E-07
0.1794347	-2.8785E-07
0.1573098	-3.2181E-07
0.1362132	-3.5941E-07
0.1136131	-4.061E-07
0.091206968	-4.5159E-07
0.068806946	-5.0859E-07
0.045740079	-5.6134E-07
0.023806849	-6.2623E-07
0.00074603577	-6.9839E-07
-0.02025361	-7.5964E-07
-0.041307811	-8.4151E-07
-0.063241042	-9.1731E-07
-0.08762949	-1.0034E-06
-0.1086897	-1.0659E-06
-0.1306776	-1.1441E-06
-0.1502768	-1.2108E-06
-0.171131	-1.2733E-06
-0.1941857	-1.3509E-06
-0.216812	-1.4109E-06
-0.2385125	-1.4782E-06
-0.2582733	-1.5334E-06
-0.2786403	-1.6013E-06
-0.29924971	-1.6923E-06
-0.31894991	-1.7948E-06
-0.33961999	-1.9282E-06
-0.3588959	-2.1034E-06
-0.37908101	-2.3369E-06
-0.40120581	-2.7396E-06
-0.42563409	-3.4485E-06
-0.4453342	-4.372E-06
-0.4658224	-5.9238E-06
-0.48606819	-8.3877E-06
-0.4962517	-8.5538E-06
-0.47624841	-5.64E-06
-0.45679069	-3.819E-06
-0.4363631	-2.5692E-06
-0.41702649	-1.7772E-06
-0.39684141	-1.1829E-06
-0.37471661	-7.4933E-07
-0.3526524	-4.5098E-07
-0.3282848	-2.1084E-07
-0.30719039	-4.9536E-08
-0.28445941	5.5721E-08
-0.26251641	1.997E-07
-0.2414221	2.5306E-07
-0.2222068	2.8914E-07
-0.2009912	3.6949E-07
-0.1795938	4.2589E-07
-0.15555701	4.7743E-07
-0.1336844	5.3201E-07
-0.113679	5.7143E-07
-0.093146153	6.254E-07
-0.071473591	6.6402E-07
-0.050874051	7.1636E-07
-0.03100805	7.5517E-07
-0.0080927294	9.1041E-07
0.01231281	8.4795E-07
0.033973239	8.8191E-07
0.05708861	9.2799E-07
0.07768815	9.6923E-07
0.098669603	1.0141E-06
0.1192631	1.0403E-06
0.1393837	1.0929E-06
0.15957101	1.1172E-06
0.17837609	1.1554E-06
0.1991515	1.19E-06
0.22022919	1.2112E-06
0.2410811	1.2373E-06
0.26084191	1.2542E-06
0.283876	1.2718E-06
0.30636451	1.2779E-06
0.3281863	1.2689E-06
0.35061419	1.2658E-06
0.3735877	1.2433E-06
0.39437899	1.23E-06
0.41492781	1.2142E-06
