"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_hematite_new_700_9_dark.txt"


  Open Circuit Potential (V): -0.1517
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-1.2519E-05
-0.4810977	-8.119E-06
-0.45866981	-5.0554E-06
-0.4346658	-3.1337E-06
-0.41181359	-1.9991E-06
-0.39114359	-1.3489E-06
-0.36671531	-8.1907E-07
-0.3477425	-5.5164E-07
-0.32858789	-3.5153E-07
-0.3085846	-1.9507E-07
-0.28918749	-7.076E-08
-0.2696085	3.5361E-08
-0.24615011	1.3239E-07
-0.22402529	2.0273E-07
-0.2048707	2.6458E-07
-0.1812304	3.3432E-07
-0.1570241	3.9617E-07
-0.1339633	4.4833E-07
-0.1111086	5.1624E-07
-0.088175088	5.6415E-07
-0.067308821	6.163E-07
-0.045321021	6.6663E-07
-0.022066221	7.1393E-07
0.00018224629	7.673E-07
0.02156987	8.1338E-07
0.041429821	8.5098E-07
0.064611867	9.0131E-07
0.084005021	9.4134E-07
0.1049865	9.7902E-07
0.12809581	1.0384E-06
0.1507383	1.0832E-06
0.1709256	1.1208E-06
0.1938349	1.1712E-06
0.2179258	1.2173E-06
0.23647431	1.2585E-06
0.25635639	1.2967E-06
0.27945101	1.3373E-06
0.30030301	1.3708E-06
0.32236719	1.4186E-06
0.3452194	1.4519E-06
0.36522269	1.4871E-06
0.38740811	1.5271E-06
0.4077751	1.5623E-06
0.42796019	1.5932E-06
0.4481453	1.6314E-06
0.4690578	1.666E-06
0.4877882	1.7006E-06
0.50803387	1.7485E-06
0.52791601	1.8E-06
0.54864663	1.8679E-06
0.56834692	1.9643E-06
0.58871382	2.1123E-06
0.60750473	2.3421E-06
0.62950838	2.8285E-06
0.64981472	3.6514E-06
0.67084849	5.145E-06
0.69066989	7.5409E-06
0.71146119	1.161E-05
0.73025209	1.7796E-05
0.75025541	3.101E-05
0.77019799	5.9148E-05
0.79026192	0.00010978
0.79298967	0.00011792
0.77086478	5.9348E-05
0.75067967	2.7144E-05
0.72958529	9.2255E-06
0.70661187	1.0353E-06
0.68406278	-1.5286E-06
0.66424131	-1.7845E-06
0.64326823	-1.3448E-06
0.61956728	-6.8627E-07
0.59744251	-1.5869E-07
0.5781666	1.809E-07
0.55707228	4.3195E-07
0.53609908	5.969E-07
0.51409549	6.9392E-07
0.49203131	7.5396E-07
0.46881539	7.7397E-07
0.4454782	7.7154E-07
0.42505071	7.485E-07
0.40274391	7.2424E-07
0.38140711	6.9331E-07
0.35970661	6.4238E-07
0.3361876	5.9265E-07
