"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221220\pec\fto_tio2_hematite_new_700_12_dark.txt"


  Open Circuit Potential (V): -0.1708
"E (Volts)"	"I (Amps/cm^2~)"
-0.49800959	-3.2815E-05
-0.48061281	-1.5553E-05
-0.46109441	-8.0232E-06
-0.44163671	-3.517E-06
-0.41926941	-6.1471E-07
-0.39932671	7.8852E-07
-0.37974781	1.5259E-06
-0.35689551	1.9019E-06
-0.33446759	2.0207E-06
-0.31488869	2.0135E-06
-0.29506719	1.9589E-06
-0.2745184	1.8807E-06
-0.2548182	1.7849E-06
-0.23620909	1.7194E-06
-0.2151147	1.6314E-06
-0.1943841	1.5484E-06
-0.173411	1.4847E-06
-0.1515802	1.4271E-06
-0.12864061	1.3664E-06
-0.1060406	1.3349E-06
-0.081858233	1.3106E-06
-0.061919469	1.2912E-06
-0.042980999	1.2852E-06
-0.02125388	1.2894E-06
-6.6306129E-05	1.3131E-06
0.02192148	1.3391E-06
0.042848378	1.3743E-06
0.064696737	1.424E-06
0.089012437	1.4865E-06
0.1109275	1.5459E-06
0.1304601	1.5969E-06
0.1505807	1.6417E-06
0.1691675	1.6805E-06
0.1892942	1.7139E-06
0.20834181	1.7388E-06
0.2281093	1.76E-06
0.2490218	1.7685E-06
0.26902509	1.7624E-06
0.28605819	1.7594E-06
0.3095772	1.7388E-06
0.32970169	1.7212E-06
0.34958369	1.6915E-06
0.369587	1.6642E-06
0.3923786	1.6357E-06
0.4123213	1.6054E-06
0.43244579	1.5799E-06
0.45366141	1.5581E-06
0.47439209	1.5423E-06
0.4965775	1.5235E-06
0.5179143	1.5162E-06
0.54070592	1.5004E-06
0.56374002	1.5017E-06
0.5865922	1.4986E-06
0.60950512	1.5071E-06
0.63023567	1.5101E-06
0.6487236	1.5162E-06
0.66721147	1.5289E-06
0.69079107	1.5441E-06
0.71006697	1.5702E-06
0.72903979	1.6084E-06
0.75140709	1.6927E-06
0.77122849	1.8394E-06
0.79135299	2.1372E-06
0.78953463	1.6915E-06
0.77116787	1.3494E-06
0.74619412	1.1445E-06
0.7221902	1.0553E-06
0.69988352	1.005E-06
0.67672819	9.6923E-07
0.65369421	9.3527E-07
0.6316905	9.0738E-07
0.60798973	8.7524E-07
0.58507693	8.4916E-07
0.5618003	8.2066E-07
0.53834188	7.8973E-07
0.51936913	7.6972E-07
0.4953652	7.3698E-07
0.4734222	7.0666E-07
0.45032749	6.7755E-07
0.42941499	6.4541E-07
0.40959361	6.1691E-07
0.3863776	5.8477E-07
0.36328289	5.8174E-07
0.3410975	5.3504E-07
0.3210336	4.8714E-07
0.29975739	4.3984E-07
0.2777538	3.7738E-07
0.2555683	2.9672E-07
0.2351408	2.1425E-07
0.2130159	1.4451E-07
0.19374	4.567E-08
0.1721608	-9.7442E-08
0.14810731	-2.1084E-07
0.12569509	-3.0969E-07
0.1016826	-4.0429E-07
0.08321692	-4.7645E-07
0.06140494	-5.4194E-07
0.03786521	-6.1592E-07
0.01719293	-6.8323E-07
-0.005019167	-7.5782E-07
-0.03028664	-8.5424E-07
-0.05122567	-9.4581E-07
-0.073358953	-1.0507E-06
-0.092497483	-1.1508E-06
-0.1162251	-1.2854E-06
-0.1382311	-1.4321E-06
-0.1584972	-1.6013E-06
-0.17903011	-1.7736E-06
-0.1976169	-1.9621E-06
-0.2216613	-2.2271E-06
-0.2433618	-2.4891E-06
-0.26354691	-2.7693E-06
-0.28245911	-3.0834E-06
-0.30240181	-3.4515E-06
-0.3236174	-3.9166E-06
-0.3430751	-4.4393E-06
-0.3635633	-5.1634E-06
-0.38302109	-6.0942E-06
-0.40278181	-7.5144E-06
-0.4245429	-1.0016E-05
-0.446486	-1.4486E-05
-0.46824709	-2.1267E-05
-0.4894627	-3.253E-05
-0.49819139	-3.1432E-05
-0.47873369	-1.3871E-05
-0.45812419	-6.4168E-06
-0.43696931	-2.1671E-06
-0.41229859	5.8477E-07
-0.38950691	1.4562E-06
-0.36786699	1.9067E-06
-0.34695449	2.062E-06
-0.32810289	2.0802E-06
-0.30706921	2.0262E-06
-0.28712651	1.9577E-06
-0.26663831	1.8704E-06
-0.24621069	1.7733E-06
-0.22420719	1.6842E-06
-0.20377959	1.595E-06
-0.18044239	1.5047E-06
-0.1563936	1.4544E-06
-0.1355031	1.4028E-06
-0.115431	1.3507E-06
-0.092491411	1.3143E-06
-0.069551848	1.2791E-06
-0.046096999	1.2664E-06
-0.022830071	1.2652E-06
-0.0028246311	1.2676E-06
0.01618053	1.284E-06
0.03710743	1.3112E-06
0.059434701	1.3446E-06
0.082034789	1.3883E-06
0.105423	1.4374E-06
0.12754411	1.481E-06
0.1501321	1.5235E-06
0.1713924	1.5526E-06
0.1939743	1.5732E-06
0.2129553	1.5769E-06
0.2325343	1.5756E-06
0.2527194	1.5744E-06
0.27211651	1.5617E-06
0.2943626	1.5465E-06
0.31533569	1.5253E-06
0.33770299	1.492E-06
0.35703951	1.4574E-06
0.38110411	1.4162E-06
0.40268329	1.3816E-06
0.42080751	1.3543E-06
0.4417806	1.3319E-06
0.46057159	1.3173E-06
0.48105979	1.3112E-06
0.50257838	1.3082E-06
0.52743101	1.3046E-06
0.55034387	1.31E-06
0.57022589	1.3137E-06
0.59192652	1.3203E-06
0.61265713	1.3276E-06
0.63478202	1.3404E-06
0.65684623	1.3525E-06
0.67872852	1.3743E-06
0.69933802	1.401E-06
0.72255379	1.441E-06
0.74249661	1.5059E-06
0.76207548	1.6169E-06
0.78256369	1.8564E-06
0.80056661	2.068E-06
0.773835	1.2494E-06
0.75455922	1.062E-06
0.73146439	9.5286E-07
0.70976388	9.0192E-07
0.68794209	9.8257E-07
0.66569608	9.668E-07
0.64484417	8.152E-07
0.62368917	7.8852E-07
0.60101879	7.6669E-07
0.57974261	7.4547E-07
0.56010312	7.2424E-07
0.53803879	6.9756E-07
0.51803559	6.7573E-07
0.49488029	6.4783E-07
0.47214931	6.2236E-07
0.45032749	6.0053E-07
0.42771769	5.6536E-07
0.40516859	5.2455E-07
0.38298309	5.0775E-07
0.36152509	4.7016E-07
0.340067	4.2892E-07
0.31818461	3.8647E-07
0.29860571	3.4038E-07
0.27502611	2.7125E-07
0.25162831	1.906E-07
0.23017021	1.0328E-07
0.2076817	2.6871E-08
