"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m1\20221214_newsamples_withwithouttio2\pec\fto_tio2_hematite_new_700_1_dark.txt"


  Open Circuit Potential (V): -0.0367
"E (Volts)"	"I (Amps/cm^2~)"
-0.4981308	-3.4053E-05
-0.47927919	-1.8834E-05
-0.45691189	-1.1365E-05
-0.43642369	-7.2506E-06
-0.41629919	-4.7061E-06
-0.3959322	-3.0458E-06
-0.37556529	-1.9779E-06
-0.35471341	-1.2187E-06
-0.33167931	-6.8141E-07
-0.3085846	-3.0787E-07
-0.28961179	-7.0154E-08
-0.27076021	1.0267E-07
-0.25002959	2.5124E-07
-0.22693489	3.5676E-07
-0.20553739	4.4651E-07
-0.18359441	5.1806E-07
-0.15932781	5.7749E-07
-0.1369338	6.2115E-07
-0.1146065	7.6912E-07
-0.090284757	6.9331E-07
-0.068557642	7.3152E-07
-0.045575641	7.5032E-07
-0.024448689	7.7275E-07
0.0003277403	7.9519E-07
0.022436781	8.243E-07
0.043036319	8.4795E-07
0.06467855	8.5773E-07
0.084871918	8.9767E-07
0.1069749	9.189E-07
0.1285626	9.3689E-07
0.1519326	9.6802E-07
0.1747691	9.9349E-07
0.1966781	1.0099E-06
0.2211991	1.0365E-06
0.2419904	1.0511E-06
0.26447889	1.0741E-06
0.29102871	1.0887E-06
0.31024399	1.1075E-06
0.3312777	1.1275E-06
0.3529782	1.1396E-06
0.37310269	1.1493E-06
0.39553061	1.1621E-06
0.4177767	1.1833E-06
0.43705261	1.2609E-06
0.45966241	1.2724E-06
0.48105979	1.2184E-06
0.50294209	1.2949E-06
0.52621871	1.3046E-06
0.54919219	1.3264E-06
0.57198381	1.3361E-06
0.5951997	1.3628E-06
0.61538482	1.3174E-06
0.6389038	1.3513E-06
0.66084683	1.3761E-06
0.68321413	1.4174E-06
0.70546019	1.4768E-06
0.72419047	1.5623E-06
0.74370879	1.7078E-06
0.76310593	1.9819E-06
0.78401852	2.5847E-06
0.79905128	2.9583E-06
0.77722949	1.6363E-06
0.75619572	1.136E-06
0.73710167	9.2011E-07
0.71382523	7.8791E-07
0.69073051	7.1878E-07
0.67084849	6.5808E-07
0.65126938	6.3571E-07
0.62647748	5.7506E-07
0.60459518	5.3565E-07
0.58253098	4.8532E-07
0.56131542	4.4226E-07
0.54040283	4.0103E-07
0.51718688	3.4706E-07
0.49518329	2.9794E-07
0.4726342	2.6276E-07
0.45244911	1.9737E-07
0.4301424	1.6513E-07
0.40977541	1.0542E-07
