"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Chen\20210630\First\hematite_FS_S2_2.z"
"Date/Time:  2021/07/01 14:26:06"
" "
" "
"C:\Users\owner1\Desktop\Data\Chen\20210701\First_txt\hematite_FS_S2_2.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	4.605700E+01	-1.003300E+00	1.000000E+05	4.606793E+01	-1.247927E+00
1	7.943282E+04	4.576400E+01	-9.259400E-01	7.943282E+04	4.577337E+01	-1.159104E+00
2	6.309573E+04	4.550900E+01	-9.413200E-01	6.309573E+04	4.551873E+01	-1.184952E+00
3	5.011872E+04	4.537600E+01	-9.910100E-01	5.011872E+04	4.538682E+01	-1.251139E+00
4	3.981072E+04	4.536700E+01	-1.134600E+00	3.981072E+04	4.538119E+01	-1.432633E+00
5	3.162278E+04	4.531400E+01	-1.270600E+00	3.162278E+04	4.533181E+01	-1.606147E+00
6	2.511886E+04	4.530300E+01	-1.479500E+00	2.511886E+04	4.532715E+01	-1.870494E+00
7	1.995262E+04	4.534000E+01	-1.778900E+00	1.995262E+04	4.537488E+01	-2.246829E+00
8	1.584893E+04	4.537600E+01	-2.129200E+00	1.584893E+04	4.542593E+01	-2.686547E+00
9	1.258925E+04	4.542900E+01	-2.631400E+00	1.258925E+04	4.550515E+01	-3.315060E+00
10	1.000000E+04	4.550300E+01	-3.225700E+00	1.000000E+04	4.561719E+01	-4.054905E+00
11	7.943282E+03	4.562300E+01	-3.939100E+00	7.943282E+03	4.579274E+01	-4.934693E+00
12	6.309573E+03	4.576400E+01	-4.834600E+00	6.309573E+03	4.601866E+01	-6.030473E+00
13	5.011872E+03	4.596800E+01	-5.957200E+00	5.011872E+03	4.635240E+01	-7.384064E+00
14	3.981072E+03	4.617800E+01	-7.331500E+00	3.981072E+03	4.675637E+01	-9.021330E+00
15	3.162278E+03	4.647000E+01	-9.049500E+00	3.162278E+03	4.734294E+01	-1.101978E+01
16	2.511886E+03	4.686800E+01	-1.117200E+01	2.511886E+03	4.818115E+01	-1.340748E+01
17	1.995262E+03	4.740100E+01	-1.379300E+01	1.995262E+03	4.936701E+01	-1.622423E+01
18	1.584893E+03	4.815400E+01	-1.707000E+01	1.584893E+03	5.109004E+01	-1.951879E+01
19	1.258925E+03	4.919700E+01	-2.101900E+01	1.258925E+03	5.349900E+01	-2.313418E+01
20	1.000000E+03	5.067200E+01	-2.582200E+01	1.000000E+03	5.687203E+01	-2.700299E+01
21	7.943282E+02	5.272500E+01	-3.161200E+01	7.943282E+02	6.147556E+01	-3.094538E+01
22	6.309573E+02	5.564200E+01	-3.853000E+01	6.309573E+02	6.768008E+01	-3.470115E+01
23	5.011872E+02	5.966600E+01	-4.655800E+01	5.011872E+02	7.568143E+01	-3.796529E+01
24	3.981072E+02	6.510100E+01	-5.577900E+01	3.981072E+02	8.572886E+01	-4.059020E+01
25	3.162278E+02	7.245900E+01	-6.592300E+01	3.162278E+02	9.795993E+01	-4.229584E+01
26	2.511886E+02	8.191500E+01	-7.681500E+01	2.511886E+02	1.122970E+02	-4.315972E+01
27	1.995262E+02	9.324600E+01	-8.759600E+01	1.995262E+02	1.279370E+02	-4.321050E+01
28	1.584893E+02	1.076500E+02	-9.928600E+01	1.584893E+02	1.464453E+02	-4.268546E+01
29	1.258925E+02	1.237600E+02	-1.099200E+02	1.258925E+02	1.655263E+02	-4.161054E+01
30	1.000000E+02	1.426400E+02	-1.208400E+02	1.000000E+02	1.869451E+02	-4.027019E+01
31	7.943282E+01	1.603500E+02	-1.288200E+02	7.943282E+01	2.056860E+02	-3.877727E+01
32	6.309573E+01	1.799900E+02	-1.374900E+02	6.309573E+01	2.264948E+02	-3.737533E+01
33	5.011872E+01	2.017600E+02	-1.472000E+02	5.011872E+01	2.497497E+02	-3.611373E+01
34	3.981072E+01	2.208600E+02	-1.553600E+02	3.981072E+01	2.700294E+02	-3.512378E+01
35	3.162278E+01	2.428100E+02	-1.652200E+02	3.162278E+01	2.936909E+02	-3.423332E+01
36	2.511886E+01	2.656200E+02	-1.764600E+02	2.511886E+01	3.188920E+02	-3.359738E+01
37	1.995262E+01	2.900000E+02	-1.890600E+02	1.995262E+01	3.461845E+02	-3.310158E+01
38	1.584893E+01	3.169800E+02	-2.029400E+02	1.584893E+01	3.763788E+02	-3.262858E+01
39	1.258925E+01	3.475500E+02	-2.181900E+02	1.258925E+01	4.103631E+02	-3.212038E+01
40	1.000000E+01	3.806000E+02	-2.332400E+02	1.000000E+01	4.463824E+02	-3.150088E+01
41	7.943280E+00	4.181000E+02	-2.505000E+02	7.943280E+00	4.873991E+02	-3.092747E+01
42	6.309570E+00	4.587300E+02	-2.644800E+02	6.309570E+00	5.295119E+02	-2.996553E+01
43	5.011870E+00	4.986500E+02	-2.752900E+02	5.011870E+00	5.695932E+02	-2.890180E+01
44	3.981070E+00	5.550900E+02	-2.875000E+02	3.981070E+00	6.251249E+02	-2.738118E+01
45	3.162280E+00	6.078900E+02	-2.911400E+02	3.162280E+00	6.740124E+02	-2.559141E+01
46	2.511890E+00	6.619500E+02	-2.893800E+02	2.511890E+00	7.224393E+02	-2.361317E+01
47	1.995260E+00	7.170300E+02	-2.845000E+02	1.995260E+00	7.714093E+02	-2.164197E+01
48	1.584890E+00	7.663200E+02	-2.693200E+02	1.584890E+00	8.122682E+02	-1.936381E+01
49	1.258930E+00	8.146100E+02	-2.532300E+02	1.258930E+00	8.530621E+02	-1.726840E+01
50	1.000000E+00	8.588900E+02	-2.337400E+02	1.000000E+00	8.901272E+02	-1.522390E+01
51	7.943300E-01	8.992000E+02	-2.097900E+02	7.943300E-01	9.233485E+02	-1.313261E+01
52	6.309600E-01	9.390500E+02	-1.946900E+02	6.309600E-01	9.590199E+02	-1.171299E+01
53	5.011900E-01	9.698300E+02	-1.729800E+02	5.011900E-01	9.851357E+02	-1.011300E+01
