"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Chen\original\remeasurement\hematite_F_S2_3.re.z"
"Date/Time:  2021/07/19 17:55:39"
" "
" "
"C:\Users\owner1\Desktop\Data\Chen\txt\remeas\hematite_FS_S2_3.re.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	3.424700E+01	-1.721300E+00	1.000000E+05	3.429023E+01	-2.877341E+00
1	7.943282E+04	3.392500E+01	-1.449700E+00	7.943282E+04	3.395596E+01	-2.446903E+00
2	6.309573E+04	3.371200E+01	-1.306300E+00	6.309573E+04	3.373730E+01	-2.219033E+00
3	5.011872E+04	3.359900E+01	-1.228600E+00	5.011872E+04	3.362146E+01	-2.094177E+00
4	3.981072E+04	3.351500E+01	-1.240600E+00	3.981072E+04	3.353795E+01	-2.119908E+00
5	3.162278E+04	3.350100E+01	-1.307100E+00	3.162278E+04	3.352649E+01	-2.234362E+00
6	2.511886E+04	3.350300E+01	-1.440200E+00	2.511886E+04	3.353394E+01	-2.461469E+00
7	1.995262E+04	3.350900E+01	-1.633300E+00	1.995262E+04	3.354878E+01	-2.790510E+00
8	1.584893E+04	3.354600E+01	-1.896700E+00	1.584893E+04	3.359958E+01	-3.236074E+00
9	1.258925E+04	3.361900E+01	-2.245800E+00	1.258925E+04	3.369393E+01	-3.821767E+00
10	1.000000E+04	3.371300E+01	-2.687300E+00	1.000000E+04	3.381993E+01	-4.557473E+00
11	7.943282E+03	3.384100E+01	-3.243800E+00	7.943282E+03	3.399611E+01	-5.475310E+00
12	6.309573E+03	3.402400E+01	-3.928800E+00	6.309573E+03	3.425008E+01	-6.586853E+00
13	5.011872E+03	3.426100E+01	-4.776600E+00	5.011872E+03	3.459237E+01	-7.936903E+00
14	3.981072E+03	3.456500E+01	-5.817600E+00	3.981072E+03	3.505116E+01	-9.553852E+00
15	3.162278E+03	3.500100E+01	-7.085200E+00	3.162278E+03	3.571092E+01	-1.144366E+01
16	2.511886E+03	3.560200E+01	-8.610100E+00	2.511886E+03	3.662835E+01	-1.359554E+01
17	1.995262E+03	3.641400E+01	-1.042200E+01	1.995262E+03	3.787608E+01	-1.597158E+01
18	1.584893E+03	3.753700E+01	-1.253500E+01	1.584893E+03	3.957465E+01	-1.846608E+01
19	1.258925E+03	3.912400E+01	-1.498100E+01	1.258925E+03	4.189413E+01	-2.095238E+01
20	1.000000E+03	4.122400E+01	-1.764600E+01	1.000000E+03	4.484194E+01	-2.317342E+01
21	7.943282E+02	4.390100E+01	-2.039700E+01	7.943282E+02	4.840801E+01	-2.492022E+01
22	6.309573E+02	4.726500E+01	-2.316900E+01	6.309573E+02	5.263823E+01	-2.611380E+01
23	5.011872E+02	5.125700E+01	-2.576900E+01	5.011872E+02	5.737004E+01	-2.669056E+01
24	3.981072E+02	5.567900E+01	-2.792800E+01	3.981072E+02	6.229064E+01	-2.663786E+01
25	3.162278E+02	6.046200E+01	-2.974700E+01	3.162278E+02	6.738351E+01	-2.619695E+01
26	2.511886E+02	6.513300E+01	-3.116500E+01	2.511886E+02	7.220502E+01	-2.557030E+01
27	1.995262E+02	7.006200E+01	-3.260400E+01	1.995262E+02	7.727681E+01	-2.495535E+01
28	1.584893E+02	7.425500E+01	-3.364300E+01	1.584893E+02	8.152090E+01	-2.437404E+01
29	1.258925E+02	7.871900E+01	-3.525800E+01	1.258925E+02	8.625432E+01	-2.412746E+01
30	1.000000E+02	8.327500E+01	-3.663100E+01	1.000000E+02	9.097558E+01	-2.374373E+01
31	7.943282E+01	8.751200E+01	-3.985600E+01	7.943282E+01	9.616055E+01	-2.448617E+01
32	6.309573E+01	9.226400E+01	-4.298900E+01	6.309573E+01	1.017875E+02	-2.498245E+01
33	5.011872E+01	9.741900E+01	-4.711500E+01	5.011872E+01	1.082141E+02	-2.580992E+01
34	3.981072E+01	1.035800E+02	-5.140900E+01	3.981072E+01	1.156361E+02	-2.639620E+01
35	3.162278E+01	1.099700E+02	-5.682300E+01	3.162278E+01	1.237831E+02	-2.732602E+01
36	2.511886E+01	1.182900E+02	-6.277300E+01	2.511886E+01	1.339141E+02	-2.795357E+01
37	1.995262E+01	1.277900E+02	-6.935100E+01	1.995262E+01	1.453955E+02	-2.848846E+01
38	1.584893E+01	1.389200E+02	-7.614500E+01	1.584893E+01	1.584198E+02	-2.872808E+01
39	1.258925E+01	1.519200E+02	-8.236200E+01	1.258925E+01	1.728097E+02	-2.846392E+01
