"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Chen\original\20210812\hematite_FS_S3-2_No38.z"
"Date/Time:  2021/08/12 15:13:37"
" "
" "
"C:\Users\owner1\Desktop\Data\Chen\txt\20210812\hematite_FS_S3-2_No38.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.712400E+01	-1.710200E+00	1.000000E+05	2.717786E+01	-3.607790E+00
1	7.943282E+04	2.683200E+01	-1.477500E+00	7.943282E+04	2.687265E+01	-3.151800E+00
2	6.309573E+04	2.668500E+01	-1.349400E+00	6.309573E+04	2.671910E+01	-2.894852E+00
3	5.011872E+04	2.657600E+01	-1.327500E+00	5.011872E+04	2.660913E+01	-2.859610E+00
4	3.981072E+04	2.652700E+01	-1.374400E+00	3.981072E+04	2.656258E+01	-2.965920E+00
5	3.162278E+04	2.651300E+01	-1.474400E+00	3.162278E+04	2.655396E+01	-3.182966E+00
6	2.511886E+04	2.652700E+01	-1.646300E+00	2.511886E+04	2.657804E+01	-3.551296E+00
7	1.995262E+04	2.655600E+01	-1.898400E+00	1.995262E+04	2.662377E+01	-4.088929E+00
8	1.584893E+04	2.660300E+01	-2.237700E+00	1.584893E+04	2.669695E+01	-4.808092E+00
9	1.258925E+04	2.666500E+01	-2.669300E+00	1.258925E+04	2.679827E+01	-5.716550E+00
10	1.000000E+04	2.674100E+01	-3.231200E+00	1.000000E+04	2.693551E+01	-6.889829E+00
11	7.943282E+03	2.684500E+01	-3.937600E+00	7.943282E+03	2.713225E+01	-8.344588E+00
12	6.309573E+03	2.698100E+01	-4.820200E+00	6.309573E+03	2.740819E+01	-1.012913E+01
13	5.011872E+03	2.717400E+01	-5.922200E+00	5.011872E+03	2.781185E+01	-1.229459E+01
14	3.981072E+03	2.742900E+01	-7.299400E+00	3.981072E+03	2.838364E+01	-1.490216E+01
15	3.162278E+03	2.776800E+01	-9.012200E+00	3.162278E+03	2.919386E+01	-1.798102E+01
16	2.511886E+03	2.823500E+01	-1.111900E+01	2.511886E+03	3.034547E+01	-2.149462E+01
