"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Chen\original\First\hematite_FS_S5_4.z"
"Date/Time:  2021/07/12 18:05:01"
" "
" "
"C:\Users\owner1\Desktop\Data\Chen\txt\First_txt\hematite_FS_S5_4.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	3.195200E+01	-1.799900E+00	1.000000E+05	3.200266E+01	-3.224142E+00
1	7.943282E+04	3.163800E+01	-1.518000E+00	7.943282E+04	3.167440E+01	-2.746961E+00
2	6.309573E+04	3.142000E+01	-1.359900E+00	6.309573E+04	3.144942E+01	-2.478292E+00
3	5.011872E+04	3.133000E+01	-1.289500E+00	5.011872E+04	3.135653E+01	-2.356886E+00
4	3.981072E+04	3.127500E+01	-1.305800E+00	3.981072E+04	3.130225E+01	-2.390836E+00
5	3.162278E+04	3.126600E+01	-1.363500E+00	3.162278E+04	3.129572E+01	-2.497068E+00
6	2.511886E+04	3.127800E+01	-1.504600E+00	2.511886E+04	3.131417E+01	-2.754039E+00
7	1.995262E+04	3.132300E+01	-1.693000E+00	1.995262E+04	3.136872E+01	-3.093812E+00
8	1.584893E+04	3.138400E+01	-1.948000E+00	1.584893E+04	3.144440E+01	-3.551784E+00
9	1.258925E+04	3.145200E+01	-2.305800E+00	1.258925E+04	3.153641E+01	-4.192951E+00
10	1.000000E+04	3.156100E+01	-2.742000E+00	1.000000E+04	3.167989E+01	-4.965354E+00
11	7.943282E+03	3.168400E+01	-3.293400E+00	7.943282E+03	3.185471E+01	-5.934310E+00
12	6.309573E+03	3.183800E+01	-3.981600E+00	6.309573E+03	3.208600E+01	-7.128294E+00
13	5.011872E+03	3.205000E+01	-4.842000E+00	5.011872E+03	3.241369E+01	-8.591075E+00
14	3.981072E+03	3.234000E+01	-5.896800E+00	3.981072E+03	3.287321E+01	-1.033366E+01
15	3.162278E+03	3.269600E+01	-7.196000E+00	3.162278E+03	3.347851E+01	-1.241223E+01
16	2.511886E+03	3.318100E+01	-8.800800E+00	2.511886E+03	3.432831E+01	-1.485487E+01
17	1.995262E+03	3.385800E+01	-1.073300E+01	1.995262E+03	3.551847E+01	-1.758864E+01
18	1.584893E+03	3.483300E+01	-1.308200E+01	1.584893E+03	3.720856E+01	-2.058434E+01
19	1.258925E+03	3.618800E+01	-1.582900E+01	1.258925E+03	3.949846E+01	-2.362506E+01
