"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Chen\original\V&H\hematite_V_S2_3.z"
"Date/Time:  2021/07/19 18:05:41"
" "
" "
"C:\Users\owner1\Desktop\Data\Chen\txt\V&H_txt\hematite_V_S2_3.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.778800E+01	-8.736700E-01	1.000000E+05	2.780173E+01	-1.800818E+00
1	7.943282E+04	2.761500E+01	-8.096900E-01	7.943282E+04	2.762687E+01	-1.679469E+00
2	6.309573E+04	2.751800E+01	-8.243600E-01	6.309573E+04	2.753034E+01	-1.715903E+00
3	5.011872E+04	2.746700E+01	-8.949000E-01	5.011872E+04	2.748157E+01	-1.866089E+00
4	3.981072E+04	2.741600E+01	-1.031000E+00	3.981072E+04	2.743538E+01	-2.153638E+00
5	3.162278E+04	2.739800E+01	-1.208400E+00	3.162278E+04	2.742464E+01	-2.525417E+00
6	2.511886E+04	2.741100E+01	-1.447600E+00	2.511886E+04	2.744920E+01	-3.023034E+00
7	1.995262E+04	2.742400E+01	-1.759800E+00	1.995262E+04	2.748041E+01	-3.671640E+00
8	1.584893E+04	2.744900E+01	-2.149500E+00	1.584893E+04	2.753303E+01	-4.477630E+00
9	1.258925E+04	2.749400E+01	-2.657100E+00	1.258925E+04	2.762210E+01	-5.520088E+00
10	1.000000E+04	2.756700E+01	-3.284600E+00	1.000000E+04	2.776199E+01	-6.794742E+00
11	7.943282E+03	2.763400E+01	-4.071900E+00	7.943282E+03	2.793239E+01	-8.382277E+00
12	6.309573E+03	2.776800E+01	-5.039900E+00	6.309573E+03	2.822167E+01	-1.028721E+01
13	5.011872E+03	2.793000E+01	-6.254400E+00	5.011872E+03	2.862171E+01	-1.262209E+01
14	3.981072E+03	2.815700E+01	-7.762100E+00	3.981072E+03	2.920731E+01	-1.541205E+01
15	3.162278E+03	2.848100E+01	-9.628100E+00	3.162278E+03	3.006439E+01	-1.867800E+01
16	2.511886E+03	2.889000E+01	-1.193100E+01	2.511886E+03	3.125669E+01	-2.243966E+01
17	1.995262E+03	2.948700E+01	-1.476800E+01	1.995262E+03	3.297843E+01	-2.660312E+01
18	1.584893E+03	3.032300E+01	-1.825400E+01	1.584893E+03	3.539340E+01	-3.104732E+01
19	1.258925E+03	3.152200E+01	-2.247200E+01	1.258925E+03	3.871211E+01	-3.548503E+01
20	1.000000E+03	3.318300E+01	-2.761200E+01	1.000000E+03	4.316867E+01	-3.976428E+01
21	7.943282E+02	3.550800E+01	-3.369800E+01	7.943282E+02	4.895277E+01	-4.350184E+01
22	6.309573E+02	3.875700E+01	-4.091100E+01	6.309573E+02	5.635437E+01	-4.654874E+01
23	5.011872E+02	4.320700E+01	-4.916200E+01	5.011872E+02	6.545034E+01	-4.868874E+01
24	3.981072E+02	4.909600E+01	-5.860800E+01	3.981072E+02	7.645466E+01	-5.004705E+01
25	3.162278E+02	5.673600E+01	-6.893400E+01	3.162278E+02	8.927973E+01	-5.054398E+01
26	2.511886E+02	6.639700E+01	-8.001300E+01	2.511886E+02	1.039742E+02	-5.031317E+01
27	1.995262E+02	7.868200E+01	-9.162700E+01	1.995262E+02	1.207740E+02	-4.934663E+01
28	1.584893E+02	9.183400E+01	-1.024800E+02	1.584893E+02	1.376068E+02	-4.813596E+01
29	1.258925E+02	1.071400E+02	-1.139600E+02	1.258925E+02	1.564157E+02	-4.676677E+01
30	1.000000E+02	1.249900E+02	-1.267700E+02	1.000000E+02	1.780257E+02	-4.540509E+01
31	7.943282E+01	1.411100E+02	-1.363000E+02	7.943282E+01	1.961880E+02	-4.400665E+01
32	6.309573E+01	1.592900E+02	-1.484000E+02	6.309573E+01	2.177059E+02	-4.297299E+01
33	5.011872E+01	1.775200E+02	-1.605000E+02	5.011872E+01	2.393190E+02	-4.211747E+01
34	3.981072E+01	1.968300E+02	-1.767700E+02	3.981072E+01	2.645556E+02	-4.192652E+01
35	3.162278E+01	2.191400E+02	-1.943000E+02	3.162278E+01	2.928734E+02	-4.156173E+01
36	2.511886E+01	2.430000E+02	-2.181100E+02	2.511886E+01	3.265287E+02	-4.191026E+01
37	1.995262E+01	2.693200E+02	-2.430200E+02	1.995262E+01	3.627561E+02	-4.206141E+01
38	1.584893E+01	3.001200E+02	-2.716300E+02	1.584893E+01	4.047899E+02	-4.214734E+01
39	1.258925E+01	3.361200E+02	-3.070800E+02	1.258925E+01	4.552744E+02	-4.241489E+01
