"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Chen\original\90&100\hematite_95C_S2-1.z"
"Date/Time:  2021/08/05 19:44:00"
" "
" "
"C:\Users\owner1\Desktop\Data\Chen\txt\temperture\hematite_95C_S2-1.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.137700E+01	-1.451800E+00	1.000000E+05	2.142624E+01	-3.885226E+00
1	7.943282E+04	2.113500E+01	-1.293500E+00	7.943282E+04	2.117455E+01	-3.502236E+00
2	6.309573E+04	2.096600E+01	-1.219800E+00	6.309573E+04	2.100145E+01	-3.329710E+00
3	5.011872E+04	2.087300E+01	-1.221000E+00	5.011872E+04	2.090868E+01	-3.347795E+00
4	3.981072E+04	2.081500E+01	-1.313400E+00	3.981072E+04	2.085640E+01	-3.610504E+00
5	3.162278E+04	2.080800E+01	-1.469100E+00	3.162278E+04	2.085980E+01	-4.038533E+00
6	2.511886E+04	2.081000E+01	-1.697100E+00	2.511886E+04	2.087909E+01	-4.662276E+00
7	1.995262E+04	2.083600E+01	-2.002700E+00	1.995262E+04	2.093203E+01	-5.490250E+00
8	1.584893E+04	2.087300E+01	-2.399400E+00	1.584893E+04	2.101046E+01	-6.557501E+00
9	1.258925E+04	2.093200E+01	-2.911800E+00	1.258925E+04	2.113356E+01	-7.919456E+00
10	1.000000E+04	2.100000E+01	-3.555800E+00	1.000000E+04	2.129891E+01	-9.610386E+00
11	7.943282E+03	2.108800E+01	-4.369600E+00	7.943282E+03	2.153595E+01	-1.170647E+01
12	6.309573E+03	2.121300E+01	-5.380000E+00	6.309573E+03	2.188460E+01	-1.423118E+01
13	5.011872E+03	2.137700E+01	-6.655500E+00	5.011872E+03	2.238910E+01	-1.729342E+01
14	3.981072E+03	2.157300E+01	-8.220100E+00	3.981072E+03	2.308602E+01	-2.085867E+01
15	3.162278E+03	2.186100E+01	-1.017700E+01	3.162278E+03	2.411379E+01	-2.496350E+01
16	2.511886E+03	2.222300E+01	-1.260300E+01	2.511886E+03	2.554794E+01	-2.955823E+01
17	1.995262E+03	2.271300E+01	-1.560000E+01	1.995262E+03	2.755432E+01	-3.448250E+01
18	1.584893E+03	2.337800E+01	-1.930900E+01	1.584893E+03	3.032109E+01	-3.955492E+01
19	1.258925E+03	2.428800E+01	-2.386200E+01	1.258925E+03	3.404852E+01	-4.449310E+01
20	1.000000E+03	2.553600E+01	-2.945400E+01	1.000000E+03	3.898237E+01	-4.907540E+01
21	7.943282E+02	2.729400E+01	-3.628100E+01	7.943282E+02	4.540125E+01	-5.304605E+01
22	6.309573E+02	2.969600E+01	-4.456200E+01	6.309573E+02	5.355020E+01	-5.632062E+01
23	5.011872E+02	3.298900E+01	-5.458400E+01	5.011872E+02	6.377842E+01	-5.885244E+01
24	3.981072E+02	3.755000E+01	-6.649300E+01	3.981072E+02	7.636309E+01	-6.054567E+01
25	3.162278E+02	4.380200E+01	-8.060400E+01	3.162278E+02	9.173669E+01	-6.147936E+01
26	2.511886E+02	5.235600E+01	-9.689700E+01	2.511886E+02	1.101371E+02	-6.161648E+01
27	1.995262E+02	6.325900E+01	-1.160300E+02	1.995262E+02	1.321539E+02	-6.140099E+01
28	1.584893E+02	7.813600E+01	-1.364900E+02	1.584893E+02	1.572729E+02	-6.021029E+01
29	1.258925E+02	9.683500E+01	-1.590800E+02	1.258925E+02	1.862350E+02	-5.867034E+01
30	1.000000E+02	1.199300E+02	-1.814700E+02	1.000000E+02	2.175191E+02	-5.654006E+01
31	7.943282E+01	1.477500E+02	-2.071100E+02	7.943282E+01	2.544103E+02	-5.449636E+01
32	6.309573E+01	1.800300E+02	-2.310400E+02	6.309573E+01	2.928998E+02	-5.207372E+01
33	5.011872E+01	2.166500E+02	-2.541300E+02	5.011872E+01	3.339450E+02	-4.955186E+01
34	3.981072E+01	2.560300E+02	-2.759000E+02	3.981072E+01	3.763936E+02	-4.713926E+01
35	3.162278E+01	2.982400E+02	-2.978000E+02	3.162278E+01	4.214640E+02	-4.495770E+01
36	2.511886E+01	3.407200E+02	-3.179500E+02	2.511886E+01	4.660282E+02	-4.302009E+01
37	1.995262E+01	3.883600E+02	-3.403300E+02	1.995262E+01	5.163797E+02	-4.122893E+01
38	1.584893E+01	4.365000E+02	-3.635800E+02	1.584893E+01	5.680868E+02	-3.979240E+01
39	1.258925E+01	4.865900E+02	-3.892000E+02	1.258925E+01	6.230943E+02	-3.865464E+01
40	1.000000E+01	5.409400E+02	-4.187200E+02	1.000000E+01	6.840632E+02	-3.774202E+01
41	7.943280E+00	5.991400E+02	-4.495800E+02	7.943280E+00	7.490600E+02	-3.688367E+01
42	6.309570E+00	6.625300E+02	-4.853400E+02	6.309570E+00	8.212800E+02	-3.622485E+01
43	5.011870E+00	7.097200E+02	-5.235600E+02	5.011870E+00	8.819397E+02	-3.641617E+01
44	3.981070E+00	8.178400E+02	-5.606900E+02	3.981070E+00	9.915823E+02	-3.443353E+01
45	3.162280E+00	9.055700E+02	-6.002200E+02	3.162280E+00	1.086426E+03	-3.353678E+01
46	2.511890E+00	9.935400E+02	-6.786900E+02	2.511890E+00	1.203221E+03	-3.433709E+01
47	1.995260E+00	1.118400E+03	-6.674700E+02	1.995260E+00	1.302434E+03	-3.082909E+01
