"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\分類学習_データセットを増やすため\PEIS_0V\deposition_2h_3_0V.z"
"Date/Time:  2022/07/08 11:44:17"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\分類学習_データセットを増やすため\PEIS_0V\deposition_2h_3_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	1.847400E+01	-2.696200E+00	1.000000E+05	1.866971E+01	-8.303446E+00
1	7.943282E+04	1.800600E+01	-2.185400E+00	7.943282E+04	1.813814E+01	-6.920179E+00
2	6.309573E+04	1.772000E+01	-1.898400E+00	6.309573E+04	1.782140E+01	-6.114956E+00
3	5.011872E+04	1.754200E+01	-1.714600E+00	5.011872E+04	1.762560E+01	-5.582504E+00
4	3.981072E+04	1.744700E+01	-1.661900E+00	3.981072E+04	1.752597E+01	-5.441246E+00
5	3.162278E+04	1.741100E+01	-1.699600E+00	3.162278E+04	1.749376E+01	-5.575346E+00
6	2.511886E+04	1.740000E+01	-1.812200E+00	2.511886E+04	1.749412E+01	-5.945886E+00
7	1.995262E+04	1.742500E+01	-2.010700E+00	1.995262E+04	1.754063E+01	-6.582344E+00
8	1.584893E+04	1.746600E+01	-2.299800E+00	1.584893E+04	1.761676E+01	-7.501153E+00
9	1.258925E+04	1.753300E+01	-2.688100E+00	1.258925E+04	1.773787E+01	-8.716520E+00
10	1.000000E+04	1.761700E+01	-3.191600E+00	1.000000E+04	1.790377E+01	-1.026867E+01
11	7.943282E+03	1.773000E+01	-3.829700E+00	7.943282E+03	1.813889E+01	-1.218869E+01
12	6.309573E+03	1.785400E+01	-4.632700E+00	6.309573E+03	1.844525E+01	-1.454614E+01
13	5.011872E+03	1.801600E+01	-5.643000E+00	5.011872E+03	1.887908E+01	-1.739168E+01
14	3.981072E+03	1.822100E+01	-6.892800E+00	3.981072E+03	1.948116E+01	-2.072107E+01
15	3.162278E+03	1.845600E+01	-8.451900E+00	3.162278E+03	2.029923E+01	-2.460535E+01
16	2.511886E+03	1.874900E+01	-1.039900E+01	2.511886E+03	2.143978E+01	-2.901463E+01
17	1.995262E+03	1.913600E+01	-1.282000E+01	1.995262E+03	2.303343E+01	-3.381977E+01
18	1.584893E+03	1.964700E+01	-1.581800E+01	1.584893E+03	2.522328E+01	-3.883790E+01
19	1.258925E+03	2.032400E+01	-1.953200E+01	1.258925E+03	2.818801E+01	-4.386159E+01
20	1.000000E+03	2.125900E+01	-2.412000E+01	1.000000E+03	3.215151E+01	-4.860754E+01
21	7.943282E+02	2.256000E+01	-2.976400E+01	7.943282E+02	3.734768E+01	-5.283923E+01
22	6.309573E+02	2.434800E+01	-3.667300E+01	6.309573E+02	4.401970E+01	-5.641895E+01
23	5.011872E+02	2.685300E+01	-4.506700E+01	5.011872E+02	5.246063E+01	-5.921156E+01
24	3.981072E+02	3.036400E+01	-5.525600E+01	3.981072E+02	6.304917E+01	-6.121055E+01
25	3.162278E+02	3.528500E+01	-6.736800E+01	3.162278E+02	7.604919E+01	-6.235603E+01
26	2.511886E+02	4.214600E+01	-8.173900E+01	2.511886E+02	9.196494E+01	-6.272361E+01
27	1.995262E+02	5.150800E+01	-9.842900E+01	1.995262E+02	1.110916E+02	-6.237689E+01
