"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\分類学習_データセットを増やすため\PEIS_0V\comparison_P_3_0V.z"
"Date/Time:  2022/07/08 11:42:41"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\分類学習_データセットを増やすため\PEIS_0V\comparison_P_3_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	1.858600E+01	-3.000500E+00	1.000000E+05	1.882664E+01	-9.170634E+00
1	7.943282E+04	1.810400E+01	-2.431700E+00	7.943282E+04	1.826658E+01	-7.650090E+00
2	6.309573E+04	1.780100E+01	-2.072100E+00	6.309573E+04	1.792119E+01	-6.639553E+00
3	5.011872E+04	1.761100E+01	-1.842200E+00	5.011872E+04	1.770709E+01	-5.971711E+00
4	3.981072E+04	1.751200E+01	-1.757400E+00	3.981072E+04	1.759996E+01	-5.730677E+00
5	3.162278E+04	1.747000E+01	-1.762400E+00	3.162278E+04	1.755867E+01	-5.760596E+00
6	2.511886E+04	1.746700E+01	-1.842200E+00	2.511886E+04	1.756388E+01	-6.020583E+00
7	1.995262E+04	1.749600E+01	-2.000900E+00	1.995262E+04	1.761004E+01	-6.524189E+00
8	1.584893E+04	1.754800E+01	-2.242600E+00	1.584893E+04	1.769072E+01	-7.282811E+00
9	1.258925E+04	1.761700E+01	-2.581400E+00	1.258925E+04	1.780512E+01	-8.336165E+00
10	1.000000E+04	1.771000E+01	-3.032000E+00	1.000000E+04	1.796767E+01	-9.715007E+00
11	7.943282E+03	1.782600E+01	-3.602900E+00	7.943282E+03	1.818646E+01	-1.142640E+01
12	6.309573E+03	1.796800E+01	-4.324300E+00	6.309573E+03	1.848103E+01	-1.353185E+01
13	5.011872E+03	1.813000E+01	-5.231200E+00	5.011872E+03	1.886961E+01	-1.609488E+01
14	3.981072E+03	1.834200E+01	-6.361200E+00	3.981072E+03	1.941375E+01	-1.912709E+01
15	3.162278E+03	1.859300E+01	-7.767100E+00	3.162278E+03	2.015012E+01	-2.267240E+01
16	2.511886E+03	1.889700E+01	-9.510900E+00	2.511886E+03	2.115547E+01	-2.671621E+01
17	1.995262E+03	1.928900E+01	-1.166300E+01	1.995262E+03	2.254088E+01	-3.115905E+01
18	1.584893E+03	1.980000E+01	-1.434800E+01	1.584893E+03	2.445210E+01	-3.592883E+01
19	1.258925E+03	2.048400E+01	-1.765500E+01	1.258925E+03	2.704243E+01	-4.075779E+01
20	1.000000E+03	2.138900E+01	-2.173400E+01	1.000000E+03	3.049354E+01	-4.545838E+01
21	7.943282E+02	2.264500E+01	-2.675000E+01	7.943282E+02	3.504795E+01	-4.975068E+01
22	6.309573E+02	2.435900E+01	-3.287400E+01	6.309573E+02	4.091529E+01	-5.346227E+01
23	5.011872E+02	2.677900E+01	-4.030900E+01	5.011872E+02	4.839349E+01	-5.640220E+01
24	3.981072E+02	3.013400E+01	-4.927000E+01	3.981072E+02	5.775457E+01	-5.854965E+01
25	3.162278E+02	3.485300E+01	-5.981400E+01	3.162278E+02	6.922750E+01	-5.977109E+01
26	2.511886E+02	4.139600E+01	-7.224500E+01	2.511886E+02	8.326445E+01	-6.018752E+01
27	1.995262E+02	5.039200E+01	-8.585700E+01	1.995262E+02	9.955289E+01	-5.959007E+01
28	1.584893E+02	6.212900E+01	-1.016000E+02	1.584893E+02	1.190906E+02	-5.855397E+01
29	1.258925E+02	7.746800E+01	-1.179200E+02	1.258925E+02	1.410901E+02	-5.669693E+01
30	1.000000E+02	9.691400E+01	-1.354500E+02	1.000000E+02	1.665504E+02	-5.441641E+01
31	7.943282E+01	1.193700E+02	-1.498900E+02	7.943282E+01	1.916147E+02	-5.146674E+01
32	6.309573E+01	1.453900E+02	-1.638500E+02	6.309573E+01	2.190550E+02	-4.841620E+01
33	5.011872E+01	1.732900E+02	-1.755900E+02	5.011872E+01	2.467008E+02	-4.537772E+01
34	3.981072E+01	2.032200E+02	-1.854500E+02	3.981072E+01	2.751183E+02	-4.238226E+01
35	3.162278E+01	2.329100E+02	-1.931600E+02	3.162278E+01	3.025853E+02	-3.967005E+01
36	2.511886E+01	2.625600E+02	-1.999900E+02	2.511886E+01	3.300511E+02	-3.729626E+01
37	1.995262E+01	2.922600E+02	-2.069100E+02	1.995262E+01	3.580889E+02	-3.529718E+01
38	1.584893E+01	3.213100E+02	-2.143400E+02	1.584893E+01	3.862405E+02	-3.370652E+01
39	1.258925E+01	3.506700E+02	-2.231200E+02	1.258925E+01	4.156344E+02	-3.246728E+01
40	1.000000E+01	3.810700E+02	-2.337400E+02	1.000000E+01	4.470444E+02	-3.152404E+01
41	7.943280E+00	4.123800E+02	-2.463900E+02	7.943280E+00	4.803804E+02	-3.085760E+01
42	6.309570E+00	4.469500E+02	-2.612400E+02	6.309570E+00	5.176974E+02	-3.030607E+01
43	5.011870E+00	4.922100E+02	-2.792200E+02	5.011870E+00	5.658927E+02	-2.956530E+01
44	3.981070E+00	5.254200E+02	-2.974400E+02	3.981070E+00	6.037688E+02	-2.951418E+01
45	3.162280E+00	5.713800E+02	-3.166900E+02	3.162280E+00	6.532746E+02	-2.899761E+01
46	2.511890E+00	6.142500E+02	-3.359300E+02	2.511890E+00	7.001086E+02	-2.867401E+01
47	1.995260E+00	6.820900E+02	-3.519900E+02	1.995260E+00	7.675570E+02	-2.729583E+01
48	1.584890E+00	7.463900E+02	-3.623400E+02	1.584890E+00	8.296917E+02	-2.589456E+01
49	1.258930E+00	8.152000E+02	-3.685900E+02	1.258930E+00	8.946562E+02	-2.432995E+01
50	1.000000E+00	8.880400E+02	-3.651500E+02	1.000000E+00	9.601820E+02	-2.235180E+01
51	7.943300E-01	9.550100E+02	-3.468100E+02	7.943300E-01	1.016032E+03	-1.995839E+01
52	6.309600E-01	1.017600E+03	-3.241700E+02	6.309600E-01	1.067987E+03	-1.766997E+01
53	5.011900E-01	1.073000E+03	-2.960300E+02	5.011900E-01	1.113087E+03	-1.542365E+01
