"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\deposition_TiO2_3h_Air_7_0V.z"
"Date/Time:  2022/08/19 15:28:20"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\deposition_TiO2_3h_Air_7_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.691200E+01	-2.084200E+00	1.000000E+05	2.699258E+01	-4.428433E+00
1	7.943282E+04	2.650500E+01	-1.728300E+00	7.943282E+04	2.656129E+01	-3.730779E+00
2	6.309573E+04	2.624200E+01	-1.516200E+00	6.309573E+04	2.628576E+01	-3.306737E+00
3	5.011872E+04	2.609200E+01	-1.422300E+00	5.011872E+04	2.613074E+01	-3.120160E+00
4	3.981072E+04	2.600600E+01	-1.432100E+00	3.981072E+04	2.604540E+01	-3.151984E+00
5	3.162278E+04	2.596200E+01	-1.511900E+00	3.162278E+04	2.600599E+01	-3.332862E+00
6	2.511886E+04	2.597500E+01	-1.657400E+00	2.511886E+04	2.602782E+01	-3.650951E+00
7	1.995262E+04	2.601000E+01	-1.883500E+00	1.995262E+04	2.607811E+01	-4.141813E+00
8	1.584893E+04	2.608100E+01	-2.187400E+00	1.584893E+04	2.617257E+01	-4.794148E+00
9	1.258925E+04	2.617600E+01	-2.579400E+00	1.258925E+04	2.630278E+01	-5.627794E+00
10	1.000000E+04	2.630500E+01	-3.073600E+00	1.000000E+04	2.648396E+01	-6.664489E+00
11	7.943282E+03	2.648100E+01	-3.689400E+00	7.943282E+03	2.673677E+01	-7.931537E+00
12	6.309573E+03	2.669900E+01	-4.445800E+00	6.309573E+03	2.706662E+01	-9.453900E+00
13	5.011872E+03	2.697800E+01	-5.364800E+00	5.011872E+03	2.750625E+01	-1.124702E+01
14	3.981072E+03	2.732200E+01	-6.481000E+00	3.981072E+03	2.808015E+01	-1.334439E+01
15	3.162278E+03	2.779100E+01	-7.827500E+00	3.162278E+03	2.887230E+01	-1.573019E+01
16	2.511886E+03	2.838300E+01	-9.453100E+00	2.511886E+03	2.991581E+01	-1.842059E+01
17	1.995262E+03	2.913900E+01	-1.139400E+01	1.995262E+03	3.128745E+01	-2.135661E+01
18	1.584893E+03	3.013100E+01	-1.370600E+01	1.584893E+03	3.310184E+01	-2.445986E+01
19	1.258925E+03	3.141100E+01	-1.641800E+01	1.258925E+03	3.544294E+01	-2.759531E+01
20	1.000000E+03	3.306700E+01	-1.960100E+01	1.000000E+03	3.843990E+01	-3.065803E+01
21	7.943282E+02	3.518700E+01	-2.327900E+01	7.943282E+02	4.219048E+01	-3.348781E+01
22	6.309573E+02	3.791100E+01	-2.747900E+01	6.309573E+02	4.682242E+01	-3.593570E+01
23	5.011872E+02	4.137100E+01	-3.221900E+01	5.011872E+02	5.243685E+01	-3.791083E+01
24	3.981072E+02	4.579400E+01	-3.741000E+01	3.981072E+02	5.913204E+01	-3.924605E+01
25	3.162278E+02	5.128800E+01	-4.297300E+01	3.162278E+02	6.691142E+01	-3.995884E+01
26	2.511886E+02	5.799400E+01	-4.872000E+01	2.511886E+02	7.574261E+01	-4.003318E+01
27	1.995262E+02	6.599900E+01	-5.449900E+01	1.995262E+02	8.559211E+01	-3.954836E+01
28	1.584893E+02	7.539100E+01	-5.949600E+01	1.584893E+02	9.603945E+01	-3.827929E+01
29	1.258925E+02	8.562200E+01	-6.393400E+01	1.258925E+02	1.068582E+02	-3.674872E+01
30	1.000000E+02	9.588400E+01	-6.776600E+01	1.000000E+02	1.174137E+02	-3.525075E+01
31	7.943282E+01	1.073900E+02	-7.040400E+01	7.943282E+01	1.284108E+02	-3.324852E+01
32	6.309573E+01	1.182000E+02	-7.281000E+01	6.309573E+01	1.388256E+02	-3.163265E+01
33	5.011872E+01	1.286000E+02	-7.505400E+01	5.011872E+01	1.488995E+02	-3.026885E+01
34	3.981072E+01	1.389500E+02	-7.782700E+01	3.981072E+01	1.592612E+02	-2.925353E+01
35	3.162278E+01	1.489700E+02	-8.119900E+01	3.162278E+01	1.696624E+02	-2.859345E+01
36	2.511886E+01	1.593200E+02	-8.571900E+01	2.511886E+01	1.809160E+02	-2.828160E+01
37	1.995262E+01	1.701300E+02	-9.116400E+01	1.995262E+01	1.930158E+02	-2.818459E+01
38	1.584893E+01	1.817300E+02	-9.799100E+01	1.584893E+01	2.064656E+02	-2.833408E+01
39	1.258925E+01	1.946700E+02	-1.059700E+02	1.258925E+01	2.216440E+02	-2.856198E+01
40	1.000000E+01	2.092200E+02	-1.152300E+02	1.000000E+01	2.388534E+02	-2.884421E+01
41	7.943280E+00	2.258600E+02	-1.255000E+02	7.943280E+00	2.583854E+02	-2.905891E+01
42	6.309570E+00	2.448200E+02	-1.361900E+02	6.309570E+00	2.801509E+02	-2.908659E+01
43	5.011870E+00	2.670800E+02	-1.473900E+02	5.011870E+00	3.050501E+02	-2.889242E+01
44	3.981070E+00	2.921900E+02	-1.577800E+02	3.981070E+00	3.320686E+02	-2.836865E+01
45	3.162280E+00	3.208700E+02	-1.666100E+02	3.162280E+00	3.615473E+02	-2.744035E+01
46	2.511890E+00	3.522400E+02	-1.729600E+02	2.511890E+00	3.924133E+02	-2.615237E+01
47	1.995260E+00	3.856600E+02	-1.758800E+02	1.995260E+00	4.238719E+02	-2.451533E+01
48	1.584890E+00	4.200000E+02	-1.737500E+02	1.584890E+00	4.545207E+02	-2.247441E+01
49	1.258930E+00	4.530200E+02	-1.674200E+02	1.258930E+00	4.829664E+02	-2.028251E+01
50	1.000000E+00	4.851500E+02	-1.567800E+02	1.000000E+00	5.098534E+02	-1.790864E+01
51	7.943300E-01	5.127400E+02	-1.429300E+02	7.943300E-01	5.322887E+02	-1.557620E+01
52	6.309600E-01	5.351000E+02	-1.257500E+02	6.309600E-01	5.496772E+02	-1.322470E+01
53	5.011900E-01	5.544100E+02	-1.121000E+02	5.011900E-01	5.656296E+02	-1.143091E+01
