"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_47_deposition_3h_TiO2_Air_14_0VV.z"
"Date/Time:  2022/08/19 15:26:41"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_47_deposition_3h_TiO2_Air_14_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.038900E+01	-2.520300E+00	1.000000E+05	2.054418E+01	-7.046631E+00
1	7.943282E+04	2.000800E+01	-2.137400E+00	7.943282E+04	2.012184E+01	-6.097626E+00
2	6.309573E+04	1.978700E+01	-1.922000E+00	6.309573E+04	1.988013E+01	-5.547991E+00
3	5.011872E+04	1.963900E+01	-1.864000E+00	5.011872E+04	1.972726E+01	-5.421883E+00
4	3.981072E+04	1.955700E+01	-1.895900E+00	3.981072E+04	1.964868E+01	-5.537081E+00
5	3.162278E+04	1.953000E+01	-2.043400E+00	3.162278E+04	1.963661E+01	-5.973055E+00
6	2.511886E+04	1.954700E+01	-2.294600E+00	2.511886E+04	1.968122E+01	-6.695244E+00
7	1.995262E+04	1.958800E+01	-2.635700E+00	1.995262E+04	1.976453E+01	-7.663511E+00
8	1.584893E+04	1.966300E+01	-3.115300E+00	1.584893E+04	1.990826E+01	-9.002805E+00
9	1.258925E+04	1.977400E+01	-3.728400E+00	1.258925E+04	2.012243E+01	-1.067780E+01
10	1.000000E+04	1.993300E+01	-4.518600E+00	1.000000E+04	2.043874E+01	-1.277248E+01
11	7.943282E+03	2.015500E+01	-5.503800E+00	7.943282E+03	2.089296E+01	-1.527359E+01
12	6.309573E+03	2.045800E+01	-6.723700E+00	6.309573E+03	2.153457E+01	-1.819356E+01
13	5.011872E+03	2.089000E+01	-8.217900E+00	5.011872E+03	2.244830E+01	-2.147414E+01
14	3.981072E+03	2.147400E+01	-1.003200E+01	3.981072E+03	2.370177E+01	-2.504055E+01
15	3.162278E+03	2.227400E+01	-1.220800E+01	3.162278E+03	2.540012E+01	-2.872640E+01
16	2.511886E+03	2.334500E+01	-1.479100E+01	2.511886E+03	2.763626E+01	-3.235766E+01
17	1.995262E+03	2.479000E+01	-1.783200E+01	1.995262E+03	3.053726E+01	-3.572831E+01
18	1.584893E+03	2.670100E+01	-2.138000E+01	1.584893E+03	3.420596E+01	-3.868492E+01
19	1.258925E+03	2.923000E+01	-2.543300E+01	1.258925E+03	3.874571E+01	-4.102650E+01
20	1.000000E+03	3.249600E+01	-2.998500E+01	1.000000E+03	4.421640E+01	-4.269862E+01
21	7.943282E+02	3.666400E+01	-3.491800E+01	7.943282E+02	5.063117E+01	-4.360274E+01
22	6.309573E+02	4.193800E+01	-4.024100E+01	6.309573E+02	5.812172E+01	-4.381701E+01
23	5.011872E+02	4.836200E+01	-4.555600E+01	5.011872E+02	6.643969E+01	-4.328868E+01
24	3.981072E+02	5.597800E+01	-5.077800E+01	3.981072E+02	7.557739E+01	-4.221137E+01
25	3.162278E+02	6.456500E+01	-5.544800E+01	3.162278E+02	8.510652E+01	-4.065577E+01
26	2.511886E+02	7.410100E+01	-6.009200E+01	2.511886E+02	9.540444E+01	-3.904023E+01
27	1.995262E+02	8.433600E+01	-6.360800E+01	1.995262E+02	1.056340E+02	-3.702437E+01
28	1.584893E+02	9.413100E+01	-6.660600E+01	1.584893E+02	1.153126E+02	-3.528278E+01
29	1.258925E+02	1.039600E+02	-6.937300E+01	1.258925E+02	1.249812E+02	-3.371537E+01
30	1.000000E+02	1.137300E+02	-7.204200E+01	1.000000E+02	1.346275E+02	-3.235212E+01
31	7.943282E+01	1.228600E+02	-7.619700E+01	7.943282E+01	1.445703E+02	-3.180693E+01
32	6.309573E+01	1.321000E+02	-8.103200E+01	6.309573E+01	1.549729E+02	-3.152554E+01
33	5.011872E+01	1.416200E+02	-8.713600E+01	5.011872E+01	1.662796E+02	-3.160317E+01
34	3.981072E+01	1.517200E+02	-9.538600E+01	3.981072E+01	1.792134E+02	-3.215748E+01
35	3.162278E+01	1.634300E+02	-1.056700E+02	3.162278E+01	1.946163E+02	-3.288576E+01
36	2.511886E+01	1.753400E+02	-1.182200E+02	2.511886E+01	2.114712E+02	-3.398915E+01
37	1.995262E+01	1.909400E+02	-1.332000E+02	1.995262E+01	2.328096E+02	-3.489968E+01
38	1.584893E+01	2.100200E+02	-1.505200E+02	1.584893E+01	2.583886E+02	-3.562893E+01
39	1.258925E+01	2.324700E+02	-1.698400E+02	1.258925E+01	2.879026E+02	-3.615145E+01
40	1.000000E+01	2.606100E+02	-1.906900E+02	1.000000E+01	3.229245E+02	-3.619317E+01
41	7.943280E+00	2.950700E+02	-2.118600E+02	7.943280E+00	3.632506E+02	-3.567831E+01
42	6.309570E+00	3.362300E+02	-2.316300E+02	6.309570E+00	4.082929E+02	-3.456309E+01
43	5.011870E+00	3.838700E+02	-2.478300E+02	5.011870E+00	4.569200E+02	-3.284666E+01
44	3.981070E+00	4.376300E+02	-2.578800E+02	3.981070E+00	5.079588E+02	-3.050935E+01
45	3.162280E+00	4.948400E+02	-2.597100E+02	3.162280E+00	5.588523E+02	-2.769212E+01
46	2.511890E+00	5.502900E+02	-2.517000E+02	2.511890E+00	6.051215E+02	-2.457913E+01
47	1.995260E+00	6.062600E+02	-2.403900E+02	1.995260E+00	6.521798E+02	-2.162897E+01
48	1.584890E+00	6.540000E+02	-2.206300E+02	1.584890E+00	6.902127E+02	-1.864207E+01
49	1.258930E+00	6.956100E+02	-1.990600E+02	1.258930E+00	7.235317E+02	-1.596933E+01
50	1.000000E+00	7.321400E+02	-1.759900E+02	1.000000E+00	7.529950E+02	-1.351618E+01
51	7.943300E-01	7.643700E+02	-1.532700E+02	7.943300E-01	7.795853E+02	-1.133847E+01
52	6.309600E-01	7.888900E+02	-1.348000E+02	6.309600E-01	8.003240E+02	-9.696652E+00
53	5.011900E-01	8.155400E+02	-1.207700E+02	5.011900E-01	8.244337E+02	-8.423481E+00
