"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_52_deposition_3h_TiO2_Air_19_0V.z"
"Date/Time:  2022/08/19 15:25:22"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_52_deposition_3h_TiO2_Air_19_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.325600E+01	-3.001000E+00	1.000000E+05	2.344883E+01	-7.352927E+00
1	7.943282E+04	2.282400E+01	-2.617100E+00	7.943282E+04	2.297355E+01	-6.541218E+00
2	6.309573E+04	2.254900E+01	-2.423400E+00	6.309573E+04	2.267885E+01	-6.134182E+00
3	5.011872E+04	2.237300E+01	-2.369000E+00	5.011872E+04	2.249807E+01	-6.044331E+00
4	3.981072E+04	2.230200E+01	-2.481500E+00	3.981072E+04	2.243963E+01	-6.349074E+00
5	3.162278E+04	2.229300E+01	-2.715000E+00	3.162278E+04	2.245772E+01	-6.943692E+00
6	2.511886E+04	2.231200E+01	-3.075000E+00	2.511886E+04	2.252290E+01	-7.846970E+00
7	1.995262E+04	2.236500E+01	-3.565200E+00	1.995262E+04	2.264738E+01	-9.057302E+00
8	1.584893E+04	2.245300E+01	-4.206100E+00	1.584893E+04	2.284357E+01	-1.061019E+01
9	1.258925E+04	2.255300E+01	-5.043300E+00	1.258925E+04	2.311001E+01	-1.260510E+01
10	1.000000E+04	2.267300E+01	-6.117100E+00	1.000000E+04	2.348369E+01	-1.509872E+01
11	7.943282E+03	2.280300E+01	-7.477900E+00	7.943282E+03	2.399783E+01	-1.815612E+01
12	6.309573E+03	2.297900E+01	-9.197700E+00	6.309573E+03	2.475141E+01	-2.181452E+01
13	5.011872E+03	2.319600E+01	-1.136800E+01	5.011872E+03	2.583188E+01	-2.610876E+01
14	3.981072E+03	2.349100E+01	-1.409800E+01	3.981072E+03	2.739673E+01	-3.096985E+01
15	3.162278E+03	2.390500E+01	-1.751500E+01	3.162278E+03	2.963485E+01	-3.622993E+01
16	2.511886E+03	2.448600E+01	-2.178500E+01	2.511886E+03	3.277423E+01	-4.165924E+01
17	1.995262E+03	2.533500E+01	-2.709000E+01	1.995262E+03	3.709084E+01	-4.691734E+01
18	1.584893E+03	2.651400E+01	-3.362000E+01	1.584893E+03	4.281701E+01	-5.173936E+01
19	1.258925E+03	2.821300E+01	-4.172500E+01	1.258925E+03	5.036813E+01	-5.593480E+01
20	1.000000E+03	3.067400E+01	-5.163300E+01	1.000000E+03	6.005715E+01	-5.928641E+01
21	7.943282E+02	3.416200E+01	-6.364000E+01	7.943282E+02	7.222944E+01	-6.177306E+01
22	6.309573E+02	3.908900E+01	-7.811200E+01	6.309573E+02	8.734663E+01	-6.341559E+01
23	5.011872E+02	4.593200E+01	-9.538700E+01	5.011872E+02	1.058699E+02	-6.428764E+01
24	3.981072E+02	5.551100E+01	-1.154000E+02	3.981072E+02	1.280571E+02	-6.431099E+01
25	3.162278E+02	6.834800E+01	-1.386700E+02	3.162278E+02	1.545989E+02	-6.376212E+01
26	2.511886E+02	8.549300E+01	-1.650000E+02	2.511886E+02	1.858334E+02	-6.260955E+01
27	1.995262E+02	1.070400E+02	-1.934700E+02	1.995262E+02	2.211068E+02	-6.104582E+01
28	1.584893E+02	1.351300E+02	-2.236200E+02	1.584893E+02	2.612777E+02	-5.885610E+01
29	1.258925E+02	1.683900E+02	-2.544900E+02	1.258925E+02	3.051563E+02	-5.650834E+01
30	1.000000E+02	2.083600E+02	-2.866500E+02	1.000000E+02	3.543757E+02	-5.398737E+01
31	7.943282E+01	2.507900E+02	-3.164100E+02	7.943282E+01	4.037461E+02	-5.159927E+01
32	6.309573E+01	2.984700E+02	-3.469400E+02	6.309573E+01	4.576589E+02	-4.929483E+01
33	5.011872E+01	3.502000E+02	-3.788800E+02	5.011872E+01	5.159361E+02	-4.725270E+01
34	3.981072E+01	4.041500E+02	-4.121400E+02	3.981072E+01	5.772318E+02	-4.556080E+01
35	3.162278E+01	4.621300E+02	-4.527600E+02	3.162278E+01	6.469589E+02	-4.441322E+01
36	2.511886E+01	5.297200E+02	-4.818200E+02	2.511886E+01	7.160683E+02	-4.228887E+01
37	1.995262E+01	5.961100E+02	-5.244400E+02	1.995262E+01	7.939675E+02	-4.134037E+01
38	1.584893E+01	6.724800E+02	-5.697800E+02	1.584893E+01	8.814072E+02	-4.027400E+01
39	1.258925E+01	7.620800E+02	-6.165000E+02	1.258925E+01	9.802235E+02	-3.897183E+01
40	1.000000E+01	8.611500E+02	-6.653600E+02	1.000000E+01	1.088248E+03	-3.769115E+01
41	7.943280E+00	9.718500E+02	-7.144700E+02	7.943280E+00	1.206217E+03	-3.632202E+01
42	6.309570E+00	1.094900E+03	-7.600500E+02	6.309570E+00	1.332847E+03	-3.476734E+01
43	5.011870E+00	1.230800E+03	-8.014900E+02	5.011870E+00	1.468760E+03	-3.307195E+01
44	3.981070E+00	1.376100E+03	-8.316800E+02	3.981070E+00	1.607900E+03	-3.114770E+01
45	3.162280E+00	1.533700E+03	-8.536100E+02	3.162280E+00	1.755245E+03	-2.909896E+01
46	2.511890E+00	1.691300E+03	-8.547000E+02	2.511890E+00	1.894995E+03	-2.680979E+01
47	1.995260E+00	1.857800E+03	-8.608800E+02	1.995260E+00	2.047568E+03	-2.486238E+01
48	1.584890E+00	2.007400E+03	-8.527500E+02	1.584890E+00	2.181017E+03	-2.301594E+01
49	1.258930E+00	2.167300E+03	-8.289600E+02	1.258930E+00	2.320423E+03	-2.093111E+01
50	1.000000E+00	2.342900E+03	-8.261700E+02	1.000000E+00	2.484298E+03	-1.942403E+01
51	7.943300E-01	2.487100E+03	-7.931200E+02	7.943300E-01	2.610499E+03	-1.768714E+01
52	6.309600E-01	2.627200E+03	-7.561700E+02	6.309600E-01	2.733857E+03	-1.605706E+01
53	5.011900E-01	2.788000E+03	-7.124000E+02	5.011900E-01	2.877578E+03	-1.433372E+01
