"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_Hematite_New_700_1.z"
"Date/Time:  2022/12/14 17:46:09"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_Hematite_New_700_1.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	7.189100E+01	-3.599100E+00	1.000000E+05	7.198104E+01	-2.866022E+00
1	7.943282E+04	7.119100E+01	-2.798800E+00	7.943282E+04	7.124599E+01	-2.251364E+00
2	6.309573E+04	7.076200E+01	-2.287200E+00	6.309573E+04	7.079895E+01	-1.851294E+00
3	5.011872E+04	7.046600E+01	-1.949200E+00	5.011872E+04	7.049295E+01	-1.584487E+00
4	3.981072E+04	7.027400E+01	-1.768900E+00	3.981072E+04	7.029626E+01	-1.441915E+00
5	3.162278E+04	7.019300E+01	-1.695300E+00	3.162278E+04	7.021347E+01	-1.383538E+00
6	2.511886E+04	7.015300E+01	-1.694600E+00	2.511886E+04	7.017346E+01	-1.383755E+00
7	1.995262E+04	7.009500E+01	-1.796900E+00	1.995262E+04	7.011803E+01	-1.468468E+00
8	1.584893E+04	7.013700E+01	-1.965200E+00	1.584893E+04	7.016453E+01	-1.604976E+00
9	1.258925E+04	7.014300E+01	-2.236400E+00	1.258925E+04	7.017864E+01	-1.826168E+00
10	1.000000E+04	7.019600E+01	-2.617900E+00	1.000000E+04	7.024480E+01	-2.135807E+00
11	7.943282E+03	7.028700E+01	-3.119600E+00	7.943282E+03	7.035620E+01	-2.541333E+00
12	6.309573E+03	7.037500E+01	-3.759800E+00	6.309573E+03	7.047536E+01	-3.058132E+00
13	5.011872E+03	7.054500E+01	-4.556700E+00	5.011872E+03	7.069201E+01	-3.695761E+00
14	3.981072E+03	7.071400E+01	-5.561800E+00	3.981072E+03	7.093239E+01	-4.497172E+00
15	3.162278E+03	7.099800E+01	-6.807600E+00	3.162278E+03	7.132362E+01	-5.477027E+00
16	2.511886E+03	7.133500E+01	-8.347600E+00	2.511886E+03	7.182176E+01	-6.674380E+00
17	1.995262E+03	7.179600E+01	-1.022800E+01	1.995262E+03	7.252088E+01	-8.107756E+00
18	1.584893E+03	7.239500E+01	-1.253300E+01	1.584893E+03	7.347185E+01	-9.821680E+00
19	1.258925E+03	7.323700E+01	-1.531600E+01	1.258925E+03	7.482137E+01	-1.181199E+01
20	1.000000E+03	7.438300E+01	-1.870200E+01	1.000000E+03	7.669808E+01	-1.411325E+01
