"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_Hematite_New_700_7.z"
"Date/Time:  2022/12/22 14:10:31"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_Hematite_New_700_7.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	8.181700E+01	-2.408500E+00	1.000000E+05	8.185244E+01	-1.686166E+00
1	7.943282E+04	8.121300E+01	-1.950800E+00	7.943282E+04	8.123643E+01	-1.376025E+00
2	6.309573E+04	8.083500E+01	-1.648700E+00	6.309573E+04	8.085181E+01	-1.168435E+00
3	5.011872E+04	8.056700E+01	-1.502100E+00	5.011872E+04	8.058100E+01	-1.068105E+00
4	3.981072E+04	8.045500E+01	-1.472800E+00	3.981072E+04	8.046848E+01	-1.048733E+00
5	3.162278E+04	8.035100E+01	-1.544300E+00	3.162278E+04	8.036584E+01	-1.101056E+00
6	2.511886E+04	8.031700E+01	-1.683400E+00	2.511886E+04	8.033464E+01	-1.200712E+00
7	1.995262E+04	8.029100E+01	-1.884000E+00	1.995262E+04	8.031310E+01	-1.344179E+00
8	1.584893E+04	8.031200E+01	-2.209800E+00	1.584893E+04	8.034240E+01	-1.576107E+00
9	1.258925E+04	8.033800E+01	-2.643400E+00	1.258925E+04	8.038148E+01	-1.884551E+00
10	1.000000E+04	8.036700E+01	-3.188100E+00	1.000000E+04	8.043021E+01	-2.271690E+00
11	7.943282E+03	8.040800E+01	-3.905900E+00	7.943282E+03	8.050281E+01	-2.781014E+00
12	6.309573E+03	8.051200E+01	-4.809600E+00	6.309573E+03	8.065553E+01	-3.418654E+00
13	5.011872E+03	8.063900E+01	-5.935100E+00	5.011872E+03	8.085712E+01	-4.209429E+00
14	3.981072E+03	8.081700E+01	-7.337000E+00	3.981072E+03	8.114936E+01	-5.187397E+00
15	3.162278E+03	8.104100E+01	-9.076700E+00	3.162278E+03	8.154772E+01	-6.390571E+00
16	2.511886E+03	8.133800E+01	-1.126400E+01	2.511886E+03	8.211424E+01	-7.884394E+00
17	1.995262E+03	8.177800E+01	-1.396800E+01	1.995262E+03	8.296232E+01	-9.692805E+00
18	1.584893E+03	8.236700E+01	-1.730800E+01	1.584893E+03	8.416585E+01	-1.186706E+01
19	1.258925E+03	8.321200E+01	-2.145900E+01	1.258925E+03	8.593443E+01	-1.446057E+01
20	1.000000E+03	8.442300E+01	-2.654600E+01	1.000000E+03	8.849821E+01	-1.745525E+01
21	7.943282E+02	8.613200E+01	-3.275700E+01	7.943282E+02	9.215065E+01	-2.082239E+01
22	6.309573E+02	8.858300E+01	-4.031200E+01	6.309573E+02	9.732423E+01	-2.446914E+01
23	5.011872E+02	9.209400E+01	-4.939400E+01	5.011872E+02	1.045039E+02	-2.820659E+01
24	3.981072E+02	9.704700E+01	-5.998100E+01	3.981072E+02	1.140870E+02	-3.171861E+01
25	3.162278E+02	1.039100E+02	-7.241700E+01	3.162278E+02	1.266551E+02	-3.487343E+01
26	2.511886E+02	1.133500E+02	-8.609500E+01	2.511886E+02	1.423396E+02	-3.721849E+01
27	1.995262E+02	1.254200E+02	-1.007000E+02	1.995262E+02	1.608436E+02	-3.876106E+01
