"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_TiO2_Hematite_New_700_5.z"
"Date/Time:  2022/12/14 17:47:53"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_TiO2_Hematite_New_700_5.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	7.866700E+01	-4.000200E+00	1.000000E+05	7.876864E+01	-2.910971E+00
1	7.943282E+04	7.794300E+01	-3.191300E+00	7.943282E+04	7.800830E+01	-2.344610E+00
2	6.309573E+04	7.743200E+01	-2.665900E+00	6.309573E+04	7.747788E+01	-1.971853E+00
3	5.011872E+04	7.714700E+01	-2.388400E+00	5.011872E+04	7.718396E+01	-1.773258E+00
4	3.981072E+04	7.696400E+01	-2.245300E+00	3.981072E+04	7.699674E+01	-1.671038E+00
5	3.162278E+04	7.689500E+01	-2.277900E+00	3.162278E+04	7.692873E+01	-1.696806E+00
6	2.511886E+04	7.689100E+01	-2.411700E+00	2.511886E+04	7.692881E+01	-1.796503E+00
7	1.995262E+04	7.700500E+01	-2.598300E+00	1.995262E+04	7.704882E+01	-1.932539E+00
8	1.584893E+04	7.706900E+01	-2.964900E+00	1.584893E+04	7.712601E+01	-2.203124E+00
9	1.258925E+04	7.728700E+01	-3.403200E+00	1.258925E+04	7.736189E+01	-2.521292E+00
10	1.000000E+04	7.757300E+01	-3.942500E+00	1.000000E+04	7.767312E+01	-2.909446E+00
11	7.943282E+03	7.801500E+01	-4.598400E+00	7.943282E+03	7.815040E+01	-3.373254E+00
12	6.309573E+03	7.855500E+01	-5.334000E+00	6.309573E+03	7.873588E+01	-3.884505E+00
13	5.011872E+03	7.923700E+01	-6.121200E+00	5.011872E+03	7.947309E+01	-4.417428E+00
14	3.981072E+03	8.004200E+01	-6.971500E+00	3.981072E+03	8.034503E+01	-4.977787E+00
15	3.162278E+03	8.097800E+01	-7.870300E+00	3.162278E+03	8.135956E+01	-5.551176E+00
16	2.511886E+03	8.202300E+01	-8.814700E+00	2.511886E+03	8.249528E+01	-6.133819E+00
17	1.995262E+03	8.320700E+01	-9.837700E+00	1.995262E+03	8.378655E+01	-6.742871E+00
18	1.584893E+03	8.448700E+01	-1.093000E+01	1.584893E+03	8.519107E+01	-7.371357E+00
19	1.258925E+03	8.591400E+01	-1.217900E+01	1.258925E+03	8.677294E+01	-8.068378E+00
20	1.000000E+03	8.750900E+01	-1.355000E+01	1.000000E+03	8.855184E+01	-8.801849E+00
21	7.943282E+02	8.929800E+01	-1.506400E+01	7.943282E+02	9.055969E+01	-9.575280E+00
22	6.309573E+02	9.135100E+01	-1.672800E+01	6.309573E+02	9.286997E+01	-1.037691E+01
23	5.011872E+02	9.367100E+01	-1.850600E+01	5.011872E+02	9.548156E+01	-1.117566E+01
24	3.981072E+02	9.631800E+01	-2.039800E+01	3.981072E+02	9.845423E+01	-1.195729E+01
25	3.162278E+02	9.924200E+01	-2.226300E+01	3.162278E+02	1.017085E+02	-1.264386E+01
26	2.511886E+02	1.023700E+02	-2.416100E+01	2.511886E+02	1.051826E+02	-1.327973E+01
27	1.995262E+02	1.056300E+02	-2.594800E+01	1.995262E+02	1.087704E+02	-1.380142E+01
28	1.584893E+02	1.090800E+02	-2.822700E+01	1.584893E+02	1.126730E+02	-1.450837E+01
29	1.258925E+02	1.124400E+02	-3.052400E+01	1.258925E+02	1.165095E+02	-1.518801E+01
30	1.000000E+02	1.154300E+02	-3.311200E+01	1.000000E+02	1.200853E+02	-1.600595E+01
31	7.943282E+01	1.191300E+02	-3.660300E+01	7.943282E+01	1.246264E+02	-1.707971E+01
32	6.309573E+01	1.225800E+02	-4.080800E+01	6.309573E+01	1.291942E+02	-1.841307E+01
33	5.011872E+01	1.260300E+02	-4.603700E+01	5.011872E+01	1.341751E+02	-2.006654E+01
34	3.981072E+01	1.302100E+02	-5.279000E+01	3.981072E+01	1.405042E+02	-2.206872E+01
35	3.162278E+01	1.348700E+02	-6.118500E+01	3.162278E+01	1.480997E+02	-2.440185E+01
36	2.511886E+01	1.405600E+02	-7.147900E+01	2.511886E+01	1.576907E+02	-2.695471E+01
37	1.995262E+01	1.476400E+02	-8.400100E+01	1.995262E+01	1.698639E+02	-2.963807E+01
38	1.584893E+01	1.568200E+02	-9.905100E+01	1.584893E+01	1.854821E+02	-3.227742E+01
39	1.258925E+01	1.691400E+02	-1.167100E+02	1.258925E+01	2.054983E+02	-3.460646E+01
40	1.000000E+01	1.856000E+02	-1.367400E+02	1.000000E+01	2.305324E+02	-3.638077E+01
41	7.943280E+00	2.072500E+02	-1.584300E+02	7.943280E+00	2.608690E+02	-3.739571E+01
42	6.309570E+00	2.359000E+02	-1.801900E+02	6.309570E+00	2.968455E+02	-3.737406E+01
43	5.011870E+00	2.714000E+02	-2.004700E+02	5.011870E+00	3.374110E+02	-3.645148E+01
