"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_TiO2_Hematite_New_700_11.z"
"Date/Time:  2022/12/22 14:12:14"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_TiO2_Hematite_New_700_11.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	9.021600E+01	-2.748400E+00	1.000000E+05	9.025785E+01	-1.744957E+00
1	7.943282E+04	8.959900E+01	-2.258500E+00	7.943282E+04	8.962746E+01	-1.443935E+00
2	6.309573E+04	8.914400E+01	-2.008500E+00	6.309573E+04	8.916662E+01	-1.290711E+00
3	5.011872E+04	8.888800E+01	-1.897200E+00	5.011872E+04	8.890824E+01	-1.222719E+00
4	3.981072E+04	8.872000E+01	-1.923200E+00	3.981072E+04	8.874084E+01	-1.241817E+00
5	3.162278E+04	8.863100E+01	-2.096000E+00	3.162278E+04	8.865578E+01	-1.354713E+00
6	2.511886E+04	8.861900E+01	-2.319300E+00	2.511886E+04	8.864934E+01	-1.499179E+00
7	1.995262E+04	8.865900E+01	-2.700400E+00	1.995262E+04	8.870012E+01	-1.744591E+00
8	1.584893E+04	8.869300E+01	-3.211500E+00	1.584893E+04	8.875112E+01	-2.073727E+00
9	1.258925E+04	8.885700E+01	-3.856100E+00	1.258925E+04	8.894063E+01	-2.484888E+00
10	1.000000E+04	8.904000E+01	-4.672400E+00	1.000000E+04	8.916251E+01	-3.003858E+00
11	7.943282E+03	8.938000E+01	-5.675400E+00	7.943282E+03	8.956001E+01	-3.633257E+00
12	6.309573E+03	8.982200E+01	-6.889500E+00	6.309573E+03	9.008583E+01	-4.386096E+00
13	5.011872E+03	9.042800E+01	-8.323400E+00	5.011872E+03	9.081025E+01	-5.258943E+00
14	3.981072E+03	9.126200E+01	-9.995300E+00	3.981072E+03	9.180773E+01	-6.250301E+00
15	3.162278E+03	9.235900E+01	-1.191800E+01	3.162278E+03	9.312477E+01	-7.352812E+00
16	2.511886E+03	9.376200E+01	-1.406800E+01	2.511886E+03	9.481150E+01	-8.532977E+00
17	1.995262E+03	9.554000E+01	-1.643600E+01	1.995262E+03	9.694346E+01	-9.761199E+00
