"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20230519\PEIS\Hematite_TiO2_500d_Air_2.z"
"Date/Time:  2023/05/22 16:36:04"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20230519\PEIS\Hematite_TiO2_500d_Air_2.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.905900E+01	-7.462400E+00	1.000000E+05	3.000188E+01	-1.440244E+01
1	7.943282E+04	2.795500E+01	-6.149800E+00	7.943282E+04	2.862345E+01	-1.240683E+01
2	6.309573E+04	2.729800E+01	-5.375700E+00	6.309573E+04	2.782227E+01	-1.114051E+01
3	5.011872E+04	2.689900E+01	-4.863100E+00	5.011872E+04	2.733507E+01	-1.024787E+01
4	3.981072E+04	2.668600E+01	-4.703800E+00	3.981072E+04	2.709739E+01	-9.996540E+00
5	3.162278E+04	2.661600E+01	-4.798200E+00	3.162278E+04	2.704504E+01	-1.021924E+01
6	2.511886E+04	2.659400E+01	-5.080100E+00	2.511886E+04	2.707486E+01	-1.081460E+01
7	1.995262E+04	2.667200E+01	-5.566300E+00	1.995262E+04	2.724664E+01	-1.178812E+01
8	1.584893E+04	2.676800E+01	-6.344700E+00	1.584893E+04	2.750965E+01	-1.333448E+01
9	1.258925E+04	2.687800E+01	-7.420400E+00	1.258925E+04	2.788349E+01	-1.543361E+01
10	1.000000E+04	2.703500E+01	-8.843400E+00	1.000000E+04	2.844463E+01	-1.811340E+01
11	7.943282E+03	2.724300E+01	-1.069200E+01	7.943282E+03	2.926602E+01	-2.142841E+01
12	6.309573E+03	2.750300E+01	-1.306400E+01	6.309573E+03	3.044804E+01	-2.540785E+01
13	5.011872E+03	2.788200E+01	-1.605100E+01	5.011872E+03	3.217205E+01	-2.992800E+01
14	3.981072E+03	2.837600E+01	-1.980500E+01	3.981072E+03	3.460398E+01	-3.491307E+01
15	3.162278E+03	2.905100E+01	-2.450400E+01	3.162278E+03	3.800535E+01	-4.014703E+01
16	2.511886E+03	3.001800E+01	-3.033800E+01	2.511886E+03	4.267874E+01	-4.530377E+01
17	1.995262E+03	3.134600E+01	-3.757100E+01	1.995262E+03	4.893007E+01	-5.016129E+01
18	1.584893E+03	3.321000E+01	-4.648400E+01	1.584893E+03	5.712851E+01	-5.445649E+01
19	1.258925E+03	3.583100E+01	-5.742700E+01	1.258925E+03	6.768841E+01	-5.803831E+01
20	1.000000E+03	3.955000E+01	-7.082400E+01	1.000000E+03	8.111869E+01	-6.081985E+01
21	7.943282E+02	4.479900E+01	-8.702500E+01	7.943282E+02	9.787901E+01	-6.276136E+01
22	6.309573E+02	5.219300E+01	-1.064300E+02	6.309573E+02	1.185388E+02	-6.387679E+01
23	5.011872E+02	6.259200E+01	-1.293100E+02	5.011872E+02	1.436622E+02	-6.417088E+01
24	3.981072E+02	7.684100E+01	-1.558500E+02	3.981072E+02	1.737635E+02	-6.375465E+01
25	3.162278E+02	9.612500E+01	-1.856900E+02	3.162278E+02	2.090952E+02	-6.263103E+01
26	2.511886E+02	1.216700E+02	-2.185500E+02	2.511886E+02	2.501353E+02	-6.089467E+01
27	1.995262E+02	1.533200E+02	-2.528000E+02	1.995262E+02	2.956600E+02	-5.876372E+01
28	1.584893E+02	1.931700E+02	-2.878500E+02	1.584893E+02	3.466587E+02	-5.613528E+01
29	1.258925E+02	2.391300E+02	-3.216900E+02	1.258925E+02	4.008336E+02	-5.337453E+01
30	1.000000E+02	2.921100E+02	-3.536400E+02	1.000000E+02	4.586824E+02	-5.044297E+01
31	7.943282E+01	3.461100E+02	-3.834000E+02	7.943282E+01	5.165149E+02	-4.792621E+01
32	6.309573E+01	4.041700E+02	-4.120800E+02	6.309573E+01	5.772030E+02	-4.555522E+01
33	5.011872E+01	4.632000E+02	-4.409100E+02	5.011872E+01	6.394966E+02	-4.358771E+01
34	3.981072E+01	5.254100E+02	-4.710000E+02	3.981072E+01	7.056179E+02	-4.187441E+01
35	3.162278E+01	5.887700E+02	-5.046900E+02	3.162278E+01	7.754754E+02	-4.060298E+01
36	2.511886E+01	6.552600E+02	-5.423100E+02	2.511886E+01	8.505679E+02	-3.961203E+01
37	1.995262E+01	7.258500E+02	-5.886800E+02	1.995262E+01	9.345600E+02	-3.904280E+01
38	1.584893E+01	8.018300E+02	-6.411500E+02	1.584893E+01	1.026647E+03	-3.864612E+01
39	1.258925E+01	8.855400E+02	-7.008800E+02	1.258925E+01	1.129342E+03	-3.836062E+01
40	1.000000E+01	9.782300E+02	-7.686400E+02	1.000000E+01	1.244083E+03	-3.815834E+01
41	7.943280E+00	1.082400E+03	-8.463200E+02	7.943280E+00	1.373990E+03	-3.802157E+01
42	6.309570E+00	1.200100E+03	-9.326900E+02	6.309570E+00	1.519918E+03	-3.785353E+01
43	5.011870E+00	1.333400E+03	-1.029000E+03	5.011870E+00	1.684279E+03	-3.765778E+01
44	3.981070E+00	1.488500E+03	-1.134000E+03	3.981070E+00	1.871253E+03	-3.730163E+01
45	3.162280E+00	1.668000E+03	-1.246600E+03	3.162280E+00	2.082363E+03	-3.677305E+01
46	2.511890E+00	1.879800E+03	-1.355800E+03	2.511890E+00	2.317723E+03	-3.580091E+01
47	1.995260E+00	2.125100E+03	-1.461800E+03	1.995260E+00	2.579323E+03	-3.452305E+01
48	1.584890E+00	2.399200E+03	-1.546900E+03	1.584890E+00	2.854656E+03	-3.281217E+01
49	1.258930E+00	2.694800E+03	-1.598400E+03	1.258930E+00	3.133182E+03	-3.067397E+01
50	1.000000E+00	3.006300E+03	-1.611000E+03	1.000000E+00	3.410742E+03	-2.818573E+01
51	7.943300E-01	3.314600E+03	-1.574400E+03	7.943300E-01	3.669511E+03	-2.540722E+01
52	6.309600E-01	3.588500E+03	-1.497600E+03	6.309600E-01	3.888462E+03	-2.265239E+01
53	5.011900E-01	3.843500E+03	-1.396300E+03	5.011900E-01	4.089272E+03	-1.996551E+01
