"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M2\20230519\PEIS\Hematite_TiO2_500d_Air_N2H2_1.z"
"Date/Time:  2023/05/22 16:36:28"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M2\20230519\PEIS\Hematite_TiO2_500d_Air_N2H2_1.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	3.009400E+01	-2.068500E+00	1.000000E+05	3.016501E+01	-3.932020E+00
1	7.943282E+04	2.973700E+01	-1.773200E+00	7.943282E+04	2.978982E+01	-3.412473E+00
2	6.309573E+04	2.949200E+01	-1.621600E+00	6.309573E+04	2.953655E+01	-3.147205E+00
3	5.011872E+04	2.935200E+01	-1.575500E+00	5.011872E+04	2.939425E+01	-3.072464E+00
4	3.981072E+04	2.927800E+01	-1.630700E+00	3.981072E+04	2.932338E+01	-3.187916E+00
5	3.162278E+04	2.926300E+01	-1.777700E+00	3.162278E+04	2.931695E+01	-3.476393E+00
6	2.511886E+04	2.928500E+01	-2.004000E+00	2.511886E+04	2.935349E+01	-3.914701E+00
7	1.995262E+04	2.934000E+01	-2.308900E+00	1.995262E+04	2.943071E+01	-4.499596E+00
8	1.584893E+04	2.942000E+01	-2.728800E+00	1.584893E+04	2.954628E+01	-5.299207E+00
9	1.258925E+04	2.953500E+01	-3.255400E+00	1.258925E+04	2.971387E+01	-6.289853E+00
10	1.000000E+04	2.968800E+01	-3.915100E+00	1.000000E+04	2.994504E+01	-7.512521E+00
11	7.943282E+03	2.988500E+01	-4.728300E+00	7.943282E+03	3.025674E+01	-8.990613E+00
12	6.309573E+03	3.015600E+01	-5.727600E+00	6.309573E+03	3.069511E+01	-1.075423E+01
13	5.011872E+03	3.047800E+01	-6.936600E+00	5.011872E+03	3.125740E+01	-1.282175E+01
14	3.981072E+03	3.089400E+01	-8.411600E+00	3.981072E+03	3.201865E+01	-1.523089E+01
15	3.162278E+03	3.141800E+01	-1.019800E+01	3.162278E+03	3.303165E+01	-1.798296E+01
16	2.511886E+03	3.207700E+01	-1.237700E+01	2.511886E+03	3.438203E+01	-2.109925E+01
17	1.995262E+03	3.291000E+01	-1.502900E+01	1.995262E+03	3.617926E+01	-2.454474E+01
18	1.584893E+03	3.401800E+01	-1.824100E+01	1.584893E+03	3.859998E+01	-2.820093E+01
19	1.258925E+03	3.549100E+01	-2.212000E+01	1.258925E+03	4.181992E+01	-3.193350E+01
20	1.000000E+03	3.747800E+01	-2.675200E+01	1.000000E+03	4.604639E+01	-3.551945E+01
21	7.943282E+02	4.015400E+01	-3.222100E+01	7.943282E+02	5.148336E+01	-3.874480E+01
22	6.309573E+02	4.380100E+01	-3.854200E+01	6.309573E+02	5.834392E+01	-4.134565E+01
23	5.011872E+02	4.861900E+01	-4.566100E+01	5.011872E+02	6.669883E+01	-4.320296E+01
24	3.981072E+02	5.494800E+01	-5.343700E+01	3.981072E+02	7.664722E+01	-4.420129E+01
25	3.162278E+02	6.288800E+01	-6.155900E+01	3.162278E+02	8.800234E+01	-4.438815E+01
26	2.511886E+02	7.241400E+01	-6.977300E+01	2.511886E+02	1.005587E+02	-4.393590E+01
27	1.995262E+02	8.375400E+01	-7.740300E+01	1.995262E+02	1.140437E+02	-4.274321E+01
28	1.584893E+02	9.598500E+01	-8.487500E+01	1.584893E+02	1.281284E+02	-4.148481E+01
29	1.258925E+02	1.091000E+02	-9.164200E+01	1.258925E+02	1.424818E+02	-4.002964E+01
30	1.000000E+02	1.226500E+02	-9.871000E+01	1.000000E+02	1.574379E+02	-3.882747E+01
31	7.943282E+01	1.359700E+02	-1.050300E+02	7.943282E+01	1.718114E+02	-3.768429E+01
32	6.309573E+01	1.495600E+02	-1.127400E+02	6.309573E+01	1.872926E+02	-3.700940E+01
33	5.011872E+01	1.634000E+02	-1.217800E+02	5.011872E+01	2.037889E+02	-3.669671E+01
34	3.981072E+01	1.782100E+02	-1.330200E+02	3.981072E+01	2.223806E+02	-3.673850E+01
35	3.162278E+01	1.941000E+02	-1.459400E+02	3.162278E+01	2.428442E+02	-3.693879E+01
36	2.511886E+01	2.121900E+02	-1.630200E+02	2.511886E+01	2.675820E+02	-3.753413E+01
37	1.995262E+01	2.334700E+02	-1.818500E+02	1.995262E+01	2.959352E+02	-3.791506E+01
38	1.584893E+01	2.587900E+02	-2.039500E+02	1.584893E+01	3.294964E+02	-3.824132E+01
39	1.258925E+01	2.887800E+02	-2.282400E+02	1.258925E+01	3.680861E+02	-3.832141E+01
40	1.000000E+01	3.251500E+02	-2.541300E+02	1.000000E+01	4.126798E+02	-3.801039E+01
41	7.943280E+00	3.691700E+02	-2.802000E+02	7.943280E+00	4.634636E+02	-3.719850E+01
42	6.309570E+00	4.212900E+02	-3.049200E+02	6.309570E+00	5.200591E+02	-3.589615E+01
43	5.011870E+00	4.814200E+02	-3.256200E+02	5.011870E+00	5.812001E+02	-3.407340E+01
44	3.981070E+00	5.489200E+02	-3.396300E+02	3.981070E+00	6.454934E+02	-3.174607E+01
45	3.162280E+00	6.215500E+02	-3.452200E+02	3.162280E+00	7.109861E+02	-2.904858E+01
46	2.511890E+00	6.955200E+02	-3.408600E+02	2.511890E+00	7.745538E+02	-2.610852E+01
47	1.995260E+00	7.685100E+02	-3.284500E+02	1.995260E+00	8.357554E+02	-2.314116E+01
48	1.584890E+00	8.371800E+02	-3.070700E+02	1.584890E+00	8.917188E+02	-2.014258E+01
49	1.258930E+00	9.007400E+02	-2.822700E+02	1.258930E+00	9.439327E+02	-1.739972E+01
50	1.000000E+00	9.611400E+02	-2.575900E+02	1.000000E+00	9.950591E+02	-1.500297E+01
51	7.943300E-01	1.029100E+03	-2.373700E+02	7.943300E-01	1.056121E+03	-1.298856E+01
52	6.309600E-01	1.081500E+03	-2.127500E+02	6.309600E-01	1.102227E+03	-1.112898E+01
53	5.011900E-01	1.132300E+03	-1.902400E+02	5.011900E-01	1.148170E+03	-9.537305E+00
54	3.981100E-01	1.182700E+03	-1.735200E+02	3.981100E-01	1.195361E+03	-8.346611E+00
55	3.162300E-01	1.223800E+03	-1.574700E+02	3.162300E-01	1.233889E+03	-7.332131E+00
56	2.511900E-01	1.272600E+03	-1.464500E+02	2.511900E-01	1.280999E+03	-6.564684E+00
57	1.995300E-01	1.312000E+03	-1.368800E+02	1.995300E-01	1.319121E+03	-5.956079E+00
