"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\deposition_TiO2_3h_Air_2_0V.z"
"Date/Time:  2022/08/19 15:29:36"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\deposition_TiO2_3h_Air_2_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.420000E+01	-2.298400E+00	1.000000E+05	2.430890E+01	-5.425405E+00
1	7.943282E+04	2.378600E+01	-1.943000E+00	7.943282E+04	2.386523E+01	-4.669935E+00
2	6.309573E+04	2.353700E+01	-1.752300E+00	6.309573E+04	2.360214E+01	-4.257744E+00
3	5.011872E+04	2.337900E+01	-1.681400E+00	5.011872E+04	2.343938E+01	-4.113587E+00
4	3.981072E+04	2.332900E+01	-1.717200E+00	3.981072E+04	2.339211E+01	-4.209833E+00
5	3.162278E+04	2.335800E+01	-1.835100E+00	3.162278E+04	2.342998E+01	-4.492164E+00
6	2.511886E+04	2.344300E+01	-2.023400E+00	2.511886E+04	2.353016E+01	-4.933058E+00
7	1.995262E+04	2.357500E+01	-2.289600E+00	1.995262E+04	2.368592E+01	-5.547159E+00
8	1.584893E+04	2.377000E+01	-2.618800E+00	1.584893E+04	2.391382E+01	-6.287063E+00
9	1.258925E+04	2.405900E+01	-3.005200E+00	1.258925E+04	2.424596E+01	-7.119916E+00
10	1.000000E+04	2.442700E+01	-3.429500E+00	1.000000E+04	2.466657E+01	-7.991970E+00
11	7.943282E+03	2.487200E+01	-3.887800E+00	7.943282E+03	2.517402E+01	-8.884145E+00
12	6.309573E+03	2.539600E+01	-4.358700E+00	6.309573E+03	2.576733E+01	-9.738756E+00
13	5.011872E+03	2.595000E+01	-4.850700E+00	5.011872E+03	2.639947E+01	-1.058782E+01
14	3.981072E+03	2.654500E+01	-5.376400E+00	3.981072E+03	2.708399E+01	-1.144975E+01
15	3.162278E+03	2.715100E+01	-5.967700E+00	3.162278E+03	2.779911E+01	-1.239631E+01
16	2.511886E+03	2.779300E+01	-6.667100E+00	2.511886E+03	2.858148E+01	-1.348946E+01
17	1.995262E+03	2.848000E+01	-7.523500E+00	1.995262E+03	2.945698E+01	-1.479767E+01
18	1.584893E+03	2.924600E+01	-8.575600E+00	1.584893E+03	3.047736E+01	-1.634235E+01
19	1.258925E+03	3.012600E+01	-9.860200E+00	1.258925E+03	3.169857E+01	-1.812320E+01
20	1.000000E+03	3.123100E+01	-1.139700E+01	1.000000E+03	3.324556E+01	-2.004833E+01
21	7.943282E+02	3.260100E+01	-1.318500E+01	7.943282E+02	3.516631E+01	-2.202015E+01
22	6.309573E+02	3.434900E+01	-1.519300E+01	6.309573E+02	3.755903E+01	-2.386042E+01
23	5.011872E+02	3.654500E+01	-1.735200E+01	5.011872E+02	4.045527E+01	-2.539892E+01
24	3.981072E+02	3.919000E+01	-1.953600E+01	3.981072E+02	4.378940E+01	-2.649600E+01
25	3.162278E+02	4.229700E+01	-2.166800E+01	3.162278E+02	4.752408E+01	-2.712526E+01
26	2.511886E+02	4.575800E+01	-2.361600E+01	2.511886E+02	5.149282E+01	-2.729855E+01
