"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_48_deposition_3h_TiO2_Air_15_0VV.z"
"Date/Time:  2022/08/19 15:26:29"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_48_deposition_3h_TiO2_Air_15_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	1.940600E+01	-2.500000E+00	1.000000E+05	1.956637E+01	-7.340763E+00
1	7.943282E+04	1.901900E+01	-2.102400E+00	7.943282E+04	1.913485E+01	-6.307985E+00
2	6.309573E+04	1.878800E+01	-1.872300E+00	6.309573E+04	1.888106E+01	-5.690966E+00
3	5.011872E+04	1.863500E+01	-1.782700E+00	5.011872E+04	1.872008E+01	-5.464518E+00
4	3.981072E+04	1.857600E+01	-1.807300E+00	3.981072E+04	1.866371E+01	-5.556943E+00
5	3.162278E+04	1.856500E+01	-1.918300E+00	3.162278E+04	1.866384E+01	-5.899371E+00
6	2.511886E+04	1.859300E+01	-2.121900E+00	2.511886E+04	1.871369E+01	-6.510633E+00
7	1.995262E+04	1.866700E+01	-2.419900E+00	1.995262E+04	1.882320E+01	-7.386356E+00
8	1.584893E+04	1.878600E+01	-2.820100E+00	1.584893E+04	1.899649E+01	-8.537328E+00
9	1.258925E+04	1.897200E+01	-3.336200E+00	1.258925E+04	1.926310E+01	-9.973416E+00
10	1.000000E+04	1.923200E+01	-3.962800E+00	1.000000E+04	1.963603E+01	-1.164298E+01
11	7.943282E+03	1.957900E+01	-4.720600E+00	7.943282E+03	2.014004E+01	-1.355560E+01
12	6.309573E+03	2.004300E+01	-5.602100E+00	6.309573E+03	2.081118E+01	-1.561589E+01
13	5.011872E+03	2.064000E+01	-6.612900E+00	5.011872E+03	2.167349E+01	-1.776507E+01
14	3.981072E+03	2.139000E+01	-7.765700E+00	3.981072E+03	2.275606E+01	-1.995357E+01
15	3.162278E+03	2.228000E+01	-9.057600E+00	3.162278E+03	2.405075E+01	-2.212346E+01
16	2.511886E+03	2.338000E+01	-1.050600E+01	2.511886E+03	2.563202E+01	-2.419717E+01
17	1.995262E+03	2.470900E+01	-1.214000E+01	1.995262E+03	2.753024E+01	-2.616576E+01
18	1.584893E+03	2.629200E+01	-1.393000E+01	1.584893E+03	2.975423E+01	-2.791549E+01
19	1.258925E+03	2.817800E+01	-1.591000E+01	1.258925E+03	3.235935E+01	-2.945015E+01
20	1.000000E+03	3.047300E+01	-1.805800E+01	1.000000E+03	3.542168E+01	-3.065056E+01
21	7.943282E+02	3.318500E+01	-2.032700E+01	7.943282E+02	3.891569E+01	-3.148896E+01
22	6.309573E+02	3.640600E+01	-2.264100E+01	6.309573E+02	4.287204E+01	-3.187760E+01
23	5.011872E+02	4.012100E+01	-2.484400E+01	5.011872E+02	4.719024E+01	-3.176690E+01
24	3.981072E+02	4.433100E+01	-2.691000E+01	3.981072E+02	5.185929E+01	-3.125877E+01
25	3.162278E+02	4.883300E+01	-2.864600E+01	3.162278E+02	5.661497E+01	-3.039638E+01
26	2.511886E+02	5.358600E+01	-3.013500E+01	2.511886E+02	6.147827E+01	-2.935197E+01
27	1.995262E+02	5.826800E+01	-3.139700E+01	1.995262E+02	6.618861E+01	-2.831746E+01
28	1.584893E+02	6.288300E+01	-3.226800E+01	1.584893E+02	7.067882E+01	-2.716433E+01
29	1.258925E+02	6.723300E+01	-3.336400E+01	1.258925E+02	7.505620E+01	-2.639265E+01
30	1.000000E+02	7.119300E+01	-3.441300E+01	1.000000E+02	7.907400E+01	-2.579802E+01
31	7.943282E+01	7.523600E+01	-3.671400E+01	7.943282E+01	8.371603E+01	-2.601166E+01
32	6.309573E+01	7.912500E+01	-3.939300E+01	6.309573E+01	8.838877E+01	-2.646678E+01
33	5.011872E+01	8.309900E+01	-4.283400E+01	5.011872E+01	9.348901E+01	-2.726918E+01
34	3.981072E+01	8.746600E+01	-4.767500E+01	3.981072E+01	9.961529E+01	-2.859343E+01
35	3.162278E+01	9.263600E+01	-5.374900E+01	3.162278E+01	1.070999E+02	-3.012304E+01
36	2.511886E+01	9.797700E+01	-6.061000E+01	2.511886E+01	1.152088E+02	-3.174154E+01
37	1.995262E+01	1.050000E+02	-6.971000E+01	1.995262E+01	1.260337E+02	-3.358037E+01
38	1.584893E+01	1.134900E+02	-8.021400E+01	1.584893E+01	1.389758E+02	-3.525242E+01
39	1.258925E+01	1.244500E+02	-9.211100E+01	1.258925E+01	1.548297E+02	-3.650680E+01
40	1.000000E+01	1.382300E+02	-1.054200E+02	1.000000E+01	1.738416E+02	-3.733066E+01
41	7.943280E+00	1.556700E+02	-1.193400E+02	7.943280E+00	1.961509E+02	-3.747456E+01
42	6.309570E+00	1.775600E+02	-1.330300E+02	6.309570E+00	2.218660E+02	-3.684097E+01
43	5.011870E+00	2.040300E+02	-1.449700E+02	5.011870E+00	2.502889E+02	-3.539504E+01
44	3.981070E+00	2.348700E+02	-1.534100E+02	3.981070E+00	2.805326E+02	-3.315136E+01
45	3.162280E+00	2.681500E+02	-1.565100E+02	3.162280E+00	3.104832E+02	-3.027065E+01
46	2.511890E+00	3.021500E+02	-1.545800E+02	2.511890E+00	3.393959E+02	-2.709429E+01
