"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_51_deposition_3h_TiO2_Air_18_0V.z"
"Date/Time:  2022/08/19 15:25:35"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\New_dataset\PEIS\No_51_deposition_3h_TiO2_Air_18_0V.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	2.518600E+01	-8.166200E+00	1.000000E+05	2.647681E+01	-1.796454E+01
1	7.943282E+04	2.388700E+01	-6.253500E+00	7.943282E+04	2.469200E+01	-1.467051E+01
2	6.309573E+04	2.318600E+01	-5.272600E+00	6.309573E+04	2.377795E+01	-1.281144E+01
3	5.011872E+04	2.263200E+01	-4.399300E+00	5.011872E+04	2.305561E+01	-1.100021E+01
4	3.981072E+04	2.233700E+01	-3.885200E+00	3.981072E+04	2.267237E+01	-9.867063E+00
5	3.162278E+04	2.224400E+01	-3.633100E+00	3.162278E+04	2.253874E+01	-9.276181E+00
6	2.511886E+04	2.222600E+01	-3.390100E+00	2.511886E+04	2.248306E+01	-8.672401E+00
7	1.995262E+04	2.227800E+01	-3.383100E+00	1.995262E+04	2.253341E+01	-8.634869E+00
8	1.584893E+04	2.241300E+01	-3.433500E+00	1.584893E+04	2.267447E+01	-8.709564E+00
9	1.258925E+04	2.264700E+01	-3.586900E+00	1.258925E+04	2.292929E+01	-8.999920E+00
10	1.000000E+04	2.294100E+01	-3.836800E+00	1.000000E+04	2.325963E+01	-9.494639E+00
11	7.943282E+03	2.331800E+01	-4.188100E+00	7.943282E+03	2.369112E+01	-1.018222E+01
12	6.309573E+03	2.375400E+01	-4.606600E+00	6.309573E+03	2.419656E+01	-1.097511E+01
13	5.011872E+03	2.426700E+01	-5.087700E+00	5.011872E+03	2.479460E+01	-1.184085E+01
14	3.981072E+03	2.481800E+01	-5.644200E+00	3.981072E+03	2.545172E+01	-1.281249E+01
15	3.162278E+03	2.542100E+01	-6.289200E+00	3.162278E+03	2.618743E+01	-1.389605E+01
16	2.511886E+03	2.607800E+01	-7.053900E+00	2.511886E+03	2.701517E+01	-1.513587E+01
17	1.995262E+03	2.680000E+01	-7.974900E+00	1.995262E+03	2.796138E+01	-1.657147E+01
