"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_TiO2_Hematite_New_700_1.z"
"Date/Time:  2022/12/14 17:47:13"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221214_Newsamples_withwithoutTiO2\PEIS\FTO_TiO2_Hematite_New_700_1.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	7.716600E+01	-4.022900E+00	1.000000E+05	7.727079E+01	-2.984303E+00
1	7.943282E+04	7.642300E+01	-3.211900E+00	7.943282E+04	7.649046E+01	-2.406606E+00
2	6.309573E+04	7.594100E+01	-2.686700E+00	6.309573E+04	7.598851E+01	-2.026210E+00
3	5.011872E+04	7.564800E+01	-2.366500E+00	5.011872E+04	7.568501E+01	-1.791802E+00
4	3.981072E+04	7.550700E+01	-2.200700E+00	3.981072E+04	7.553906E+01	-1.669450E+00
5	3.162278E+04	7.546000E+01	-2.169100E+00	3.162278E+04	7.549117E+01	-1.646516E+00
6	2.511886E+04	7.552000E+01	-2.228700E+00	2.511886E+04	7.555288E+01	-1.690387E+00
7	1.995262E+04	7.563200E+01	-2.341300E+00	1.995262E+04	7.566823E+01	-1.773109E+00
8	1.584893E+04	7.578300E+01	-2.540300E+00	1.584893E+04	7.582556E+01	-1.919876E+00
9	1.258925E+04	7.602900E+01	-2.791200E+00	1.258925E+04	7.608022E+01	-2.102516E+00
10	1.000000E+04	7.632100E+01	-3.067800E+00	1.000000E+04	7.638263E+01	-2.301823E+00
11	7.943282E+03	7.665600E+01	-3.414400E+00	7.943282E+03	7.673200E+01	-2.550374E+00
12	6.309573E+03	7.705700E+01	-3.778200E+00	6.309573E+03	7.714957E+01	-2.807035E+00
13	5.011872E+03	7.750400E+01	-4.185700E+00	5.011872E+03	7.761694E+01	-3.091327E+00
14	3.981072E+03	7.796500E+01	-4.655700E+00	3.981072E+03	7.810388E+01	-3.417374E+00
15	3.162278E+03	7.849100E+01	-5.194900E+00	3.162278E+03	7.866272E+01	-3.786579E+00
16	2.511886E+03	7.901700E+01	-5.833600E+00	2.511886E+03	7.923205E+01	-4.222324E+00
17	1.995262E+03	7.961300E+01	-6.596300E+00	1.995262E+03	7.988580E+01	-4.736398E+00
18	1.584893E+03	8.028600E+01	-7.536500E+00	1.584893E+03	8.063895E+01	-5.362678E+00
19	1.258925E+03	8.108200E+01	-8.663900E+00	1.258925E+03	8.154357E+01	-6.099115E+00
20	1.000000E+03	8.205200E+01	-9.980400E+00	1.000000E+03	8.265675E+01	-6.935108E+00
21	7.943282E+02	8.325100E+01	-1.149600E+01	7.943282E+02	8.404098E+01	-7.862163E+00
22	6.309573E+02	8.475500E+01	-1.317000E+01	6.309573E+02	8.577213E+01	-8.832500E+00
23	5.011872E+02	8.655600E+01	-1.499000E+01	5.011872E+02	8.784441E+01	-9.825184E+00
24	3.981072E+02	8.872200E+01	-1.682900E+01	3.981072E+02	9.030398E+01	-1.074040E+01
25	3.162278E+02	9.111900E+01	-1.874700E+01	3.162278E+02	9.302753E+01	-1.162592E+01
26	2.511886E+02	9.376300E+01	-2.066700E+01	2.511886E+02	9.601367E+01	-1.243023E+01
27	1.995262E+02	9.658800E+01	-2.275000E+01	1.995262E+02	9.923106E+01	-1.325368E+01
28	1.584893E+02	9.957400E+01	-2.453100E+01	1.584893E+02	1.025512E+02	-1.383976E+01
29	1.258925E+02	1.024900E+02	-2.671300E+01	1.258925E+02	1.059140E+02	-1.460856E+01
30	1.000000E+02	1.055000E+02	-2.891500E+01	1.000000E+02	1.093907E+02	-1.532701E+01
31	7.943282E+01	1.084200E+02	-3.241300E+01	7.943282E+01	1.131614E+02	-1.664444E+01
32	6.309573E+01	1.114800E+02	-3.629100E+01	6.309573E+01	1.172383E+02	-1.803205E+01
33	5.011872E+01	1.149300E+02	-4.102500E+01	5.011872E+01	1.220326E+02	-1.964435E+01
34	3.981072E+01	1.185600E+02	-4.713700E+01	3.981072E+01	1.275867E+02	-2.168174E+01
35	3.162278E+01	1.228700E+02	-5.463700E+01	3.162278E+01	1.344702E+02	-2.397343E+01
36	2.511886E+01	1.281400E+02	-6.378100E+01	2.511886E+01	1.431359E+02	-2.646158E+01
37	1.995262E+01	1.348600E+02	-7.465800E+01	1.995262E+01	1.541462E+02	-2.896875E+01
38	1.584893E+01	1.434800E+02	-8.751800E+01	1.584893E+01	1.680652E+02	-3.138179E+01
39	1.258925E+01	1.547300E+02	-1.025200E+02	1.258925E+01	1.856118E+02	-3.352740E+01
40	1.000000E+01	1.695900E+02	-1.192100E+02	1.000000E+01	2.072964E+02	-3.510456E+01
41	7.943280E+00	1.889800E+02	-1.371900E+02	7.943280E+00	2.335263E+02	-3.597777E+01
42	6.309570E+00	2.138000E+02	-1.550400E+02	6.309570E+00	2.640982E+02	-3.594826E+01
43	5.011870E+00	2.445700E+02	-1.711100E+02	5.011870E+00	2.984847E+02	-3.497802E+01
44	3.981070E+00	2.810600E+02	-1.836900E+02	3.981070E+00	3.357629E+02	-3.316709E+01
45	3.162280E+00	3.209900E+02	-1.892100E+02	3.162280E+00	3.726057E+02	-3.051755E+01
46	2.511890E+00	3.633100E+02	-1.895400E+02	2.511890E+00	4.097799E+02	-2.755119E+01
47	1.995260E+00	4.038000E+02	-1.808300E+02	1.995260E+00	4.424409E+02	-2.412382E+01
48	1.584890E+00	4.405200E+02	-1.676600E+02	1.584890E+00	4.713467E+02	-2.083661E+01
49	1.258930E+00	4.735200E+02	-1.516900E+02	1.258930E+00	4.972233E+02	-1.776263E+01
50	1.000000E+00	5.022900E+02	-1.333700E+02	1.000000E+00	5.196949E+02	-1.487027E+01
51	7.943300E-01	5.267200E+02	-1.153700E+02	7.943300E-01	5.392070E+02	-1.235466E+01
52	6.309600E-01	5.468900E+02	-1.000100E+02	6.309600E-01	5.559592E+02	-1.036319E+01
53	5.011900E-01	5.671100E+02	-8.722600E+01	5.011900E-01	5.737788E+02	-8.744021E+00
