"ZView Export Data File: Version 3.5g"
"Export From File: C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_TiO2_Hematite_New_700_9.z"
"Date/Time:  2022/12/22 14:11:57"
" "
" "
"C:\Users\owner1\Desktop\Data\Idei\M1\20221220\PEIS\FTO_TiO2_Hematite_New_700_9.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	8.337900E+01	-2.701100E+00	1.000000E+05	8.342274E+01	-1.855474E+00
1	7.943282E+04	8.278100E+01	-2.197800E+00	7.943282E+04	8.281017E+01	-1.520821E+00
2	6.309573E+04	8.238800E+01	-1.892100E+00	6.309573E+04	8.240972E+01	-1.315608E+00
3	5.011872E+04	8.219000E+01	-1.754600E+00	5.011872E+04	8.220873E+01	-1.222970E+00
4	3.981072E+04	8.206900E+01	-1.704100E+00	3.981072E+04	8.208669E+01	-1.189532E+00
5	3.162278E+04	8.206000E+01	-1.740500E+00	3.162278E+04	8.207846E+01	-1.215066E+00
6	2.511886E+04	8.213000E+01	-1.843400E+00	2.511886E+04	8.215068E+01	-1.285782E+00
7	1.995262E+04	8.223700E+01	-1.984000E+00	1.995262E+04	8.226093E+01	-1.382015E+00
8	1.584893E+04	8.241100E+01	-2.170200E+00	1.584893E+04	8.243957E+01	-1.508471E+00
9	1.258925E+04	8.256200E+01	-2.406300E+00	1.258925E+04	8.259706E+01	-1.669434E+00
10	1.000000E+04	8.282600E+01	-2.689200E+00	1.000000E+04	8.286965E+01	-1.859630E+00
11	7.943282E+03	8.304500E+01	-3.017100E+00	7.943282E+03	8.309979E+01	-2.080692E+00
12	6.309573E+03	8.334000E+01	-3.400900E+00	6.309573E+03	8.340936E+01	-2.336803E+00
13	5.011872E+03	8.364400E+01	-3.875200E+00	5.011872E+03	8.373372E+01	-2.652599E+00
14	3.981072E+03	8.398000E+01	-4.449100E+00	3.981072E+03	8.409777E+01	-3.032586E+00
15	3.162278E+03	8.436900E+01	-5.142200E+00	3.162278E+03	8.452556E+01	-3.487802E+00
16	2.511886E+03	8.482600E+01	-6.014500E+00	2.511886E+03	8.503896E+01	-4.055711E+00
17	1.995262E+03	8.539900E+01	-7.060600E+00	1.995262E+03	8.569038E+01	-4.726338E+00
18	1.584893E+03	8.611500E+01	-8.308700E+00	1.584893E+03	8.651490E+01	-5.511054E+00
19	1.258925E+03	8.707500E+01	-9.772100E+00	1.258925E+03	8.762163E+01	-6.403297E+00
20	1.000000E+03	8.831100E+01	-1.142200E+01	1.000000E+03	8.904659E+01	-7.369630E+00
21	7.943282E+02	8.991900E+01	-1.325300E+01	7.943282E+02	9.089042E+01	-8.384358E+00
22	6.309573E+02	9.192600E+01	-1.515600E+01	6.309573E+02	9.316702E+01	-9.362231E+00
23	5.011872E+02	9.441300E+01	-1.700900E+01	5.011872E+02	9.593290E+01	-1.021259E+01
24	3.981072E+02	9.730600E+01	-1.878500E+01	3.981072E+02	9.910264E+01	-1.092658E+01
25	3.162278E+02	1.004600E+02	-2.023800E+01	3.162278E+02	1.024782E+02	-1.138998E+01
26	2.511886E+02	1.036500E+02	-2.150700E+01	2.511886E+02	1.058578E+02	-1.172232E+01
27	1.995262E+02	1.067000E+02	-2.251500E+01	1.995262E+02	1.090496E+02	-1.191531E+01
28	1.584893E+02	1.101100E+02	-2.347900E+01	1.584893E+02	1.125854E+02	-1.203703E+01
29	1.258925E+02	1.130400E+02	-2.457400E+01	1.258925E+02	1.156803E+02	-1.226482E+01
30	1.000000E+02	1.161300E+02	-2.555600E+01	1.000000E+02	1.189087E+02	-1.241090E+01
31	7.943282E+01	1.185500E+02	-2.791300E+01	7.943282E+01	1.217918E+02	-1.324917E+01
32	6.309573E+01	1.213000E+02	-3.045000E+01	6.309573E+01	1.250636E+02	-1.409180E+01
33	5.011872E+01	1.243300E+02	-3.385600E+01	5.011872E+01	1.288572E+02	-1.523273E+01
34	3.981072E+01	1.273200E+02	-3.803200E+01	3.981072E+01	1.328790E+02	-1.663151E+01
35	3.162278E+01	1.308000E+02	-4.331300E+01	3.162278E+01	1.377848E+02	-1.832173E+01
36	2.511886E+01	1.352600E+02	-4.975800E+01	2.511886E+01	1.441219E+02	-2.019702E+01
37	1.995262E+01	1.403900E+02	-5.749700E+01	1.995262E+01	1.517078E+02	-2.227165E+01
38	1.584893E+01	1.468700E+02	-6.664700E+01	1.584893E+01	1.612843E+02	-2.440770E+01
39	1.258925E+01	1.549700E+02	-7.731900E+01	1.258925E+01	1.731876E+02	-2.651593E+01
40	1.000000E+01	1.652100E+02	-8.942300E+01	1.000000E+01	1.878585E+02	-2.842530E+01
41	7.943280E+00	1.783000E+02	-1.028800E+02	7.943280E+00	2.058523E+02	-2.998516E+01
42	6.309570E+00	1.947600E+02	-1.171800E+02	6.309570E+00	2.272941E+02	-3.103379E+01
43	5.011870E+00	2.153400E+02	-1.315500E+02	5.011870E+00	2.523425E+02	-3.142052E+01
44	3.981070E+00	2.404800E+02	-1.450500E+02	3.981070E+00	2.808383E+02	-3.109706E+01
45	3.162280E+00	2.698400E+02	-1.560600E+02	3.162280E+00	3.117184E+02	-3.004263E+01
46	2.511890E+00	3.033800E+02	-1.628300E+02	2.511890E+00	3.443153E+02	-2.822333E+01
47	1.995260E+00	3.391900E+02	-1.647800E+02	1.995260E+00	3.770972E+02	-2.591069E+01
48	1.584890E+00	3.739800E+02	-1.605700E+02	1.584890E+00	4.069936E+02	-2.323648E+01
49	1.258930E+00	4.073100E+02	-1.514300E+02	1.258930E+00	4.345486E+02	-2.039416E+01
50	1.000000E+00	4.386400E+02	-1.400100E+02	1.000000E+00	4.604431E+02	-1.770262E+01
51	7.943300E-01	4.666000E+02	-1.249900E+02	7.943300E-01	4.830508E+02	-1.499598E+01
52	6.309600E-01	4.899700E+02	-1.108800E+02	6.309600E-01	5.023594E+02	-1.275124E+01
53	5.011900E-01	5.124800E+02	-9.672300E+01	5.011900E-01	5.215276E+02	-1.068801E+01
