RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/04 14:35:35
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No250
146.591,686.17
147.626,807.83
148.664,976.37
149.699,1142.13
150.737,1329.97
151.772,1506.90
152.809,1702.13
153.846,1882.13
154.881,2061.40
155.918,2193.87
156.953,2380.00
157.989,2503.40
159.026,2598.27
160.060,2700.83
161.096,2761.63
162.130,2835.10
163.167,2877.40
164.200,2947.67
165.236,2981.93
166.272,3063.50
167.305,3083.53
168.341,3138.70
169.374,3162.90
170.409,3268.93
171.445,3315.87
172.477,3384.33
173.512,3418.10
174.545,3465.90
175.580,3527.40
176.614,3544.47
177.647,3596.53
178.681,3597.47
179.713,3656.73
180.747,3605.80
181.781,3554.07
182.813,3565.60
183.847,3542.20
184.878,3566.33
185.912,3555.83
186.945,3635.57
187.976,3593.90
189.010,3588.17
190.043,3647.23
191.073,3665.43
192.106,3731.47
193.137,3708.17
194.170,3831.20
195.202,3808.10
196.232,3922.70
197.265,3928.27
198.297,3998.63
199.327,4096.53
200.359,4169.57
201.388,4218.17
202.420,4328.87
203.452,4423.83
204.481,4513.37
205.512,4696.07
206.544,4803.90
207.573,4934.03
208.604,5035.27
209.635,5269.23
210.663,5483.57
211.694,5666.83
212.725,5929.93
213.753,6142.13
214.783,6316.00
215.813,6491.03
216.841,6687.10
217.871,6754.07
218.899,6798.33
219.929,6857.30
220.959,6856.50
221.986,6738.50
223.016,6593.63
224.045,6437.00
225.072,6302.30
226.101,6098.53
227.130,5918.90
228.157,5712.63
229.185,5579.17
230.214,5406.33
231.241,5327.70
232.269,5187.60
233.297,5109.10
234.323,4996.50
235.351,4965.23
236.379,4869.20
237.407,4830.93
238.433,4841.30
239.460,4829.87
240.488,4804.93
241.513,4798.47
242.540,4838.63
243.568,4813.00
244.592,4879.40
245.619,4910.53
246.646,4941.90
247.671,4945.37
248.697,4910.57
249.724,4937.90
250.748,4862.80
251.774,4874.70
252.801,4923.27
253.827,4843.10
254.850,4854.27
255.876,4930.00
256.902,4941.07
257.925,4955.07
258.951,4966.17
259.976,5023.70
260.999,5064.70
262.024,5128.10
263.049,5160.57
264.074,5245.00
265.097,5260.63
266.122,5318.37
267.146,5412.07
268.168,5478.60
269.193,5531.17
270.217,5597.13
271.241,5645.73
272.263,5752.87
273.287,5783.63
274.311,5811.83
275.332,5882.17
276.356,5858.77
277.379,5883.20
278.402,5857.10
279.424,5814.93
280.447,5777.53
281.470,5752.90
282.492,5707.20
283.513,5623.40
284.536,5534.53
285.558,5517.50
286.581,5377.50
287.601,5336.03
288.623,5271.73
289.645,5165.77
290.665,5062.47
291.687,5013.10
292.709,4952.50
293.730,4832.73
294.750,4723.07
295.771,4654.23
296.792,4605.07
297.813,4583.07
298.832,4457.87
299.853,4398.10
300.874,4359.50
301.895,4246.30
302.913,4203.57
303.934,4172.73
304.954,4105.77
305.975,4060.50
306.993,4017.77
308.013,3975.70
309.033,3896.23
310.052,3860.83
311.072,3812.00
312.090,3799.53
313.109,3781.20
314.129,3757.87
315.148,3743.57
316.165,3740.80
317.184,3667.43
318.203,3645.73
319.222,3654.80
320.238,3595.63
321.257,3589.03
322.275,3563.73
323.294,3605.57
324.312,3563.90
325.328,3510.10
326.346,3541.93
327.364,3504.20
328.382,3522.60
329.397,3507.33
330.415,3446.83
331.432,3462.83
332.450,3391.23
333.467,3404.80
334.482,3439.33
335.499,3463.93
336.516,3432.20
337.533,3418.27
338.547,3375.60
339.564,3419.20
340.580,3415.50
