RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/04 16:13:03
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No280
146.591,437.17
147.626,529.93
148.664,671.17
149.699,764.13
150.737,904.83
151.772,1012.60
152.809,1159.60
153.846,1274.03
154.881,1387.33
155.918,1482.10
156.953,1546.27
157.989,1687.73
159.026,1756.67
160.060,1800.33
161.096,1841.00
162.130,1897.83
163.167,1947.23
164.200,1979.37
165.236,2004.77
166.272,2056.50
167.305,2064.07
168.341,2125.80
169.374,2104.33
170.409,2187.57
171.445,2183.07
172.477,2212.83
173.512,2251.90
174.545,2323.63
175.580,2299.30
176.614,2314.80
177.647,2326.50
178.681,2333.50
179.713,2368.70
180.747,2373.17
181.781,2381.27
182.813,2356.63
183.847,2377.37
184.878,2394.93
185.912,2375.97
186.945,2457.97
187.976,2391.77
189.010,2408.80
190.043,2478.00
191.073,2450.67
192.106,2470.43
193.137,2475.47
194.170,2515.13
195.202,2544.63
196.232,2517.30
197.265,2607.07
198.297,2632.13
199.327,2597.40
200.359,2651.97
201.388,2691.63
202.420,2670.13
203.452,2706.60
204.481,2808.73
205.512,2766.03
206.544,2822.43
207.573,2868.80
208.604,2922.80
209.635,3016.13
210.663,3059.60
211.694,3172.50
212.725,3292.77
213.753,3350.83
214.783,3529.43
215.813,3633.90
216.841,3805.37
217.871,3978.73
218.899,4223.23
219.929,4557.37
220.959,4842.37
221.986,5168.07
223.016,5457.10
224.045,5736.03
225.072,5875.93
226.101,5985.53
227.130,5933.73
228.157,5720.80
229.185,5435.27
230.214,5155.67
231.241,4855.97
232.269,4500.03
233.297,4244.00
234.323,3993.97
235.351,3804.83
236.379,3703.80
237.407,3559.13
238.433,3469.67
239.460,3410.57
240.488,3349.23
241.513,3332.90
242.540,3364.93
243.568,3291.83
244.592,3285.00
245.619,3315.83
246.646,3321.20
247.671,3285.80
248.697,3359.40
249.724,3326.03
250.748,3351.93
251.774,3333.67
252.801,3337.97
253.827,3267.20
254.850,3236.33
255.876,3219.43
256.902,3222.10
257.925,3218.63
258.951,3240.23
259.976,3233.27
260.999,3260.93
262.024,3274.63
263.049,3291.07
264.074,3311.20
265.097,3346.60
266.122,3365.03
267.146,3461.77
268.168,3447.80
269.193,3561.33
270.217,3612.83
271.241,3682.83
272.263,3745.33
273.287,3814.77
274.311,3976.37
275.332,4032.97
276.356,4173.77
277.379,4316.57
278.402,4415.13
279.424,4574.63
280.447,4652.37
281.470,4850.03
282.492,4945.73
283.513,5087.00
284.536,5189.80
285.558,5253.20
286.581,5348.40
287.601,5331.57
288.623,5349.40
289.645,5284.67
290.665,5215.77
291.687,5104.10
292.709,5017.10
293.730,4871.23
294.750,4826.03
295.771,4649.13
296.792,4522.87
297.813,4433.97
298.832,4279.03
299.853,4197.10
300.874,4000.40
301.895,3889.07
302.913,3726.33
303.934,3672.07
304.954,3581.10
305.975,3400.37
306.993,3340.23
308.013,3249.17
309.033,3152.50
310.052,3112.03
311.072,3016.03
312.090,2994.37
313.109,2952.07
314.129,2886.83
315.148,2815.03
316.165,2760.63
317.184,2714.73
318.203,2687.20
319.222,2628.73
320.238,2611.57
321.257,2620.93
322.275,2536.13
323.294,2560.07
324.312,2515.03
325.328,2502.43
326.346,2528.40
327.364,2441.17
328.382,2452.30
329.397,2472.53
330.415,2410.87
331.432,2425.07
332.450,2409.70
333.467,2396.10
334.482,2414.97
335.499,2335.60
336.516,2399.20
337.533,2355.53
338.547,2351.07
339.564,2379.03
340.580,2338.70
341.597,2370.43
