RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/05 08:52:27
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No308
146.591,758.90
147.626,888.30
148.664,1018.27
149.699,1127.27
150.737,1307.57
151.772,1495.53
152.809,1635.43
153.846,1798.20
154.881,1898.87
155.918,1991.63
156.953,2086.97
157.989,2196.93
159.026,2264.63
160.060,2306.23
161.096,2376.23
162.130,2434.63
163.167,2438.40
164.200,2518.87
165.236,2529.47
166.272,2578.63
167.305,2614.43
168.341,2664.13
169.374,2723.33
170.409,2777.13
171.445,2810.87
172.477,2876.43
173.512,2865.70
174.545,2955.07
175.580,2972.30
176.614,2974.27
177.647,2987.07
178.681,2994.40
179.713,2944.33
180.747,2973.87
181.781,2944.70
182.813,2979.90
183.847,2975.00
184.878,2930.80
185.912,2960.53
186.945,3012.90
187.976,3006.50
189.010,3025.00
190.043,3079.03
191.073,3097.77
192.106,3145.43
193.137,3187.27
194.170,3242.10
195.202,3263.90
196.232,3344.73
197.265,3393.37
198.297,3490.40
199.327,3555.77
200.359,3614.83
201.388,3657.97
202.420,3798.17
203.452,3912.30
204.481,4026.50
205.512,4157.30
206.544,4282.37
207.573,4464.60
208.604,4661.93
209.635,4864.37
210.663,5075.87
211.694,5276.67
212.725,5477.27
213.753,5726.03
214.783,5968.67
215.813,6149.63
216.841,6242.33
217.871,6315.03
218.899,6381.23
219.929,6362.90
220.959,6253.60
221.986,6078.57
223.016,5892.73
224.045,5707.20
225.072,5509.67
226.101,5296.97
227.130,5094.17
228.157,4873.37
229.185,4732.67
230.214,4567.67
231.241,4488.20
232.269,4340.37
233.297,4241.73
234.323,4148.60
235.351,4088.00
236.379,4041.00
237.407,4003.07
238.433,3930.33
239.460,3873.30
240.488,3945.60
241.513,3963.50
242.540,3910.83
243.568,3962.90
244.592,4035.47
245.619,4015.27
246.646,4013.77
247.671,3984.57
248.697,3968.13
249.724,4001.97
250.748,3968.83
251.774,3968.30
252.801,3913.20
253.827,3954.87
254.850,3917.17
255.876,3981.27
256.902,4006.93
257.925,3990.53
258.951,4020.27
259.976,4057.93
260.999,4093.53
262.024,4125.73
263.049,4178.80
264.074,4239.47
265.097,4296.10
266.122,4350.53
267.146,4388.43
268.168,4430.93
269.193,4459.57
270.217,4598.63
271.241,4649.07
272.263,4682.27
273.287,4717.13
274.311,4745.40
275.332,4779.83
276.356,4809.90
277.379,4789.30
278.402,4810.17
279.424,4770.17
280.447,4738.87
281.470,4689.97
282.492,4677.83
283.513,4569.67
284.536,4527.63
285.558,4467.37
286.581,4411.67
287.601,4336.17
288.623,4207.77
289.645,4132.53
290.665,4152.53
291.687,4055.90
292.709,3965.23
293.730,3923.93
294.750,3823.80
295.771,3788.87
296.792,3776.73
297.813,3636.20
298.832,3630.80
299.853,3524.80
300.874,3493.30
301.895,3440.37
302.913,3372.70
303.934,3356.67
304.954,3317.67
305.975,3230.63
306.993,3235.17
308.013,3174.17
309.033,3133.83
310.052,3107.67
311.072,3111.27
312.090,3072.70
313.109,3038.10
314.129,3011.10
315.148,2996.77
316.165,2975.83
317.184,2972.60
318.203,2892.13
319.222,2916.43
320.238,2852.87
321.257,2894.07
322.275,2857.03
323.294,2878.80
324.312,2810.67
325.328,2760.23
326.346,2758.57
327.364,2779.23
328.382,2784.40
329.397,2785.50
330.415,2759.23
331.432,2730.50
332.450,2749.80
333.467,2744.47
334.482,2730.47
335.499,2708.13
336.516,2682.20
337.533,2657.10
338.547,2672.50
339.564,2701.77
340.580,2654.27
