RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/12 12:13:59
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No17
146.591,1095.77
147.626,1324.10
148.664,1500.63
149.699,1716.07
150.737,1997.07
151.772,2184.17
152.809,2388.43
153.846,2555.87
154.881,2710.63
155.918,2863.90
156.953,2994.73
157.989,3081.57
159.026,3161.33
160.060,3211.70
161.096,3318.33
162.130,3357.47
163.167,3390.63
164.200,3410.30
165.236,3510.13
166.272,3592.43
167.305,3610.83
168.341,3719.23
169.374,3782.17
170.409,3829.27
171.445,3966.50
172.477,3988.40
173.512,4008.03
174.545,4071.40
175.580,4100.47
176.614,4083.83
177.647,4084.03
178.681,4043.83
179.713,4067.90
180.747,4000.33
181.781,3990.60
182.813,3955.17
183.847,3900.03
184.878,3936.33
185.912,3906.33
186.945,3955.83
187.976,3898.67
189.010,3930.83
190.043,3928.27
191.073,3964.87
192.106,4032.60
193.137,4009.23
194.170,4073.97
195.202,4094.17
196.232,4137.23
197.265,4209.47
198.297,4259.23
199.327,4285.73
200.359,4328.87
201.388,4360.43
202.420,4454.90
203.452,4543.50
204.481,4629.27
205.512,4672.93
206.544,4854.23
207.573,4847.33
208.604,4992.77
209.635,5098.33
210.663,5241.93
211.694,5354.10
212.725,5476.43
213.753,5607.67
214.783,5724.87
215.813,5735.17
216.841,5855.53
217.871,5791.20
218.899,5807.13
219.929,5742.63
220.959,5694.90
221.986,5576.30
223.016,5502.37
224.045,5373.60
225.072,5312.03
226.101,5190.43
227.130,5110.03
228.157,4990.33
229.185,4969.07
230.214,4834.90
231.241,4792.67
232.269,4775.43
233.297,4716.30
234.323,4742.63
235.351,4696.50
236.379,4687.83
237.407,4667.07
238.433,4699.40
239.460,4723.23
240.488,4762.80
241.513,4812.97
242.540,4895.10
243.568,4959.13
244.592,4989.10
245.619,5014.73
246.646,4999.03
247.671,4965.80
248.697,4930.57
249.724,4867.83
250.748,4849.50
251.774,4807.60
252.801,4797.47
253.827,4789.03
254.850,4774.33
255.876,4780.43
256.902,4798.90
257.925,4818.17
258.951,4809.00
259.976,4876.33
260.999,4948.53
262.024,4943.10
263.049,4919.20
264.074,4922.93
265.097,5004.47
266.122,5038.73
267.146,5013.83
268.168,5114.03
269.193,5151.33
270.217,5147.33
271.241,5195.97
272.263,5292.97
273.287,5276.27
274.311,5332.07
275.332,5360.40
276.356,5341.83
277.379,5374.33
278.402,5357.87
279.424,5300.73
280.447,5223.13
281.470,5181.03
282.492,5119.90
283.513,5075.70
284.536,5021.97
285.558,4933.97
286.581,4892.83
287.601,4830.40
288.623,4768.90
289.645,4710.97
290.665,4713.93
291.687,4645.90
292.709,4546.47
293.730,4463.23
294.750,4451.50
295.771,4390.00
296.792,4387.53
297.813,4320.67
298.832,4271.87
299.853,4268.13
300.874,4215.80
301.895,4179.30
302.913,4141.53
303.934,4075.67
304.954,4034.83
305.975,4060.33
306.993,4007.57
308.013,3974.33
309.033,3937.30
310.052,3893.80
311.072,3951.83
312.090,3865.60
313.109,3886.33
314.129,3878.53
315.148,3833.63
316.165,3869.27
317.184,3820.03
318.203,3796.57
319.222,3742.43
320.238,3724.27
321.257,3766.10
322.275,3755.83
323.294,3702.93
324.312,3705.03
325.328,3691.03
326.346,3615.80
327.364,3696.53
328.382,3691.70
329.397,3651.93
330.415,3661.03
331.432,3649.03
332.450,3614.83
333.467,3658.30
334.482,3586.80
335.499,3520.50
336.516,3606.33
337.533,3595.93
338.547,3588.30
339.564,3614.60
340.580,3568.70
