RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/12 19:13:06
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No30
146.591,897.20
147.626,1031.90
148.664,1185.93
149.699,1368.63
150.737,1516.37
151.772,1663.73
152.809,1854.87
153.846,1966.97
154.881,2086.10
155.918,2158.13
156.953,2273.27
157.989,2327.43
159.026,2393.60
160.060,2479.80
161.096,2501.83
162.130,2560.23
163.167,2573.53
164.200,2671.83
165.236,2682.50
166.272,2730.43
167.305,2768.43
168.341,2803.53
169.374,2886.00
170.409,2934.60
171.445,2922.13
172.477,3009.67
173.512,3013.30
174.545,3074.00
175.580,3092.70
176.614,3096.60
177.647,3114.87
178.681,3096.23
179.713,3104.30
180.747,3076.43
181.781,3073.63
182.813,3098.77
183.847,3094.53
184.878,3081.70
185.912,3065.77
186.945,3112.10
187.976,3135.73
189.010,3126.10
190.043,3195.87
191.073,3173.30
192.106,3259.80
193.137,3253.77
194.170,3268.17
195.202,3328.07
196.232,3363.50
197.265,3423.57
198.297,3467.27
199.327,3540.60
200.359,3601.50
201.388,3662.03
202.420,3747.07
203.452,3856.43
204.481,3911.40
205.512,4054.37
206.544,4131.53
207.573,4305.90
208.604,4412.40
209.635,4563.00
210.663,4774.53
211.694,4870.23
212.725,5034.30
213.753,5188.47
214.783,5354.33
215.813,5469.30
216.841,5575.03
217.871,5627.73
218.899,5644.87
219.929,5612.27
220.959,5513.53
221.986,5426.30
223.016,5302.30
224.045,5175.27
225.072,5066.23
226.101,4857.20
227.130,4665.10
228.157,4572.70
229.185,4455.83
230.214,4334.43
231.241,4205.60
232.269,4140.90
233.297,4061.47
234.323,4027.93
235.351,3940.63
236.379,3928.07
237.407,3866.50
238.433,3871.87
239.460,3897.53
240.488,3817.50
241.513,3890.50
242.540,3876.17
243.568,3928.50
244.592,3946.10
245.619,3981.57
246.646,3959.43
247.671,3928.33
248.697,3925.40
249.724,3851.57
250.748,3851.30
251.774,3783.33
252.801,3795.47
253.827,3821.27
254.850,3852.57
255.876,3834.17
256.902,3866.20
257.925,3853.13
258.951,3882.03
259.976,3928.00
260.999,3950.03
262.024,3916.63
263.049,3979.37
264.074,4018.10
265.097,4098.10
266.122,4100.67
267.146,4129.87
268.168,4177.87
269.193,4222.63
270.217,4322.50
271.241,4277.90
272.263,4368.80
273.287,4418.57
274.311,4420.57
275.332,4471.57
276.356,4421.13
277.379,4448.17
278.402,4428.43
279.424,4472.20
280.447,4425.73
281.470,4380.47
282.492,4388.87
283.513,4263.73
284.536,4275.57
285.558,4199.20
286.581,4177.23
287.601,4038.27
288.623,3988.90
289.645,3909.27
290.665,3947.70
291.687,3857.30
292.709,3737.20
293.730,3706.63
294.750,3645.73
295.771,3621.10
296.792,3589.60
297.813,3497.13
298.832,3444.13
299.853,3413.97
300.874,3371.57
301.895,3343.87
302.913,3282.93
303.934,3233.20
304.954,3225.13
305.975,3480.27
306.993,3143.00
308.013,3105.40
309.033,3111.67
310.052,3110.10
311.072,3052.00
312.090,3026.23
313.109,3032.43
314.129,2946.43
315.148,2981.23
316.165,2946.67
317.184,2909.33
318.203,2914.17
319.222,2872.43
320.238,2863.00
321.257,2875.00
322.275,2862.70
323.294,2776.07
324.312,2800.80
325.328,2807.80
326.346,2779.57
327.364,2759.20
328.382,2816.73
329.397,2770.90
330.415,2772.67
331.432,2727.33
332.450,2766.37
333.467,2743.07
334.482,2728.40
335.499,2720.33
336.516,2726.27
337.533,2711.43
338.547,2673.10
339.564,2637.97
340.580,2651.13
