RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/14 22:05:27
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No109
146.591,711.93
147.626,829.30
148.664,1006.17
149.699,1189.57
150.737,1349.87
151.772,1550.73
152.809,1691.07
153.846,1871.10
154.881,2040.70
155.918,2177.03
156.953,2302.60
157.989,2427.57
159.026,2525.27
160.060,2599.53
161.096,2666.13
162.130,2697.23
163.167,2734.80
164.200,2826.10
165.236,2849.27
166.272,2913.83
167.305,2922.93
168.341,2964.53
169.374,3081.20
170.409,3062.13
171.445,3171.03
172.477,3221.40
173.512,3276.17
174.545,3338.80
175.580,3356.70
176.614,3415.17
177.647,3441.73
178.681,3459.90
179.713,3460.87
180.747,3426.50
181.781,3409.40
182.813,3374.67
183.847,3410.80
184.878,3411.47
185.912,3311.93
186.945,3406.00
187.976,3408.50
189.010,3408.13
190.043,3456.83
191.073,3467.03
192.106,3481.10
193.137,3585.57
194.170,3542.83
195.202,3586.17
196.232,3631.43
197.265,3623.27
198.297,3706.03
199.327,3787.13
200.359,3864.47
201.388,3950.07
202.420,4026.63
203.452,4094.07
204.481,4165.83
205.512,4293.43
206.544,4394.50
207.573,4505.23
208.604,4648.57
209.635,4811.70
210.663,4971.63
211.694,5150.10
212.725,5275.50
213.753,5441.13
214.783,5634.83
215.813,5742.07
216.841,5835.83
217.871,5922.20
218.899,5892.63
219.929,5973.80
220.959,5900.50
221.986,5796.53
223.016,5653.73
224.045,5509.13
225.072,5364.20
226.101,5316.67
227.130,5122.80
228.157,4969.17
229.185,4825.33
230.214,4763.43
231.241,4651.67
232.269,4550.23
233.297,4506.20
234.323,4498.97
235.351,4375.93
236.379,4362.37
237.407,4354.00
238.433,4316.90
239.460,4344.10
240.488,4335.30
241.513,4393.50
242.540,4365.40
243.568,4447.63
244.592,4429.93
245.619,4532.93
246.646,4558.47
247.671,4549.87
248.697,4523.73
249.724,4523.53
250.748,4470.93
251.774,4464.07
252.801,4458.00
253.827,4460.57
254.850,4430.73
255.876,4430.57
256.902,4506.17
257.925,4483.70
258.951,4521.37
259.976,4503.67
260.999,4616.37
262.024,4623.20
263.049,4674.40
264.074,4692.40
265.097,4740.90
266.122,4790.63
267.146,4867.03
268.168,4897.83
269.193,4967.87
270.217,5039.23
271.241,5053.90
272.263,5040.47
273.287,5152.70
274.311,5177.77
275.332,5280.40
276.356,5292.70
277.379,5357.97
278.402,5316.87
279.424,5278.47
280.447,5235.77
281.470,5184.17
282.492,5214.37
283.513,5080.40
284.536,5082.73
285.558,4971.97
286.581,4938.23
287.601,4814.20
288.623,4804.70
289.645,4686.30
290.665,4614.23
291.687,4539.47
292.709,4478.13
293.730,4416.33
294.750,4348.13
295.771,4249.90
296.792,4256.37
297.813,4167.73
298.832,4138.13
299.853,4078.80
300.874,3986.73
301.895,3974.63
302.913,3853.23
303.934,3863.00
304.954,3819.70
305.975,3759.07
306.993,3689.43
308.013,3639.67
309.033,3639.13
310.052,3601.83
311.072,3594.23
312.090,3539.43
313.109,3529.37
314.129,3469.20
315.148,3450.20
316.165,3438.13
317.184,3392.13
318.203,3394.07
319.222,3350.13
320.238,3319.73
321.257,3321.77
322.275,3292.50
323.294,3293.33
324.312,3288.77
325.328,3283.77
326.346,3259.47
327.364,3274.33
328.382,3245.60
329.397,3263.73
330.415,3215.77
331.432,3218.53
332.450,3204.03
333.467,3217.90
334.482,3193.40
335.499,3175.93
336.516,3144.47
337.533,3160.30
338.547,3171.57
339.564,3122.40
340.580,3166.83
