RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/07/15 15:43:02
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No150
146.591,888.75
147.626,990.75
148.664,1194.00
149.699,1368.50
150.737,1587.75
151.772,1733.25
152.809,1908.25
153.846,2025.50
154.881,2128.75
155.918,2253.25
156.953,2353.00
157.989,2460.00
159.026,2533.75
160.060,2578.75
161.096,2649.50
162.130,2688.50
163.167,2711.75
164.200,2754.75
165.236,2777.00
166.272,2876.75
167.305,2883.25
168.341,2934.25
169.374,3003.50
170.409,3075.25
171.445,3117.25
172.477,3202.75
173.512,3265.50
174.545,3257.25
175.580,3298.25
176.614,3246.25
177.647,3298.00
178.681,3303.50
179.713,3235.75
180.747,3216.25
181.781,3186.75
182.813,3164.75
183.847,3207.25
184.878,3183.50
185.912,3108.00
186.945,3168.25
187.976,3222.00
189.010,3153.75
190.043,3253.50
191.073,3275.00
192.106,3231.50
193.137,3296.75
194.170,3407.75
195.202,3388.00
196.232,3443.50
197.265,3468.50
198.297,3513.75
199.327,3591.00
200.359,3676.25
201.388,3712.50
202.420,3789.25
203.452,3875.75
204.481,3957.00
205.512,4028.50
206.544,4134.00
207.573,4212.25
208.604,4300.25
209.635,4428.75
210.663,4561.25
211.694,4678.25
212.725,4764.50
213.753,4927.75
214.783,4924.00
215.813,4985.00
216.841,5035.25
217.871,5107.50
218.899,5018.75
219.929,5000.50
220.959,4917.50
221.986,4832.75
223.016,4713.00
224.045,4622.25
225.072,4549.25
226.101,4477.25
227.130,4312.25
228.157,4304.50
229.185,4253.00
230.214,4149.75
231.241,4028.00
232.269,4042.00
233.297,4021.00
234.323,4006.25
235.351,4000.25
236.379,3965.75
237.407,3983.00
238.433,3985.75
239.460,3946.00
240.488,4082.00
241.513,4032.25
242.540,4104.25
243.568,4112.50
244.592,4208.50
245.619,4234.25
246.646,4168.00
247.671,4124.75
248.697,4113.25
249.724,4103.75
250.748,4133.00
251.774,4066.50
252.801,4091.00
253.827,4125.00
254.850,4112.00
255.876,4148.25
256.902,4150.50
257.925,4151.50
258.951,4206.75
259.976,4219.25
260.999,4297.25
262.024,4311.50
263.049,4374.25
264.074,4409.00
265.097,4446.00
266.122,4443.25
267.146,4570.25
268.168,4585.75
269.193,4602.25
270.217,4640.75
271.241,4663.50
272.263,4701.25
273.287,4738.00
274.311,4784.75
275.332,4802.00
276.356,4765.50
277.379,4742.75
278.402,4771.50
279.424,4775.00
280.447,4738.75
281.470,4618.75
282.492,4620.50
283.513,4563.75
284.536,4514.50
285.558,4436.25
286.581,4337.50
287.601,4263.50
288.623,4299.50
289.645,4225.50
290.665,4135.00
291.687,4043.25
292.709,3984.75
293.730,3931.25
294.750,3966.00
295.771,3886.00
296.792,3831.75
297.813,3868.25
298.832,3758.00
299.853,3677.50
300.874,3666.75
301.895,3617.00
302.913,3519.25
303.934,3494.25
304.954,3460.00
305.975,3481.50
306.993,3422.00
308.013,3374.50
309.033,3379.25
310.052,3286.50
311.072,3336.75
312.090,3328.75
313.109,3236.50
314.129,3236.75
315.148,3203.75
316.165,3287.50
317.184,3197.00
318.203,3212.50
319.222,3156.75
320.238,3168.00
321.257,3158.50
322.275,3124.00
323.294,3134.75
324.312,3103.00
325.328,3066.50
326.346,3060.50
327.364,3080.50
328.382,3050.75
329.397,3069.75
330.415,3006.50
331.432,3025.25
332.450,3063.25
333.467,3017.00
334.482,2972.00
335.499,3019.25
336.516,2983.25
337.533,3025.75
338.547,3032.75
339.564,2999.50
340.580,3021.00
341.597,2989.25
342.613,2970.00
343.627,3001.50
344.643,2908.50
345.659,2990.50
346.675,2951.00
347.690,2989.50
348.704,2940.75
349.719,2910.50
350.735,2948.50
351.750,2996.25
352.765,2964.00
353.778,2971.75
354.793,2939.00
355.808,2969.50
356.822,2952.00
357.837,2922.75
358.851,2971.50
359.864,3030.00
360.878,2972.50
361.892,2982.75
362.906,2959.25
363.920,2990.75
364.932,2972.25
365.945,2969.25
366.959,2975.00
367.972,2997.75
368.986,3022.25
369.999,2991.50
371.010,3047.75
372.023,3009.25
373.036,3005.00
374.049,3039.00
375.061,3086.25
