RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/07/15 16:23:43
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No169
146.591,876.00
147.626,1034.25
148.664,1207.75
149.699,1348.75
150.737,1509.75
151.772,1736.50
152.809,1877.25
153.846,2068.50
154.881,2151.00
155.918,2285.50
156.953,2423.50
157.989,2459.75
159.026,2545.00
160.060,2578.50
161.096,2675.75
162.130,2701.50
163.167,2728.25
164.200,2791.50
165.236,2849.75
166.272,2852.50
167.305,2878.75
168.341,2984.75
169.374,3008.75
170.409,3046.25
171.445,3107.75
172.477,3158.75
173.512,3148.50
174.545,3207.00
175.580,3219.00
176.614,3215.75
177.647,3270.50
178.681,3246.75
179.713,3203.25
180.747,3224.50
181.781,3221.75
182.813,3281.25
183.847,3244.25
184.878,3265.75
185.912,3244.75
186.945,3290.00
187.976,3290.25
189.010,3309.00
190.043,3320.00
191.073,3326.00
192.106,3385.50
193.137,3427.75
194.170,3462.75
195.202,3530.75
196.232,3544.00
197.265,3571.50
198.297,3637.00
199.327,3721.50
200.359,3753.00
201.388,3798.50
202.420,3910.25
203.452,3991.50
204.481,4055.25
205.512,4129.00
206.544,4290.50
207.573,4383.00
208.604,4517.25
209.635,4640.25
210.663,4797.25
211.694,4915.50
212.725,5086.25
213.753,5294.00
214.783,5431.50
215.813,5498.25
216.841,5538.50
217.871,5536.00
218.899,5585.50
219.929,5579.25
220.959,5505.75
221.986,5365.50
223.016,5216.25
224.045,5148.25
225.072,5016.00
226.101,4868.25
227.130,4759.75
228.157,4669.25
229.185,4512.75
230.214,4505.00
231.241,4364.25
232.269,4291.75
233.297,4268.00
234.323,4229.50
235.351,4133.50
236.379,4164.25
237.407,4108.00
238.433,4065.25
239.460,4080.75
240.488,4114.50
241.513,4146.50
242.540,4147.25
243.568,4239.50
244.592,4257.00
245.619,4278.50
246.646,4251.25
247.671,4160.50
248.697,4177.25
249.724,4180.50
250.748,4093.50
251.774,4144.00
252.801,4103.25
253.827,4113.75
254.850,4099.25
255.876,4109.75
256.902,4127.50
257.925,4164.50
258.951,4151.25
259.976,4221.00
260.999,4241.00
262.024,4245.50
263.049,4268.50
264.074,4300.75
265.097,4356.25
266.122,4335.50
267.146,4380.75
268.168,4487.00
269.193,4546.00
270.217,4552.25
271.241,4583.50
272.263,4652.25
273.287,4684.75
274.311,4702.25
275.332,4750.75
276.356,4760.75
277.379,4761.75
278.402,4751.50
279.424,4678.00
280.447,4667.50
281.470,4603.25
282.492,4558.00
283.513,4499.00
284.536,4474.50
285.558,4398.50
286.581,4362.00
287.601,4308.50
288.623,4291.00
289.645,4218.25
290.665,4146.75
291.687,3957.50
292.709,3994.50
293.730,3924.75
294.750,3921.50
295.771,3861.75
296.792,3778.25
297.813,3715.75
298.832,3692.00
299.853,3642.50
300.874,3571.00
301.895,3533.75
302.913,3522.25
303.934,3428.50
304.954,3458.25
305.975,3396.75
306.993,3407.75
308.013,3305.75
309.033,3323.75
310.052,3282.25
311.072,3270.75
312.090,3244.25
313.109,3251.25
314.129,3167.75
315.148,3213.50
316.165,3153.00
317.184,3176.25
318.203,3113.00
319.222,3125.25
320.238,3100.75
321.257,3067.25
322.275,3072.00
323.294,3072.50
324.312,3060.25
325.328,3028.00
326.346,3064.00
327.364,3036.50
328.382,3001.25
329.397,2986.00
330.415,2965.25
331.432,3009.50
332.450,3019.25
333.467,2967.00
334.482,2940.25
335.499,2933.00
336.516,2898.25
337.533,2927.00
338.547,2939.75
339.564,2907.00
340.580,2899.50
341.597,2911.75
342.613,2903.25
343.627,2906.00
344.643,2877.50
345.659,2821.50
346.675,2880.25
347.690,2883.50
348.704,2876.50
349.719,2887.50
350.735,2829.50
351.750,2889.50
352.765,2901.50
353.778,2860.75
354.793,2893.50
355.808,2848.25
356.822,2828.25
357.837,2889.75
358.851,2860.75
359.864,2825.00
360.878,2911.25
361.892,2852.00
362.906,2894.00
363.920,2878.00
364.932,2869.00
365.945,2922.50
366.959,2897.75
367.972,2907.25
368.986,2876.50
369.999,2922.75
371.010,2963.75
372.023,2913.25
373.036,2894.25
374.049,2990.75
375.061,2948.75
