RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/07/15 16:32:05
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No175
146.591,963.00
147.626,1152.75
148.664,1361.25
149.699,1526.00
150.737,1706.25
151.772,1889.75
152.809,2074.50
153.846,2241.75
154.881,2370.50
155.918,2499.00
156.953,2643.75
157.989,2706.50
159.026,2782.50
160.060,2813.75
161.096,2901.50
162.130,2963.75
163.167,3012.25
164.200,3043.25
165.236,3088.25
166.272,3106.00
167.305,3188.75
168.341,3239.00
169.374,3247.75
170.409,3313.00
171.445,3441.75
172.477,3469.25
173.512,3487.25
174.545,3533.50
175.580,3579.25
176.614,3518.50
177.647,3549.25
178.681,3581.75
179.713,3570.75
180.747,3514.25
181.781,3484.75
182.813,3522.50
183.847,3526.75
184.878,3554.25
185.912,3513.75
186.945,3603.25
187.976,3600.50
189.010,3607.00
190.043,3634.00
191.073,3693.75
192.106,3709.00
193.137,3730.25
194.170,3798.25
195.202,3875.25
196.232,3856.75
197.265,3938.50
198.297,4000.00
199.327,4078.00
200.359,4119.00
201.388,4199.75
202.420,4309.50
203.452,4395.75
204.481,4446.50
205.512,4595.25
206.544,4699.50
207.573,4808.25
208.604,4947.25
209.635,5088.25
210.663,5167.00
211.694,5337.00
212.725,5448.00
213.753,5531.00
214.783,5636.00
215.813,5676.50
216.841,5693.75
217.871,5676.00
218.899,5656.75
219.929,5661.00
220.959,5527.25
221.986,5415.50
223.016,5304.50
224.045,5185.25
225.072,5146.50
226.101,5068.50
227.130,4905.50
228.157,4828.00
229.185,4774.75
230.214,4707.50
231.241,4673.25
232.269,4578.25
233.297,4576.25
234.323,4564.50
235.351,4506.50
236.379,4546.75
237.407,4437.50
238.433,4469.50
239.460,4579.75
240.488,4581.50
241.513,4573.00
242.540,4641.50
243.568,4632.50
244.592,4707.25
245.619,4753.50
246.646,4725.25
247.671,4703.25
248.697,4685.50
249.724,4665.50
250.748,4619.75
251.774,4617.00
252.801,4607.00
253.827,4613.75
254.850,4611.25
255.876,4675.00
256.902,4686.50
257.925,4709.50
258.951,4702.25
259.976,4814.00
260.999,4806.00
262.024,4830.00
263.049,4868.50
264.074,4876.50
265.097,4955.25
266.122,4994.50
267.146,5057.50
268.168,5109.25
269.193,5127.50
270.217,5160.75
271.241,5263.75
272.263,5268.25
273.287,5246.00
274.311,5313.25
275.332,5337.25
276.356,5383.25
277.379,5288.75
278.402,5315.25
279.424,5304.00
280.447,5245.00
281.470,5138.75
282.492,5114.50
283.513,5038.50
284.536,4995.50
285.558,4939.50
286.581,4845.50
287.601,4765.50
288.623,4697.00
289.645,4664.00
290.665,4610.25
291.687,4549.50
292.709,4455.50
293.730,4391.00
294.750,4390.50
295.771,4342.75
296.792,4329.75
297.813,4170.25
298.832,4171.25
299.853,4123.50
300.874,4052.00
301.895,4027.00
302.913,3979.25
303.934,3936.75
304.954,3874.00
305.975,3913.75
306.993,3849.00
308.013,3827.50
309.033,3806.25
310.052,3738.50
311.072,3746.00
312.090,3696.75
313.109,3661.00
314.129,3661.00
315.148,3696.25
316.165,3671.75
317.184,3604.00
318.203,3574.25
319.222,3553.75
320.238,3514.50
321.257,3550.50
322.275,3525.50
323.294,3488.75
324.312,3473.75
325.328,3450.50
326.346,3431.75
327.364,3455.75
328.382,3426.75
329.397,3431.00
330.415,3403.25
331.432,3428.00
332.450,3415.00
333.467,3390.75
334.482,3398.25
335.499,3373.50
336.516,3346.75
337.533,3388.50
338.547,3372.50
339.564,3366.25
340.580,3370.75
341.597,3381.75
342.613,3375.75
343.627,3326.00
344.643,3292.50
345.659,3324.25
346.675,3337.50
347.690,3345.00
348.704,3347.00
349.719,3327.75
350.735,3268.00
351.750,3313.25
352.765,3355.50
353.778,3275.75
354.793,3307.25
355.808,3285.25
356.822,3333.25
357.837,3293.25
358.851,3340.00
359.864,3310.00
360.878,3321.75
361.892,3357.25
362.906,3308.00
363.920,3375.75
364.932,3313.00
365.945,3340.75
366.959,3355.50
367.972,3352.75
368.986,3367.25
369.999,3344.00
371.010,3358.50
372.023,3358.25
373.036,3387.00
374.049,3421.50
375.061,3423.50
