RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/09/19 09:24:13
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No210
146.591,1004.00
147.626,1148.75
148.664,1431.75
149.699,1699.75
150.737,1988.50
151.772,2300.25
152.809,2576.25
153.846,2885.00
154.881,3172.00
155.918,3510.50
156.953,3696.75
157.989,3911.25
159.026,4132.25
160.060,4337.75
161.096,4410.75
162.130,4572.00
163.167,4651.00
164.200,4789.75
165.236,4819.75
166.272,4905.25
167.305,5018.25
168.341,5114.50
169.374,5202.50
170.409,5288.75
171.445,5328.00
172.477,5439.50
173.512,5503.50
174.545,5582.75
175.580,5711.25
176.614,5808.50
177.647,5794.00
178.681,5826.00
179.713,5852.00
180.747,5832.00
181.781,5821.50
182.813,5744.25
183.847,5780.75
184.878,5726.25
185.912,5706.00
186.945,5710.50
187.976,5760.25
189.010,5679.00
190.043,5696.25
191.073,5752.50
192.106,5754.75
193.137,5786.50
194.170,5850.50
195.202,5936.25
196.232,5976.75
197.265,6011.00
198.297,6018.75
199.327,6160.75
200.359,6171.25
201.388,6223.00
202.420,6250.25
203.452,6321.75
204.481,6415.00
205.512,6529.25
206.544,6550.25
207.573,6652.00
208.604,6790.00
209.635,7002.00
210.663,7074.75
211.694,7250.00
212.725,7452.50
213.753,7647.50
214.783,7899.00
215.813,8105.25
216.841,8332.50
217.871,8685.75
218.899,8955.25
219.929,9214.50
220.959,9418.50
221.986,9468.50
223.016,9428.50
224.045,9397.25
225.072,9247.75
226.101,9009.75
227.130,8820.75
228.157,8489.50
229.185,8246.50
230.214,7976.25
231.241,7782.25
232.269,7672.25
233.297,7446.75
234.323,7361.75
235.351,7256.75
236.379,7159.00
237.407,7132.75
238.433,7019.25
239.460,7099.00
240.488,7075.75
241.513,6994.50
242.540,7067.00
243.568,7103.00
244.592,7166.25
245.619,7286.00
246.646,7353.50
247.671,7401.25
248.697,7421.50
249.724,7389.75
250.748,7352.50
251.774,7252.25
252.801,7319.00
253.827,7164.50
254.850,7188.25
255.876,7138.75
256.902,7205.25
257.925,7193.00
258.951,7128.50
259.976,7236.50
260.999,7230.75
262.024,7208.00
263.049,7245.25
264.074,7269.50
265.097,7324.50
266.122,7397.50
267.146,7433.50
268.168,7488.00
269.193,7487.50
270.217,7564.25
271.241,7614.50
272.263,7723.00
273.287,7846.50
274.311,7904.50
275.332,7948.75
276.356,8053.50
277.379,8139.75
278.402,8216.75
279.424,8353.00
280.447,8376.00
281.470,8340.50
282.492,8363.25
283.513,8384.00
284.536,8237.50
285.558,8225.75
286.581,8140.25
287.601,8071.50
288.623,7888.50
289.645,7795.25
290.665,7741.00
291.687,7516.00
292.709,7500.75
293.730,7358.50
294.750,7250.00
295.771,7115.50
296.792,7054.00
297.813,6925.00
298.832,6858.00
299.853,6759.50
300.874,6683.75
301.895,6561.50
302.913,6477.25
303.934,6458.50
304.954,6320.50
305.975,6235.75
306.993,6216.00
308.013,6061.75
309.033,6047.25
310.052,5950.50
311.072,5939.00
312.090,5817.50
313.109,5833.00
314.129,5761.50
315.148,5711.75
316.165,5673.50
317.184,5678.50
318.203,5653.50
319.222,5551.50
320.238,5527.00
321.257,5485.50
322.275,5487.50
323.294,5386.50
324.312,5400.50
325.328,5337.50
326.346,5337.75
327.364,5345.00
328.382,5299.25
329.397,5287.25
330.415,5238.50
331.432,5293.00
332.450,5193.25
333.467,5204.25
334.482,5186.25
335.499,5123.25
336.516,5119.25
337.533,5121.75
338.547,5070.75
339.564,5019.75
340.580,5061.00
341.597,5137.75
342.613,5061.25
343.627,5020.00
344.643,5008.25
345.659,5021.75
346.675,4990.50
347.690,4983.75
348.704,4906.75
349.719,4923.00
350.735,4928.25
351.750,4933.00
352.765,4854.00
353.778,4914.00
354.793,4892.25
355.808,4965.50
356.822,4904.50
357.837,4847.00
358.851,4848.25
359.864,4916.75
360.878,4875.25
361.892,4837.50
362.906,4815.50
363.920,4870.00
364.932,4833.75
365.945,4860.00
366.959,4837.75
367.972,4812.00
368.986,4841.00
369.999,4820.00
371.010,4808.25
372.023,4803.50
373.036,4866.75
374.049,4851.50
375.061,4847.50
