RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/09/19 09:30:56
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No214
146.591,811.50
147.626,925.50
148.664,1150.50
149.699,1344.75
150.737,1636.00
151.772,1859.50
152.809,2188.75
153.846,2448.25
154.881,2651.00
155.918,2902.50
156.953,3150.25
157.989,3339.50
159.026,3511.25
160.060,3635.50
161.096,3826.50
162.130,3886.00
163.167,3996.25
164.200,4075.50
165.236,4182.25
166.272,4223.00
167.305,4264.50
168.341,4362.75
169.374,4415.50
170.409,4498.75
171.445,4593.75
172.477,4677.00
173.512,4732.25
174.545,4729.25
175.580,4836.75
176.614,4873.25
177.647,4935.25
178.681,4987.50
179.713,5046.00
180.747,4943.25
181.781,5007.00
182.813,4908.25
183.847,4935.25
184.878,4905.25
185.912,4871.75
186.945,4922.75
187.976,4891.25
189.010,4872.50
190.043,4932.25
191.073,4883.50
192.106,4907.50
193.137,4949.25
194.170,4924.75
195.202,5041.00
196.232,5012.50
197.265,5036.50
198.297,5101.00
199.327,5084.25
200.359,5180.25
201.388,5215.25
202.420,5271.50
203.452,5200.00
204.481,5283.25
205.512,5375.00
206.544,5436.25
207.573,5432.25
208.604,5441.25
209.635,5646.50
210.663,5697.50
211.694,5739.50
212.725,5931.75
213.753,6053.75
214.783,6224.00
215.813,6301.00
216.841,6573.75
217.871,6707.50
218.899,6841.75
219.929,7078.50
220.959,7306.50
221.986,7359.25
223.016,7475.50
224.045,7447.50
225.072,7461.50
226.101,7357.25
227.130,7135.75
228.157,7069.50
229.185,6853.25
230.214,6670.00
231.241,6482.50
232.269,6344.00
233.297,6248.75
234.323,6107.75
235.351,6044.50
236.379,6039.75
237.407,5996.25
238.433,5935.25
239.460,5920.00
240.488,5865.25
241.513,5932.75
242.540,5969.75
243.568,5925.75
244.592,6027.00
245.619,6132.25
246.646,6172.75
247.671,6229.25
248.697,6253.75
249.724,6209.25
250.748,6230.25
251.774,6176.00
252.801,6153.50
253.827,6132.75
254.850,6021.75
255.876,5952.50
256.902,5891.25
257.925,5936.25
258.951,5908.75
259.976,5921.00
260.999,5896.75
262.024,5893.00
263.049,5876.75
264.074,5915.00
265.097,5985.50
266.122,5941.00
267.146,5955.25
268.168,6015.25
269.193,5965.25
270.217,6038.25
271.241,6079.00
272.263,6126.50
273.287,6147.50
274.311,6212.75
275.332,6248.75
276.356,6378.25
277.379,6401.25
278.402,6540.25
279.424,6566.00
280.447,6682.00
281.470,6671.25
282.492,6795.75
283.513,6760.25
284.536,6738.50
285.558,6704.25
286.581,6646.00
287.601,6626.50
288.623,6568.50
289.645,6453.50
290.665,6443.00
291.687,6346.50
292.709,6271.75
293.730,6170.25
294.750,5996.25
295.771,6017.50
296.792,5986.25
297.813,5887.75
298.832,5736.00
299.853,5677.00
300.874,5586.50
301.895,5581.25
302.913,5508.25
303.934,5394.25
304.954,5339.75
305.975,5297.25
306.993,5280.00
308.013,5189.50
309.033,5151.00
310.052,5077.00
311.072,5004.25
312.090,4995.50
313.109,4922.50
314.129,4868.75
315.148,4956.50
316.165,4884.00
317.184,4854.75
318.203,4826.75
319.222,4795.25
320.238,4710.00
321.257,4734.75
322.275,4677.00
323.294,4638.25
324.312,4618.75
325.328,4648.00
326.346,4568.25
327.364,4574.00
328.382,4559.75
329.397,4568.00
330.415,4543.25
331.432,4506.00
332.450,4507.00
333.467,4489.25
334.482,4472.00
335.499,4468.00
336.516,4504.50
337.533,4410.50
338.547,4461.50
339.564,4429.75
340.580,4451.50
341.597,4405.50
342.613,4404.00
343.627,4432.25
344.643,4407.75
345.659,4450.00
346.675,4328.00
347.690,4332.75
348.704,4344.75
349.719,4336.25
350.735,4293.25
351.750,4322.50
352.765,4288.75
353.778,4264.00
354.793,4263.50
355.808,4256.00
356.822,4311.50
357.837,4232.50
358.851,4253.75
359.864,4201.50
360.878,4213.50
361.892,4232.75
362.906,4239.00
363.920,4224.00
364.932,4319.00
365.945,4179.50
366.959,4301.00
367.972,4264.00
368.986,4239.25
369.999,4239.75
371.010,4238.00
372.023,4194.75
373.036,4282.50
374.049,4313.25
375.061,4330.50
