RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,4
Measure Time,2023/07/15 16:45:29
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No185
146.591,1167.00
147.626,1370.00
148.664,1648.50
149.699,1848.75
150.737,2051.75
151.772,2266.50
152.809,2486.00
153.846,2694.00
154.881,2864.00
155.918,3028.25
156.953,3137.75
157.989,3236.25
159.026,3389.75
160.060,3436.50
161.096,3453.00
162.130,3582.00
163.167,3604.00
164.200,3645.50
165.236,3765.25
166.272,3836.75
167.305,3867.75
168.341,3906.50
169.374,4016.25
170.409,4040.50
171.445,4136.00
172.477,4190.25
173.512,4224.50
174.545,4208.50
175.580,4268.50
176.614,4303.25
177.647,4269.00
178.681,4263.50
179.713,4311.75
180.747,4280.50
181.781,4212.25
182.813,4216.50
183.847,4194.75
184.878,4220.00
185.912,4167.50
186.945,4170.75
187.976,4253.50
189.010,4209.00
190.043,4277.75
191.073,4276.75
192.106,4331.25
193.137,4334.50
194.170,4380.25
195.202,4350.00
196.232,4420.00
197.265,4457.25
198.297,4471.75
199.327,4575.50
200.359,4601.25
201.388,4608.25
202.420,4639.75
203.452,4737.25
204.481,4805.25
205.512,4814.50
206.544,4842.75
207.573,4898.50
208.604,4950.00
209.635,5070.50
210.663,5085.50
211.694,5142.00
212.725,5159.75
213.753,5258.50
214.783,5246.50
215.813,5272.00
216.841,5261.25
217.871,5308.75
218.899,5292.50
219.929,5283.50
220.959,5250.25
221.986,5215.50
223.016,5161.25
224.045,5164.00
225.072,5117.00
226.101,5127.00
227.130,5021.75
228.157,4964.75
229.185,4901.75
230.214,4925.50
231.241,4900.75
232.269,4923.50
233.297,4881.00
234.323,4902.75
235.351,4881.00
236.379,4842.00
237.407,4914.25
238.433,4879.75
239.460,4932.00
240.488,4906.25
241.513,5031.75
242.540,5042.75
243.568,5045.00
244.592,5068.75
245.619,5172.75
246.646,5093.75
247.671,5002.25
248.697,5070.50
249.724,5056.25
250.748,4984.25
251.774,4984.50
252.801,4928.50
253.827,5051.50
254.850,5011.25
255.876,5036.00
256.902,5038.25
257.925,4963.25
258.951,5051.00
259.976,5044.50
260.999,5007.25
262.024,5066.00
263.049,5057.75
264.074,5122.50
265.097,5087.50
266.122,5129.00
267.146,5143.25
268.168,5183.25
269.193,5207.50
270.217,5240.50
271.241,5207.50
272.263,5277.75
273.287,5244.75
274.311,5228.50
275.332,5316.50
276.356,5274.50
277.379,5267.00
278.402,5253.00
279.424,5248.00
280.447,5152.75
281.470,5133.50
282.492,5143.25
283.513,5051.50
284.536,4972.50
285.558,4955.75
286.581,4951.75
287.601,4865.50
288.623,4817.50
289.645,4824.25
290.665,4723.00
291.687,4751.00
292.709,4678.00
293.730,4653.25
294.750,4633.50
295.771,4626.50
296.792,4547.25
297.813,4491.75
298.832,4470.25
299.853,4501.75
300.874,4510.25
301.895,4392.75
302.913,4431.75
303.934,4368.25
304.954,4314.75
305.975,4313.00
306.993,4302.25
308.013,4280.00
309.033,4232.00
310.052,4203.75
311.072,4225.25
312.090,4213.75
313.109,4230.25
314.129,4192.75
315.148,4162.00
316.165,4151.75
317.184,4142.75
318.203,4125.00
319.222,4156.00
320.238,4096.75
321.257,4092.00
322.275,4091.75
323.294,4095.00
324.312,4055.25
325.328,4070.00
326.346,4081.25
327.364,4075.00
328.382,4090.25
329.397,4039.00
330.415,3978.25
331.432,4035.75
332.450,3974.75
333.467,4043.25
334.482,3992.75
335.499,3925.00
336.516,3994.00
337.533,4010.00
338.547,4021.25
339.564,4029.75
340.580,3972.50
341.597,3994.00
342.613,4006.50
343.627,3999.00
344.643,3933.00
345.659,4034.75
346.675,3956.50
347.690,3899.75
348.704,3959.75
349.719,3914.75
350.735,3954.25
351.750,3933.50
352.765,3901.25
353.778,3926.50
354.793,3926.00
355.808,3897.50
356.822,3901.75
357.837,3913.75
358.851,3851.25
359.864,3937.50
360.878,3877.25
361.892,3923.25
362.906,3920.50
363.920,3900.00
364.932,3918.00
365.945,3874.00
366.959,3904.00
367.972,3971.50
368.986,3928.50
369.999,3928.50
371.010,3892.25
372.023,3941.00
373.036,3955.75
374.049,4000.50
375.061,3952.75
