Date	2021年06月15日火曜日 05時02分53秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-2.679979
192.166	-0.561013
192.542	-0.953727
192.917	0.000000
193.293	-0.555878
193.668	-0.454984
194.044	-1.200966
194.419	0.000000
194.794	-1.443134
195.170	-1.354685
195.545	-1.262570
195.920	-1.129327
196.296	-1.014315
196.671	-0.848816
197.046	-0.689233
197.421	-0.634707
197.796	-0.623193
198.171	-0.576869
198.546	-0.533248
198.922	-0.481193
199.297	-0.462406
199.672	-0.439900
200.047	-0.416510
200.422	-0.390052
200.796	-0.371749
201.171	-0.347412
201.546	-0.343506
201.921	-0.326778
202.296	-0.315382
202.671	-0.285535
203.045	-0.261419
203.420	-0.250833
203.795	-0.239031
204.170	-0.231225
204.544	-0.227239
204.919	-0.224832
205.294	-0.217587
205.668	-0.207117
206.043	-0.203173
206.417	-0.209246
206.792	-0.207785
207.166	-0.204119
207.541	-0.196306
207.915	-0.202312
208.289	-0.186083
208.664	-0.185920
209.038	-0.183741
209.412	-0.171547
209.787	-0.157582
210.161	-0.146994
210.535	-0.150668
210.909	-0.142842
211.284	-0.132339
211.658	-0.125158
212.032	-0.124005
212.406	-0.130203
212.780	-0.130306
213.154	-0.128652
213.528	-0.128122
213.902	-0.117016
214.276	-0.105444
214.650	-0.102510
215.024	-0.095225
215.398	-0.096588
215.772	-0.084033
216.145	-0.082104
216.519	-0.070907
216.893	-0.074588
217.267	-0.076862
217.640	-0.088472
218.014	-0.079588
218.388	-0.074490
218.761	-0.076778
219.135	-0.068059
219.508	-0.076086
219.882	-0.078578
220.256	-0.076864
220.629	-0.064925
221.003	-0.075176
221.376	-0.076446
221.749	-0.085673
222.123	-0.086533
222.496	-0.092621
222.869	-0.086410
223.243	-0.083171
223.616	-0.084467
223.989	-0.088190
224.362	-0.088883
224.736	-0.095191
225.109	-0.089096
