Date	2021年06月15日火曜日 04時26分22秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-2.340163
192.166	-0.616816
192.542	-0.787431
192.917	0.000000
193.293	-0.525259
193.668	-0.322732
194.044	-0.959284
194.419	0.000000
194.794	-1.399319
195.170	-1.320223
195.545	-1.234488
195.920	-1.112117
196.296	-0.990279
196.671	-0.835741
197.046	-0.674178
197.421	-0.623336
197.796	-0.624257
198.171	-0.591802
198.546	-0.550797
198.922	-0.503577
199.297	-0.484479
199.672	-0.465556
200.047	-0.440692
200.422	-0.411902
200.796	-0.399471
201.171	-0.381578
201.546	-0.385338
201.921	-0.376533
202.296	-0.367488
202.671	-0.344139
203.045	-0.322374
203.420	-0.306821
203.795	-0.289288
204.170	-0.286302
204.544	-0.277677
204.919	-0.278416
205.294	-0.272040
205.668	-0.251895
206.043	-0.242506
206.417	-0.246238
206.792	-0.235488
207.166	-0.227097
207.541	-0.215673
207.915	-0.215962
208.289	-0.202044
208.664	-0.202144
209.038	-0.203636
209.412	-0.186805
209.787	-0.174244
210.161	-0.165306
210.535	-0.162286
210.909	-0.145902
211.284	-0.140926
211.658	-0.150074
212.032	-0.153089
212.406	-0.163912
212.780	-0.162889
213.154	-0.168943
213.528	-0.175660
213.902	-0.172905
214.276	-0.164669
214.650	-0.166121
215.024	-0.160154
215.398	-0.160508
215.772	-0.157703
216.145	-0.158296
216.519	-0.150271
216.893	-0.146450
217.267	-0.152220
217.640	-0.155526
218.014	-0.140361
218.388	-0.135263
218.761	-0.150426
219.135	-0.146758
219.508	-0.146367
219.882	-0.150311
220.256	-0.145287
220.629	-0.140190
221.003	-0.141103
221.376	-0.136855
221.749	-0.139443
222.123	-0.144482
222.496	-0.147248
222.869	-0.146385
223.243	-0.141165
223.616	-0.137253
223.989	-0.141844
224.362	-0.133787
224.736	-0.135073
225.109	-0.129854
