Date	2021年06月15日火曜日 04時05分46秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-2.130470
192.166	-0.511024
192.542	-0.917815
192.917	0.000000
193.293	-0.482665
193.668	-0.441950
194.044	-0.692454
194.419	0.000000
194.794	-1.336863
195.170	-1.273395
195.545	-1.195264
195.920	-1.075044
196.296	-0.960942
196.671	-0.802446
197.046	-0.643412
197.421	-0.591132
197.796	-0.585472
198.171	-0.560687
198.546	-0.518567
198.922	-0.475462
199.297	-0.454875
199.672	-0.437537
200.047	-0.415784
200.422	-0.374394
200.796	-0.366060
201.171	-0.351790
201.546	-0.354090
201.921	-0.349318
202.296	-0.340520
202.671	-0.316984
203.045	-0.287625
203.420	-0.272248
203.795	-0.253904
204.170	-0.244236
204.544	-0.237445
204.919	-0.249030
205.294	-0.250724
205.668	-0.235451
206.043	-0.213360
206.417	-0.218991
206.792	-0.209067
207.166	-0.202876
207.541	-0.196797
207.915	-0.202241
208.289	-0.196906
208.664	-0.195958
209.038	-0.194896
209.412	-0.178773
209.787	-0.155960
210.161	-0.138398
210.535	-0.138515
210.909	-0.123394
211.284	-0.114796
211.658	-0.121062
212.032	-0.121343
212.406	-0.124909
212.780	-0.116413
213.154	-0.111730
213.528	-0.118541
213.902	-0.124940
214.276	-0.112703
214.650	-0.118043
215.024	-0.109181
215.398	-0.102276
215.772	-0.091565
216.145	-0.080512
216.519	-0.068918
216.893	-0.063353
217.267	-0.069999
217.640	-0.079382
218.014	-0.072216
218.388	-0.060858
218.761	-0.067872
219.135	-0.062202
219.508	-0.054883
219.882	-0.065231
220.256	-0.059969
220.629	-0.053190
221.003	-0.054519
221.376	-0.050759
221.749	-0.056351
222.123	-0.059228
222.496	-0.054928
222.869	-0.052778
223.243	-0.055395
223.616	-0.059461
223.989	-0.071826
224.362	-0.070344
224.736	-0.072959
225.109	-0.064776
