Date	2022年08月06日土曜日 12時58分22秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	1000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	0.325149
192.166	0.000000
192.542	0.355343
192.917	0.387959
193.293	-0.003622
193.668	0.672961
194.044	0.317778
194.419	0.000000
194.794	-0.148384
195.170	-0.020865
195.545	0.000000
195.920	0.306387
196.296	0.000000
196.671	0.000000
197.046	1.256382
197.421	0.000000
197.796	-0.150245
198.171	0.000000
198.546	0.000000
198.922	0.000000
199.297	0.000000
199.672	0.000000
200.047	0.000000
200.422	0.000000
200.796	0.000000
201.171	-0.109447
201.546	0.000000
201.921	-0.806693
202.296	0.000000
202.671	0.363990
203.045	0.340646
203.420	0.045215
203.795	0.000000
204.170	-0.879286
204.544	0.000000
204.919	0.000000
205.294	0.000000
205.668	0.000000
206.043	0.302699
206.417	0.000000
206.792	0.000000
207.166	0.170166
207.541	0.000000
207.915	0.528837
208.289	0.000000
208.664	0.950699
209.038	0.377122
209.412	0.000000
209.787	0.414606
210.161	0.000000
210.535	0.000000
210.909	0.000000
211.284	0.000000
211.658	0.000000
212.032	0.000000
212.406	-1.027110
212.780	0.000000
213.154	1.073870
213.528	0.000000
213.902	0.000000
214.276	0.000000
214.650	0.441707
215.024	0.000000
215.398	0.369408
215.772	0.000000
216.145	0.000000
216.519	0.000000
216.893	0.370514
217.267	0.000000
217.640	0.000000
218.014	0.659407
218.388	0.000000
218.761	0.000000
219.135	0.000000
219.508	0.000000
219.882	0.371871
220.256	0.532741
220.629	0.000000
221.003	0.000000
221.376	0.045930
221.749	0.000000
222.123	0.000000
222.496	0.000000
222.869	0.000000
223.243	-0.144701
223.616	0.435499
223.989	0.052135
224.362	0.000000
224.736	-0.071795
225.109	1.021246
225.482	0.000000
225.855	0.203549
226.228	0.000000
226.601	-0.191729
226.974	0.000000
227.347	0.000000
227.720	0.000000
228.093	0.949867
