Date	2022年12月13日火曜日 03時49分03秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	0.000000
192.166	0.385410
192.542	0.148516
192.917	0.000000
193.293	0.000000
193.668	0.173720
194.044	0.593655
194.419	0.000000
194.794	0.000000
195.170	0.953357
195.545	0.823197
195.920	0.000000
196.296	0.000000
196.671	0.000000
197.046	0.000000
197.421	0.000000
197.796	0.000000
198.171	0.000000
198.546	0.000000
198.922	0.000000
199.297	0.000000
199.672	0.000000
200.047	0.000000
200.422	0.540759
200.796	0.000000
201.171	0.000000
201.546	0.000000
201.921	1.648013
202.296	0.375794
202.671	0.000000
203.045	0.000000
203.420	0.381807
203.795	-0.011885
204.170	-0.208043
204.544	0.126497
204.919	1.075248
205.294	0.000000
205.668	0.347659
206.043	0.000000
206.417	0.000000
206.792	0.498344
207.166	0.000000
207.541	0.000000
207.915	0.008279
208.289	0.000000
208.664	0.000000
209.038	0.000000
209.412	0.303893
209.787	0.000000
210.161	1.282197
210.535	0.377541
210.909	0.695667
211.284	0.000000
211.658	-0.633706
212.032	0.147363
212.406	0.000000
212.780	0.526226
213.154	0.000000
213.528	0.426624
213.902	0.488312
214.276	0.000000
214.650	0.000000
215.024	0.000000
215.398	0.000000
215.772	0.000000
216.145	-0.250394
216.519	0.000000
216.893	0.482165
217.267	0.000000
217.640	0.000000
218.014	0.868854
218.388	0.000000
218.761	0.000000
219.135	1.068256
219.508	0.000000
219.882	0.661690
220.256	0.000000
220.629	0.384697
221.003	0.000000
221.376	0.816370
221.749	0.000000
222.123	-0.059959
222.496	0.000000
222.869	0.309083
223.243	0.000000
223.616	-0.010759
223.989	0.000000
224.362	0.000000
224.736	0.082894
225.109	0.000000
225.482	0.000000
225.855	0.162847
226.228	0.969806
226.601	0.377981
226.974	0.000000
227.347	0.000000
227.720	0.000000
228.093	0.345122
228.466	-0.123046
