Date	2023年01月06日金曜日 11時57分26秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	4
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	1.112447
191.040	0.640937
191.415	0.640937
191.791	0.000000
192.166	0.000000
192.542	0.000000
192.917	0.000000
193.293	0.000000
193.668	0.000000
194.044	0.000000
194.419	0.000000
194.794	0.000000
195.170	0.000000
195.545	0.000000
195.920	0.000000
196.296	0.000000
196.671	0.000000
197.046	0.751817
197.421	1.720005
197.796	0.540038
198.171	0.234512
198.546	0.234124
198.922	0.201444
199.297	0.354728
199.672	1.144587
200.047	0.000000
200.422	0.000000
200.796	0.000000
201.171	0.000000
201.546	0.000000
201.921	0.000000
202.296	0.000000
202.671	0.000000
203.045	0.000000
203.420	0.000000
203.795	0.000000
204.170	0.000000
204.544	0.000000
204.919	0.000000
205.294	0.037048
205.668	0.364853
206.043	0.701197
206.417	0.000000
206.792	0.000000
207.166	0.000000
207.541	0.000000
207.915	0.000000
208.289	0.000000
208.664	0.000000
209.038	0.000000
209.412	0.000000
209.787	0.000000
210.161	0.000000
210.535	0.000000
210.909	0.000000
211.284	0.847075
211.658	0.292750
212.032	0.188051
212.406	0.200968
212.780	0.191175
213.154	0.206923
213.528	0.223489
213.902	0.292880
214.276	0.333464
214.650	0.427211
215.024	0.390280
215.398	0.411756
215.772	0.460358
216.145	0.468087
216.519	0.388636
216.893	0.428773
217.267	0.378712
217.640	0.406845
218.014	0.334160
218.388	0.753874
218.761	0.674744
219.135	0.603722
219.508	0.752191
219.882	0.989093
220.256	1.444245
220.629	1.074116
221.003	0.664584
221.376	0.652322
221.749	0.465595
222.123	0.623855
222.496	1.645148
222.869	0.000000
223.243	0.000000
223.616	1.419710
223.989	1.089776
224.362	0.538387
224.736	0.797312
225.109	0.708530
225.482	1.497915
225.855	0.440096
226.228	0.255332
226.601	0.412860
226.974	1.695955
227.347	0.000000
227.720	0.000000
228.093	0.000000
228.466	0.000000
228.839	0.000000
