Date	2023年05月19日金曜日 04時47分40秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[usec]	1800
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	0.142788
192.166	1.937299
192.542	0.000000
192.917	-0.236360
193.293	0.000000
193.668	0.524658
194.044	0.000000
194.419	0.227202
194.794	0.054556
195.170	0.000000
195.545	-0.452573
195.920	0.271757
196.296	0.000000
196.671	0.000000
197.046	0.000000
197.421	0.058827
197.796	0.000000
198.171	0.636429
198.546	0.490224
198.922	0.394973
199.297	-0.000512
199.672	0.000000
200.047	0.530870
200.422	1.818273
200.796	0.000000
201.171	0.406116
201.546	0.394463
201.921	0.000000
202.296	0.000000
202.671	0.340698
203.045	0.430973
203.420	1.654607
203.795	0.624230
204.170	0.797112
204.544	0.670074
204.919	0.562905
205.294	0.423611
205.668	0.000000
206.043	0.000000
206.417	0.979958
206.792	0.202435
207.166	0.454332
207.541	0.000000
207.915	0.605113
208.289	0.679922
208.664	1.262082
209.038	0.000000
209.412	0.550708
209.787	0.453121
210.161	0.216105
210.535	0.000000
210.909	0.622081
211.284	0.940111
211.658	0.000000
212.032	0.499920
212.406	0.709995
212.780	0.492177
213.154	0.000000
213.528	1.334697
213.902	0.396188
214.276	0.000000
214.650	0.598277
215.024	0.000000
215.398	1.096247
215.772	0.446158
216.145	0.741289
216.519	0.000000
216.893	0.000000
217.267	0.000000
217.640	0.416807
218.014	0.000000
218.388	0.000000
218.761	0.000000
219.135	0.644750
219.508	0.000000
219.882	1.654272
220.256	0.000000
220.629	2.089909
221.003	0.774217
221.376	0.088812
221.749	0.540340
222.123	0.365760
222.496	0.389512
222.869	0.000000
223.243	1.316298
223.616	0.497157
223.989	0.363469
224.362	2.598571
224.736	0.248135
225.109	0.000000
225.482	0.000000
225.855	0.789860
226.228	0.000000
226.601	1.053890
226.974	0.904485
227.347	0.506070
227.720	0.000000
228.093	0.698454
228.466	0.895839
