Date	2023年05月19日金曜日 04時50分44秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[usec]	1800
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	0.058072
192.166	1.202685
192.542	0.000000
192.917	-0.343209
193.293	0.000000
193.668	0.343190
194.044	0.000000
194.419	0.171238
194.794	0.014309
195.170	0.000000
195.545	-0.493626
195.920	0.133760
196.296	0.000000
196.671	0.000000
197.046	0.000000
197.421	-0.014070
197.796	0.000000
198.171	0.419893
198.546	0.419849
198.922	0.323825
199.297	-0.079270
199.672	0.000000
200.047	0.535442
200.422	1.660634
200.796	0.000000
201.171	0.505088
201.546	0.376431
201.921	0.000000
202.296	0.000000
202.671	0.315050
203.045	0.419838
203.420	1.313555
203.795	0.681951
204.170	0.860172
204.544	0.727831
204.919	0.533233
205.294	0.427207
205.668	0.000000
206.043	0.000000
206.417	0.963185
206.792	0.191273
207.166	0.402623
207.541	0.000000
207.915	0.639623
208.289	0.714200
208.664	1.113786
209.038	0.000000
209.412	0.539929
209.787	0.444239
210.161	0.220271
210.535	0.000000
210.909	0.640929
211.284	0.996091
211.658	0.000000
212.032	0.549748
212.406	0.679191
212.780	0.526332
213.154	0.000000
213.528	1.313738
213.902	0.406317
214.276	0.000000
214.650	0.605298
215.024	0.000000
215.398	1.175793
215.772	0.454709
216.145	0.749975
216.519	0.000000
216.893	0.000000
217.267	0.000000
217.640	0.418606
218.014	0.000000
218.388	0.000000
218.761	0.000000
219.135	0.697792
219.508	0.000000
219.882	1.729952
220.256	0.000000
220.629	1.291868
221.003	0.731303
221.376	0.083479
221.749	0.525254
222.123	0.389528
222.496	0.399419
222.869	0.000000
223.243	1.328371
223.616	0.481839
223.989	0.367560
224.362	0.000000
224.736	0.236877
225.109	0.000000
225.482	0.000000
225.855	0.747473
226.228	0.000000
226.601	1.054494
226.974	0.985352
227.347	0.527161
227.720	0.000000
228.093	0.711817
228.466	0.883262
