"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230526\hematite_butanol_3_light.txt"


  Open Circuit Potential (V): -0.3574
"E (Volts)"	"I (Amps/cm^2~)"
-0.49740341	-1.1367E-05
-0.47485429	-6.6418E-06
-0.4550328	-3.8887E-06
-0.43363541	-1.7044E-06
-0.41187429	-2.9317E-08
-0.39138609	1.2396E-06
-0.37241319	2.3318E-06
-0.3504096	3.675E-06
-0.3292546	5.621E-06
-0.30876639	8.7761E-06
-0.2900967	1.3917E-05
-0.2694267	2.3321E-05
-0.25033259	3.7066E-05
-0.2297232	5.7613E-05
-0.2087501	8.3936E-05
-0.18923169	0.00011266
-0.16717841	0.00014916
-0.1461848	0.0001871
-0.12660369	0.00022523
-0.1080168	0.00026197
-0.087374873	0.00030551
-0.064404987	0.00035553
-0.044357128	0.00040119
-0.023448421	0.00044946
-0.0043523191	0.00049615
0.01622903	0.00054794
0.037525721	0.00060275
0.056894619	0.00065532
0.077130429	0.00070984
0.097560219	0.00076635
0.1178566	0.00082244
0.13740741	0.0008761
0.1563095	0.00092583
0.1766787	0.00097682
0.196769	0.0010239
0.2171984	0.0010678
0.23817161	0.00111
0.25902349	0.0011475
0.28102699	0.0011817
0.2993331	0.0012082
0.32297331	0.0012339
0.34206739	0.0012553
0.36237371	0.0012749
0.38395301	0.0012904
0.403835	0.0013044
0.4237777	0.0013163
0.44390219	0.0013263
0.46360239	0.0013368
0.48330259	0.0013457
0.50330591	0.0013535
0.52173311	0.0013591
0.5459795	0.0013677
0.56864989	0.0013742
0.59010792	0.0013799
0.61041433	0.001384
0.63217539	0.0013885
0.65023899	0.0013913
0.67212129	0.0013951
0.6912154	0.0013967
0.71176422	0.0014001
0.73382843	0.0014041
0.75589269	0.0014091
0.7774719	0.0014168
0.79583859	0.0014266
0.78413969	0.0014172
0.76292408	0.0014078
0.74298137	0.0014041
0.72309941	0.001399
0.70370227	0.0013966
0.680547	0.0013924
0.66102868	0.0013884
0.64120722	0.0013829
0.62017351	0.0013776
0.59823048	0.0013719
0.57792407	0.0013657
0.55731469	0.0013598
0.53700829	0.0013551
0.51500481	0.0013461
0.49069771	0.0013378
0.47148249	0.001327
0.45075181	0.0013179
0.4285664	0.0013052
0.40686581	0.0012923
0.3855896	0.001277
0.36728361	0.0012649
0.34734091	0.001247
0.32733771	0.001226
0.30921349	0.0012036
0.28708869	0.001174
0.2667217	0.0011429
0.2470821	0.0011096
0.22574531	0.0010674
0.2033174	0.0010166
0.1813138	0.00096215
0.1599769	0.00090715
0.1409356	0.00085628
0.1218395	0.00080267
0.1012097	0.00074264
0.080767773	0.0006831
0.061071519	0.0006261
0.040714469	0.00057031
0.020145239	0.00051537
-1.780805E-05	0.00046323
-0.02050822	0.00041272
-0.042271711	0.00036129
-0.063568413	0.00031363
-0.084458932	0.00026888
-0.104137	0.00022874
-0.1238393	0.00019018
-0.1449905	0.00015279
-0.1646868	0.00011922
-0.1868383	8.5387E-05
-0.20726199	5.8656E-05
-0.22663181	3.7679E-05
-0.2474231	2.0251E-05
-0.2677294	8.5142E-06
-0.2886419	1.3422E-06
-0.30743289	-2.2108E-06
-0.3278605	-4.121E-06
-0.34834871	-5.0397E-06
-0.36877629	-5.5551E-06
-0.3891432	-6.0578E-06
-0.4081161	-6.6958E-06
-0.42775559	-7.64E-06
-0.44812259	-9.2506E-06
-0.4670954	-1.1762E-05
-0.48703811	-1.6266E-05
-0.49819139	-1.6711E-05
-0.47746071	-9.1657E-06
-0.45860919	-5.3714E-06
-0.4390302	-2.6298E-06
-0.4166629	-5.1162E-07
-0.39544731	9.9514E-07
-0.3745954	2.273E-06
-0.35380411	3.4634E-06
-0.33325529	4.9721E-06
-0.31282771	7.2165E-06
-0.29203641	1.1135E-05
-0.27354851	1.6905E-05
-0.2525754	2.7575E-05
-0.2316629	4.3565E-05
-0.2095381	6.6375E-05
-0.1894742	9.1758E-05
-0.1672208	0.00012443
-0.1467061	0.00015844
-0.1259914	0.00019569
-0.1050767	0.00023626
-0.086562537	0.00027337
-0.065320387	0.00031849
-0.045872688	0.0003616
-0.02583088	0.00040714
-0.0049342951	0.00045722
0.01484077	0.00050755
0.035937421	0.00056219
0.055979218	0.00061633
0.076469637	0.00067285
0.096038587	0.00072694
0.1167412	0.00078563
0.13503709	0.00083639
0.1558003	0.00089272
0.1762968	0.00094565
0.1959203	0.00099392
0.2137433	0.0010331
0.2339285	0.0010762
0.25429541	0.0011158
0.27278331	0.0011467
0.29315019	0.001177
0.31309289	0.0012029
0.3353996	0.0012273
0.35752439	0.0012484
0.37643659	0.0012639
0.39565191	0.0012767
0.41583699	0.0012905
0.4349916	0.0013024
0.45451	0.0013122
0.47451329	0.0013211
0.4940922	0.0013277
0.51506537	0.0013352
0.53755379	0.0013442
0.55798149	0.001349
0.57828778	0.001354
0.59974593	0.001359
0.61932492	0.0013641
0.6389038	0.0013682
0.65914953	0.0013718
0.68060762	0.0013755
0.70018661	0.0013789
0.7186138	0.0013801
0.73764718	0.0013845
0.75813538	0.0013894
0.77662331	0.0013946
0.79880881	0.0014086
0.78238177	0.0013969
0.76274228	0.001386
0.74170852	0.0013806
0.72267509	0.0013781
0.69951981	0.0013719
0.67721307	0.0013685
0.65533072	0.001365
0.63296342	0.00136
0.61132348	0.0013564
0.59222949	0.0013502
0.57119578	0.0013422
0.55204111	0.0013379
0.53282589	0.0013326
0.51130718	0.0013246
0.49130389	0.0013163
0.4717249	0.0013083
0.4525097	0.0012983
0.43262759	0.0012884
0.41092709	0.0012744
0.3906208	0.0012613
0.3714661	0.0012461
0.35370561	0.0012299
0.33024731	0.0012073
0.31121379	0.0011837
0.28933141	0.0011541
0.26932821	0.0011242
0.24871869	0.001088
0.2273819	0.0010449
0.2063482	0.00099714
0.187436	0.00095008
0.1662204	0.00089624
0.1462037	0.00084112
0.1257073	0.0007823
0.1047379	0.00072112
0.08624199	0.0006683
0.066212296	0.00061088
0.046115939	0.00055448
0.025613399	0.00049967
0.0034619251	0.00044237
-0.015834231	0.00039477
-0.03591847	0.0003485
-0.056487691	0.00030296
-0.075971767	0.00026234
-0.096868373	0.00022007
-0.1153522	0.00018514
-0.1350424	0.00014998
-0.1541263	0.000119
-0.1752169	8.7644E-05
-0.1979686	5.8201E-05
-0.22081269	3.4742E-05
-0.2421495	1.8188E-05
-0.26312259	7.1813E-06
-0.28488371	4.4711E-07
-0.3044627	-2.7578E-06
-0.32531461	-4.3465E-06
-0.34580281	-5.056E-06
-0.36616981	-5.4836E-06
-0.3873854	-5.9481E-06
-0.40805539	-6.5757E-06
-0.42987719	-7.5927E-06
-0.44878939	-9.0887E-06
-0.47291449	-1.2386E-05
-0.4872199	-1.5596E-05
