"CView Export Data File: Version 2.0"
"Export From File: c:\users\owner1\desktop\data\idei\m2\20230524\pec\hematite_etoh_01_3_light.txt"


  Open Circuit Potential (V): -0.3309
"E (Volts)"	"I (Amps/cm^2~)"
-0.49758521	-1.5112E-05
-0.4818857	-9.407E-06
-0.45945781	-6.1203E-06
-0.43896961	-3.9912E-06
-0.41823891	-2.3593E-06
-0.39635649	-1.0604E-06
-0.37441349	3.8992E-08
-0.3545315	8.7688E-07
-0.33495259	1.7836E-06
-0.31494921	2.9807E-06
-0.29440051	4.621E-06
-0.2739729	6.8581E-06
-0.254697	9.7173E-06
-0.2342694	1.3778E-05
-0.2139024	1.9541E-05
-0.19141389	2.9177E-05
-0.1696528	4.3189E-05
-0.1477852	6.3984E-05
-0.12779801	9.0181E-05
-0.1077562	0.0001249
-0.086895958	0.00017143
-0.067654356	0.0002245
-0.046951771	0.00029417
-0.02711002	0.00037288
-0.0069409008	0.00046323
0.0123795	0.00055715
0.03113611	0.0006569
0.052032702	0.00076138
0.072935343	0.00086828
0.095420226	0.00097761
0.1145951	0.0010628
0.1349583	0.0011455
0.1551152	0.0012211
0.1746721	0.0012889
0.19623549	0.0013557
0.21901689	0.001422
0.2382322	0.0014684
0.25690189	0.0015137
0.27739009	0.0015567
0.296666	0.0015952
0.31551749	0.0016259
0.33576331	0.0016598
0.35528171	0.001691
0.37698209	0.0017201
0.39534879	0.001745
0.4156552	0.0017697
0.4360221	0.0017948
0.45469189	0.0018121
0.4754225	0.0018318
0.49463779	0.0018507
0.516702	0.0018705
0.53852367	0.001888
0.55682981	0.0019034
0.5778029	0.0019183
0.5976243	0.0019308
0.61780941	0.0019428
0.63750958	0.0019531
0.65933138	0.0019638
0.67945588	0.0019764
0.70333862	0.0019887
0.72334188	0.001997
0.74437559	0.0020067
0.76389402	0.0020154
0.7838366	0.0020277
0.79844511	0.0020129
0.77347118	0.0020165
0.75177079	0.0020032
0.73255551	0.0019947
0.70855159	0.0019795
0.69000298	0.0019735
0.66909063	0.0019607
0.64829928	0.0019492
0.62896281	0.0019377
0.60859579	0.0019268
0.58962297	0.0019116
0.56755883	0.0018977
0.54828292	0.0018831
0.52785528	0.0018668
0.5053668	0.0018468
0.48348439	0.0018268
0.46511781	0.001811
0.44511449	0.0017898
0.42286849	0.0017637
0.40298641	0.0017407
0.38243759	0.001714
0.3633436	0.0016867
0.34267351	0.0016558
0.32321581	0.0016237
0.30297011	0.0015915
0.28169379	0.0015541
0.25987211	0.0015069
0.2402325	0.0014593
0.2206535	0.0014092
0.2007715	0.0013507
0.18222301	0.0012899
0.1624016	0.0012225
0.1426391	0.0011473
0.1206695	0.0010548
0.1021069	0.00097094
0.081943847	0.00087192
0.061035141	0.00076374
0.04115095	0.00065745
0.020248299	0.00054691
0.00061266631	0.00044843
-0.01881079	0.00035899
-0.03856767	0.00027865
-0.059658252	0.00020703
-0.080948882	0.00014922
-0.100045	0.00010907
-0.1200626	7.6115E-05
-0.1401528	5.1648E-05
-0.1606372	3.3874E-05
-0.1804608	2.1962E-05
-0.2018787	1.332E-05
-0.22032771	8.3268E-06
-0.242695	4.0874E-06
-0.26397121	1.2262E-06
-0.28567171	-1.0409E-06
-0.3063418	-2.6389E-06
-0.32634509	-3.788E-06
-0.34634829	-4.7189E-06
-0.3674427	-5.5848E-06
-0.38708231	-6.4872E-06
-0.4069643	-7.6017E-06
-0.4295741	-9.5962E-06
-0.4495168	-1.2289E-05
-0.4724296	-1.7401E-05
-0.49273601	-2.5303E-05
-0.49800959	-2.364E-05
-0.4769758	-1.4388E-05
-0.45866981	-9.4731E-06
-0.43854529	-5.9159E-06
-0.4173297	-3.3902E-06
-0.39769009	-1.7244E-06
-0.37774739	-4.3305E-07
-0.3590171	5.5201E-07
-0.33889261	1.7442E-06
-0.31931359	2.5144E-06
-0.298583	3.8636E-06
-0.27833721	5.6028E-06
-0.25657609	8.1236E-06
-0.2356635	1.1431E-05
-0.21644831	1.5766E-05
-0.1959601	2.2472E-05
-0.17529	3.2515E-05
-0.1555692	4.6629E-05
-0.1347878	6.7546E-05
-0.1163343	9.2687E-05
-0.094285853	0.00013282
-0.073510498	0.00018207
-0.052468419	0.00024487
-0.031432401	0.00032182
-0.01165127	0.00040532
0.0095787384	0.00050561
0.03214851	0.00062064
0.051917519	0.000723
0.074014433	0.00083578
0.09437754	0.00093353
0.1133403	0.0010208
0.13297591	0.0011047
0.15120509	0.0011766
0.17322931	0.0012561
0.1947867	0.001327
0.2142282	0.0013823
0.2342921	0.0014354
0.25405291	0.0014853
0.2730864	0.0015285
0.29327151	0.0015694
0.31291109	0.0016026
0.3348541	0.0016429
0.35679701	0.0016743
0.37843701	0.001704
0.39734909	0.0017273
0.41704929	0.0017484
0.4372344	0.0017701
0.4574196	0.0017917
0.47912011	0.0018132
0.49760801	0.0018319
0.5179143	0.0018508
0.53822058	0.0018662
0.55682981	0.0018778
0.57762098	0.0018926
0.59719998	0.001907
0.6187793	0.0019154
0.64017677	0.0019331
0.66187727	0.0019467
0.68024391	0.0019528
0.70030779	0.0019636
0.71970493	0.0019735
0.73837471	0.001985
0.75807482	0.0019923
0.77935112	0.0020049
0.79953611	0.0020169
0.78292739	0.0020043
0.76274228	0.0019921
0.74316329	0.0019814
0.722372	0.0019711
0.70358098	0.0019612
0.68327469	0.0019551
0.66169542	0.0019415
0.64138907	0.00193
0.62156761	0.0019149
0.60326159	0.0019047
0.58289462	0.0018921
0.56422502	0.0018812
0.54300928	0.0018656
0.52258182	0.0018482
0.50027502	0.0018276
0.48172659	0.0018114
0.46032909	0.0017914
0.43753749	0.0017663
0.4176555	0.0017481
0.39698541	0.001723
0.37661839	0.0016957
0.35746381	0.0016681
0.33800611	0.0016403
0.3181847	0.0016076
0.29872689	0.0015731
0.2801784	0.0015344
0.2565988	0.0014841
0.234474	0.001428
0.2122279	0.0013662
0.19070929	0.0012985
0.16913	0.0012203
0.14747681	0.0011402
0.12884749	0.0010643
0.1090785	0.00097567
0.088442586	0.00087623
0.066278987	0.00076417
0.047661811	0.00066751
0.026825851	0.00055776
0.006135378	0.00045274
-0.01396099	0.00035857
-0.032656979	0.00028204
-0.05367481	0.00020831
-0.074444093	0.00015013
-0.09439496	0.0001082
-0.1144853	7.521E-05
-0.1364428	4.8996E-05
-0.1576	3.1356E-05
-0.17961811	1.9031E-05
-0.1975624	1.2389E-05
-0.2206914	6.6658E-06
-0.2405128	3.3081E-06
